Power,Fuel,Cost,Efficiency,Lifetime,Power Code
486133.5340570324,0,8667343966.704905,486133.5340570324,10,"(0, 0, 0, 0, 0, 0, 0)"
486133.5340570324,0,6605100525.295382,486133.5340570324,10,"(0, 0, 1, 0, 0, 0, 0)"
486133.5340570324,0,3855442603.4160185,486133.5340570324,10,"(0, 0, 2, 0, 0, 0, 0)"
486133.5340570324,0,1793199162.006496,486133.5340570324,10,"(0, 0, 3, 0, 0, 0, 0)"
