%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
72858.480,296.574,8.965,7.104,-236.577,80.039,1.000
72850.418,296.573,8.965,7.104,-236.594,80.061,1.000
72862.512,296.574,9.202,6.783,-236.577,80.050,1.000
72858.480,296.571,8.886,6.944,-236.577,80.050,1.000
72858.480,296.574,9.044,6.623,-236.577,80.061,1.000
72854.449,296.574,8.886,6.944,-236.594,80.028,1.000
72862.512,296.571,9.044,6.783,-236.577,80.039,1.000
72862.512,296.573,8.886,6.783,-236.594,80.061,1.000
72862.512,296.573,8.965,6.944,-236.594,80.061,1.000
72866.543,296.571,9.044,6.783,-236.594,80.039,1.000
72866.543,296.574,9.044,6.783,-236.610,80.050,1.000
72866.543,296.573,8.886,6.783,-236.594,80.050,1.000
72866.543,296.574,8.965,6.944,-236.594,80.050,1.000
72870.574,296.573,8.965,6.944,-236.594,80.061,1.000
72866.543,296.570,9.123,6.623,-236.577,80.071,1.000
72866.543,296.574,9.044,6.944,-236.594,80.050,1.000
72870.574,296.573,9.044,6.783,-236.594,80.039,1.000
72874.606,296.571,9.202,6.783,-236.594,80.050,1.000
72866.543,296.571,9.044,6.944,-236.610,80.061,1.000
72874.606,296.576,9.202,6.783,-236.610,80.071,1.000
72878.637,296.574,8.965,6.944,-236.594,80.061,1.000
72874.606,296.574,9.202,6.623,-236.561,80.061,1.000
72878.637,296.574,9.044,6.783,-236.561,80.050,1.000
72878.637,296.576,9.123,6.783,-236.594,80.050,1.000
72874.606,296.576,9.123,6.944,-236.610,80.071,1.000
72874.606,296.574,9.123,7.104,-236.594,80.039,1.000
72874.606,296.571,9.123,6.944,-236.594,80.050,1.000
72878.637,296.574,9.123,7.104,-236.610,80.071,1.000
72874.606,296.573,9.123,7.104,-236.610,80.050,1.000
72878.637,296.571,9.044,6.783,-236.577,80.061,1.000
72882.669,296.573,9.202,7.104,-236.561,80.050,1.000
72882.669,296.571,9.044,6.783,-236.577,80.061,1.000
72874.606,296.574,9.044,6.944,-236.610,80.071,1.000
72878.637,296.573,8.965,7.104,-236.594,80.050,1.000
72878.637,296.573,9.123,6.783,-236.594,80.061,1.000
72874.606,296.573,8.965,7.104,-236.594,80.039,1.000
72870.574,296.573,8.965,6.944,-236.594,80.071,1.000
72874.606,296.574,8.886,6.944,-236.594,80.061,1.000
72874.606,296.568,8.807,7.264,-236.610,80.050,1.000
72870.574,296.573,8.886,7.104,-236.626,80.061,1.000
72870.574,296.570,8.886,6.783,-236.594,80.050,1.000
72870.574,296.573,8.886,6.944,-236.594,80.050,1.000
72870.574,296.571,8.807,6.783,-236.610,80.061,1.000
72866.543,296.570,8.807,6.783,-236.610,80.061,1.000
72870.574,296.573,8.728,6.623,-236.594,80.050,1.000
72866.543,296.571,8.807,6.783,-236.594,80.039,1.000
72866.543,296.571,8.728,6.623,-236.610,80.071,1.000
72866.543,296.573,8.728,6.463,-236.594,80.061,1.000
72858.480,296.574,8.807,6.623,-236.626,80.050,1.000
72866.543,296.571,8.886,6.463,-236.594,80.050,1.000
72866.543,296.574,8.807,6.623,-236.626,80.061,1.000
72858.480,296.571,8.649,6.463,-236.610,80.061,1.000
72862.512,296.574,8.728,6.783,-236.594,80.061,1.000
72862.512,296.573,8.807,6.623,-236.610,80.061,1.000
72862.512,296.574,8.807,6.623,-236.626,80.061,1.000
72862.512,296.578,8.728,6.623,-236.577,80.050,1.000
72858.480,296.574,8.728,6.463,-236.594,80.061,1.000
72854.449,296.574,8.728,6.623,-236.577,80.061,1.000
72862.512,296.578,8.728,6.623,-236.577,80.071,1.000
72862.512,296.573,8.886,6.783,-236.610,80.061,1.000
72862.512,296.578,8.728,6.623,-236.626,80.050,1.000
72866.543,296.578,8.807,6.783,-236.594,80.050,1.000
72862.512,296.576,8.807,6.944,-236.594,80.061,1.000
72862.512,296.578,8.886,6.944,-236.594,80.050,1.000
72854.449,296.578,8.965,6.463,-236.594,80.039,1.000
72862.512,296.578,8.807,6.783,-236.594,80.071,1.000
72866.543,296.576,8.649,6.783,-236.594,80.061,1.000
72866.543,296.578,8.886,6.783,-236.577,80.050,1.000
72866.543,296.578,8.807,6.623,-236.594,80.050,1.000
72866.543,296.578,8.886,6.623,-236.594,80.082,1.000
72862.512,296.578,8.886,6.944,-236.610,80.050,1.000
72862.512,296.576,8.886,6.944,-236.594,80.071,1.000
72870.574,296.579,8.965,6.944,-236.610,80.039,1.000
72870.574,296.578,8.965,7.104,-236.626,80.050,1.000
72874.606,296.576,8.807,7.104,-236.626,80.071,1.000
72866.543,296.578,8.886,7.104,-236.594,80.039,1.000
72874.606,296.576,8.965,7.104,-236.594,80.039,1.000
72870.574,296.578,9.044,7.104,-236.610,80.039,1.000
72870.574,296.573,8.728,7.104,-236.626,80.050,1.000
72866.543,296.573,8.965,7.104,-236.594,80.071,1.000
72862.512,296.573,8.886,7.104,-236.610,80.039,1.000
72870.574,296.571,8.886,7.264,-236.610,80.071,1.000
72870.574,296.571,8.807,6.944,-236.594,80.050,1.000
72874.606,296.571,8.886,7.104,-236.594,80.061,1.000
72870.574,296.571,8.965,7.264,-236.626,80.061,1.000
72866.543,296.573,8.649,7.104,-236.577,80.050,1.000
72870.574,296.571,8.807,7.104,-236.610,80.050,1.000
72858.480,296.573,8.886,6.944,-236.577,80.050,1.000
72862.512,296.571,8.807,6.944,-236.610,80.050,1.000
72862.512,296.570,8.728,6.944,-236.594,80.050,1.000
