%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
74245.271,297.178,359.982,163.499,-0.014,0.010,5.000
74245.271,297.181,359.903,163.659,-0.014,0.021,5.000
74249.302,297.178,359.903,163.819,-0.014,-0.001,5.000
74249.302,297.178,360.061,163.819,0.019,0.032,5.000
74253.333,297.176,359.903,163.819,0.002,-0.001,5.000
74261.396,297.178,360.061,164.140,0.002,-0.001,5.000
74253.333,297.178,359.982,164.140,0.002,0.010,5.000
74245.271,297.179,359.903,164.140,-0.014,-0.011,5.000
74257.365,297.174,359.903,164.460,-0.014,-0.001,5.000
74249.302,297.176,359.824,164.300,-0.014,0.010,5.000
74249.302,297.174,359.903,164.460,0.002,-0.011,5.000
74245.271,297.176,359.903,164.620,0.002,-0.011,5.000
74249.302,297.176,359.903,164.620,-0.014,-0.001,5.000
74253.333,297.178,359.903,164.940,0.002,-0.011,5.000
74249.302,297.174,359.824,164.940,0.019,-0.001,5.000
74249.302,297.176,359.903,165.420,0.002,0.010,5.000
74249.302,297.176,359.903,165.260,0.019,0.021,5.000
74245.271,297.176,359.903,165.100,0.002,0.021,5.000
74249.302,297.178,359.903,165.260,-0.014,-0.011,5.000
74249.302,297.174,359.982,165.260,0.002,-0.001,5.000
74245.271,297.174,359.982,165.580,0.019,-0.022,5.000
74249.302,297.174,360.140,165.580,0.002,0.021,5.000
74241.239,297.174,359.982,165.260,0.002,-0.001,5.000
74249.302,297.174,359.982,165.740,0.035,-0.001,5.000
74249.302,297.174,360.061,165.580,0.002,-0.001,5.000
74245.271,297.176,360.140,165.740,-0.014,0.010,5.000
74241.239,297.178,359.982,165.901,0.019,-0.001,5.000
74241.239,297.176,359.982,165.740,-0.014,0.010,5.000
74237.208,297.174,359.982,166.381,-0.014,0.010,5.000
74241.239,297.176,359.982,166.061,-0.014,0.010,5.000
74237.208,297.178,360.140,166.221,0.035,-0.001,5.000
74249.302,297.179,360.061,166.221,0.019,-0.001,5.000
74237.208,297.178,360.140,166.541,-0.030,-0.001,5.000
74237.208,297.178,360.061,166.541,0.002,-0.011,5.000
74237.208,297.178,360.061,166.381,0.019,-0.022,5.000
74237.208,297.179,360.219,166.541,0.002,-0.001,5.000
74237.208,297.178,360.219,166.701,0.019,-0.001,5.000
74237.208,297.178,360.140,166.701,-0.014,0.010,5.000
74241.239,297.179,360.219,166.701,-0.030,-0.001,5.000
74241.239,297.178,360.140,166.541,-0.030,-0.001,5.000
74241.239,297.179,360.219,166.701,0.002,-0.011,5.000
74237.208,297.181,360.298,166.861,-0.014,-0.001,5.000
74241.239,297.179,360.298,166.701,0.019,-0.001,5.000
74237.208,297.178,360.219,166.861,-0.014,-0.001,5.000
74237.208,297.178,360.298,167.021,-0.014,0.010,5.000
74237.208,297.181,360.298,167.181,-0.014,0.010,5.000
74233.176,297.181,360.377,167.021,0.002,-0.001,5.000
74241.239,297.181,360.377,167.021,0.002,0.010,5.000
74241.239,297.178,360.298,167.341,-0.014,-0.022,5.000
74237.208,297.179,360.456,167.341,0.002,0.010,5.000
74241.239,297.179,360.377,167.181,0.002,-0.001,5.000
74245.271,297.178,360.456,167.021,0.002,-0.001,5.000
74237.208,297.178,360.535,167.341,-0.014,-0.001,5.000
74241.239,297.178,360.456,167.021,0.002,0.010,5.000
74237.208,297.179,360.535,167.021,0.019,-0.001,5.000
74233.176,297.176,360.535,167.021,0.002,0.010,5.000
74237.208,297.179,360.456,167.181,-0.014,0.010,5.000
74229.145,297.178,360.377,167.021,0.019,-0.001,5.000
74233.176,297.178,360.535,167.021,-0.014,0.010,5.000
74241.239,297.178,360.535,166.861,0.002,-0.022,5.000
74245.271,297.179,360.535,166.701,0.002,-0.001,5.000
74237.208,297.176,360.535,166.701,0.019,-0.001,5.000
74229.145,297.176,360.535,166.541,-0.014,0.010,5.000
74241.239,297.178,360.535,166.541,-0.014,-0.001,5.000
74233.176,297.174,360.535,166.541,0.019,0.010,5.000
74237.208,297.174,360.535,166.381,-0.014,-0.011,5.000
74237.208,297.173,360.456,166.381,0.002,-0.011,5.000
74241.239,297.174,360.535,166.061,0.019,-0.011,5.000
74245.271,297.176,360.456,165.901,-0.014,-0.001,5.000
74245.271,297.174,360.535,166.061,-0.014,0.010,5.000
74241.239,297.176,360.614,165.901,0.002,-0.001,5.000
74233.176,297.174,360.614,166.381,-0.047,0.010,5.000
74249.302,297.176,360.614,165.740,0.019,-0.001,5.000
74241.239,297.173,360.535,165.580,0.002,-0.022,5.000
74249.302,297.173,360.614,165.420,0.002,0.021,5.000
74245.271,297.173,360.614,165.580,0.002,-0.001,5.000
74245.271,297.174,360.693,165.740,-0.014,-0.001,5.000
74249.302,297.176,360.693,165.901,-0.014,0.010,5.000
74249.302,297.176,360.614,165.260,0.002,0.021,5.000
74245.271,297.174,360.614,165.260,0.002,0.010,5.000
74237.208,297.176,360.772,165.740,-0.014,0.021,5.000
74245.271,297.178,360.693,165.260,-0.014,-0.001,5.000
74245.271,297.176,360.930,165.260,-0.014,-0.001,5.000
74241.239,297.178,360.851,165.580,-0.014,-0.001,5.000
74249.302,297.176,360.851,165.260,0.019,0.010,5.000
74249.302,297.178,360.851,165.420,-0.014,0.032,5.000
74241.239,297.179,360.851,165.260,0.019,-0.001,5.000
74237.208,297.178,361.088,165.420,-0.014,0.010,5.000
74249.302,297.182,361.088,165.740,-0.014,-0.001,5.000
74245.271,297.178,360.851,165.420,0.002,-0.011,5.000
74249.302,297.178,361.088,165.580,-0.014,-0.001,5.000
74245.271,297.181,361.088,165.420,0.002,0.021,5.000
74249.302,297.181,361.088,165.740,0.002,0.010,5.000
74253.333,297.182,361.167,165.580,0.019,-0.022,5.000
74249.302,297.181,361.167,165.260,0.002,-0.001,5.000
74245.271,297.181,361.246,165.580,0.019,0.010,5.000
74245.271,297.181,361.325,165.420,-0.014,-0.001,5.000
74245.271,297.181,361.167,165.740,0.002,-0.011,5.000
74245.271,297.179,361.325,165.901,0.019,0.010,5.000
74241.239,297.181,361.404,165.901,-0.014,-0.001,5.000
74233.176,297.181,361.404,165.901,0.002,0.021,5.000
74245.271,297.184,361.483,165.740,-0.014,-0.001,5.000
74245.271,297.181,361.483,165.901,0.019,-0.011,5.000
74249.302,297.179,361.483,165.580,0.002,-0.011,5.000
74241.239,297.182,361.562,165.420,0.002,0.010,5.000
74241.239,297.179,361.562,165.580,0.019,-0.022,5.000
74237.208,297.179,361.483,165.580,-0.014,-0.022,5.000
74237.208,297.181,361.641,165.100,0.019,0.010,5.000
74245.271,297.179,361.562,165.260,0.002,-0.011,5.000
74241.239,297.176,361.641,164.780,0.002,-0.011,5.000
74245.271,297.179,361.720,164.620,0.002,0.010,5.000
74237.208,297.179,361.404,164.460,-0.030,-0.001,5.000
74237.208,297.179,361.483,164.460,0.019,-0.011,5.000
74245.271,297.179,361.562,164.460,-0.014,-0.001,5.000
74237.208,297.176,361.641,164.140,-0.014,0.021,5.000
74237.208,297.174,361.562,163.819,-0.014,-0.011,5.000
74245.271,297.176,361.562,163.819,-0.014,-0.011,5.000
74245.271,297.174,361.562,163.499,-0.014,-0.001,5.000
74241.239,297.178,361.562,163.339,0.019,0.021,5.000
74245.271,297.174,361.562,162.859,-0.014,0.021,5.000
74245.271,297.176,361.483,162.699,0.002,0.021,5.000
74237.208,297.176,361.641,162.539,0.019,-0.001,5.000
74241.239,297.176,361.483,162.378,0.019,-0.001,5.000
74241.239,297.176,361.483,161.898,-0.014,0.010,5.000
74241.239,297.173,361.641,161.738,-0.014,-0.011,5.000
74237.208,297.174,361.562,161.418,-0.014,0.021,5.000
74237.208,297.174,361.641,161.578,0.019,-0.001,5.000
74245.271,297.176,361.404,160.938,0.019,0.010,5.000
74241.239,297.174,361.562,160.938,-0.014,0.010,5.000
74237.208,297.178,361.720,160.938,0.002,-0.011,5.000
74245.271,297.174,361.720,160.617,-0.014,-0.001,5.000
74237.208,297.178,361.483,160.778,0.019,-0.001,5.000
74237.208,297.178,361.641,160.617,-0.030,-0.001,5.000
74237.208,297.178,361.720,160.617,0.002,-0.001,5.000
74241.239,297.179,361.799,160.617,-0.014,0.010,5.000
74237.208,297.176,361.641,160.137,-0.014,0.010,5.000
74241.239,297.176,361.720,160.297,0.002,-0.011,5.000
74245.271,297.176,361.799,160.617,0.002,-0.001,5.000
74237.208,297.178,361.720,160.297,-0.030,-0.001,5.000
74241.239,297.178,361.799,160.457,-0.014,-0.011,5.000
74233.176,297.178,361.878,160.457,0.002,0.010,5.000
74233.176,297.178,361.878,160.617,0.002,-0.001,5.000
74237.208,297.179,361.799,160.457,-0.030,-0.011,5.000
74237.208,297.179,361.799,160.938,-0.014,-0.001,5.000
74229.145,297.178,361.799,160.938,-0.014,0.010,5.000
74237.208,297.179,361.799,160.778,0.019,-0.011,5.000
74229.145,297.174,361.878,161.258,-0.014,-0.001,5.000
74229.145,297.176,361.878,161.098,0.019,-0.001,5.000
74229.145,297.176,361.878,161.418,0.019,-0.001,5.000
74233.176,297.176,361.878,161.578,0.002,0.010,5.000
74237.208,297.176,361.799,161.738,0.019,0.010,5.000
74229.145,297.176,361.799,161.898,-0.014,-0.001,5.000
74237.208,297.179,362.115,162.058,0.019,-0.011,5.000
74233.176,297.178,361.878,162.218,0.019,-0.001,5.000
74241.239,297.179,361.878,162.699,0.019,-0.022,5.000
74237.208,297.178,361.957,162.378,-0.014,-0.001,5.000
74245.271,297.176,362.036,162.699,-0.014,0.021,5.000
74249.302,297.176,362.036,162.699,0.002,-0.011,5.000
74237.208,297.174,361.957,162.539,0.002,-0.011,5.000
74233.176,297.178,362.036,162.699,-0.014,0.021,5.000
74241.239,297.178,362.036,162.859,0.019,0.021,5.000
