%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
72918.951,296.066,358.664,151.370,0.000,0.001,5.000
72922.982,296.070,358.664,151.210,-0.016,0.012,5.000
72918.951,296.070,358.901,151.210,0.017,0.001,5.000
72922.982,296.068,358.664,151.370,-0.016,0.012,5.000
72927.014,296.068,358.585,151.050,0.017,-0.020,5.000
72931.045,296.070,358.585,151.050,-0.016,-0.010,5.000
72931.045,296.068,358.506,150.890,0.017,0.001,5.000
72927.014,296.068,358.506,151.210,-0.016,-0.010,5.000
72931.045,296.068,358.269,150.890,0.000,0.001,5.000
72927.014,296.065,358.269,151.050,0.000,0.001,5.000
72927.014,296.068,358.269,151.530,0.000,-0.010,5.000
72927.014,296.066,358.269,151.210,0.000,0.001,5.000
72935.076,296.068,358.111,151.050,-0.016,0.012,5.000
72935.076,296.066,358.032,151.210,-0.016,0.012,5.000
72927.014,296.066,357.953,151.210,0.017,0.001,5.000
72939.108,296.068,357.953,151.210,0.017,0.012,5.000
72931.045,296.068,357.953,151.210,0.017,0.001,5.000
72935.076,296.068,357.953,151.050,-0.016,-0.010,5.000
72931.045,296.066,357.795,151.210,-0.032,0.023,5.000
72939.108,296.068,357.716,151.370,0.000,-0.010,5.000
72939.108,296.068,357.558,151.370,0.033,0.012,5.000
72939.108,296.065,357.637,151.370,0.000,0.012,5.000
72935.076,296.068,357.716,151.690,-0.016,0.001,5.000
72935.076,296.065,357.637,151.690,0.000,0.001,5.000
72935.076,296.068,357.558,151.530,0.000,0.001,5.000
72927.014,296.066,357.479,151.850,-0.016,0.001,5.000
72931.045,296.065,357.479,151.850,0.017,-0.020,5.000
72927.014,296.066,357.400,151.850,-0.016,0.001,5.000
72935.076,296.066,357.400,151.690,-0.016,-0.010,5.000
72939.108,296.066,357.400,152.171,0.017,0.001,5.000
72935.076,296.063,357.321,152.011,0.033,0.001,5.000
72931.045,296.066,357.400,152.011,0.000,0.012,5.000
72927.014,296.068,357.400,151.850,-0.016,0.001,5.000
72927.014,296.070,357.242,152.171,0.000,0.001,5.000
72922.982,296.066,357.163,152.011,0.000,0.001,5.000
72927.014,296.066,357.321,152.331,0.000,-0.010,5.000
72927.014,296.068,357.400,152.011,0.000,-0.010,5.000
72927.014,296.068,357.321,152.171,-0.016,-0.010,5.000
72922.982,296.068,357.400,152.171,-0.016,-0.010,5.000
72922.982,296.066,357.400,152.011,0.033,-0.010,5.000
72922.982,296.066,357.321,152.331,-0.032,0.001,5.000
72927.014,296.066,357.321,152.011,-0.016,0.012,5.000
72939.108,296.068,357.400,151.850,0.017,-0.020,5.000
72935.076,296.066,357.321,151.850,0.017,-0.010,5.000
72922.982,296.066,357.400,152.011,0.000,0.023,5.000
72922.982,296.068,357.479,152.171,-0.016,-0.010,5.000
72935.076,296.065,357.479,151.850,-0.016,0.001,5.000
72927.014,296.066,357.321,152.011,-0.016,0.012,5.000
72927.014,296.068,357.479,151.850,-0.016,0.001,5.000
72927.014,296.066,357.479,151.690,0.000,-0.010,5.000
72927.014,296.068,357.400,152.011,-0.016,0.001,5.000
72931.045,296.066,357.637,151.850,0.000,-0.031,5.000
72922.982,296.066,357.558,151.850,0.017,-0.010,5.000
72931.045,296.068,357.479,151.850,0.017,0.001,5.000
72922.982,296.068,357.637,151.850,-0.032,0.012,5.000
72922.982,296.068,357.479,151.690,0.000,0.001,5.000
72931.045,296.066,357.400,151.690,0.000,-0.010,5.000
72927.014,296.065,357.558,151.850,0.000,0.012,5.000
72927.014,296.068,357.479,151.850,0.000,-0.010,5.000
72922.982,296.066,357.479,151.690,-0.016,0.001,5.000
72922.982,296.068,357.479,151.530,0.033,-0.010,5.000
72935.076,296.066,357.479,151.850,-0.016,0.001,5.000
72935.076,296.066,357.163,152.011,0.017,0.012,5.000
72931.045,296.068,357.400,152.011,0.017,0.001,5.000
72927.014,296.070,357.242,151.850,-0.016,-0.010,5.000
72931.045,296.066,357.400,152.171,-0.032,0.012,5.000
72927.014,296.070,357.400,152.171,0.017,0.012,5.000
72927.014,296.068,357.400,152.491,0.000,0.023,5.000
72927.014,296.068,357.163,152.331,-0.016,0.033,5.000
72927.014,296.068,357.163,152.491,0.000,0.001,5.000
72927.014,296.068,357.242,152.651,0.000,-0.010,5.000
72927.014,296.071,357.242,152.971,0.000,0.001,5.000
72922.982,296.066,357.163,152.971,-0.016,0.012,5.000
72927.014,296.070,357.242,153.131,0.017,0.001,5.000
72918.951,296.071,357.163,153.131,0.000,0.023,5.000
72922.982,296.070,357.321,153.131,-0.016,-0.010,5.000
72922.982,296.070,357.163,153.451,-0.016,0.001,5.000
72922.982,296.073,357.163,153.451,0.017,0.001,5.000
72922.982,296.070,357.084,153.451,0.000,-0.010,5.000
