0,508805.687367014
0.001,1401490.22593799
0.002,2258991.82374891
0.003,3082470.3881149
0.004,3873136.77901085
0.005,4632242.63359507
0.006,5361070.90483664
0.007,6060927.08495891
0.008,6733131.08511293
0.009,7379009.74338869
0.01,7999889.93395774
0.011,8597092.25081958
0.012,9171925.24029442
0.013,9725680.15706827
0.014,10259626.2192511
0.015,10775006.3385564
0.016,11273033.3023513
0.017,11754886.3849557
0.018,12221708.3661969
0.019,12674602.9358398
0.02,13114632.4631234
0.021,13542816.1112343
0.022,13960128.2771427
0.023,14367497.3378104
0.024,14765804.6843608
0.025,15155884.0263684
0.026,15538520.9489892
0.027,15914452.7062103
0.028,16284368.2340388
0.029,16648908.3679962
0.03,17008666.2498103
0.031,17364187.9087252
0.032,17715973.0033628
0.033,18064475.7105795
0.034,18410105.7482631
0.035,18753229.5195063
0.036,19094171.3660805
0.037,19433214.9196089
0.038,19770604.5393111
0.039,20106546.8256506
0.04,20441212.1996726
0.041,20774736.5382665
0.042,21107222.8560254
0.043,21438743.0248078
0.044,21769339.5225297
0.045,22099027.2031292
0.046,22427795.0800591
0.047,22755608.1160572
0.048,23082409.0123411
0.049,23408119.9907584
0.05,23732644.5627992
0.051,24055869.2797494
0.052,24377665.458623
0.053,24697890.8788682
0.054,25016391.445187
0.055,25333002.8121458
0.056,25647551.9665896
0.057,25959858.7641892
0.058,26269737.4167741
0.059,26576997.9274041
0.06,26881447.4704388
0.061,27182891.7141529
0.062,27481136.0837316
0.063,27775986.9627566
0.064,28067252.8315637
0.065,28354745.3411125
0.066,28638280.3212642
0.067,28917678.7226099
0.068,29192767.4912282
0.069,29463380.3759837
0.07,29729358.6681995
0.071,29990551.873753
0.072,30246818.3178518
0.073,30498025.6829448
0.074,30744051.4804179
0.075,30984783.456907
0.076,31220119.9362368
0.077,31449970.0981645
0.078,31674254.1952679
0.079,31892903.7094699
0.08,32105861.4498397
0.081,32313081.5934467
0.082,32514529.6711738
0.083,32710182.5005208
0.084,32900028.067542
0.085,33084065.360171
0.086,33262304.1552814
0.087,33434764.7619297
0.088,33601477.7233055
0.089,33762483.4799927
0.09,33917831.997214
0.091,34067582.3587924
0.092,34211802.3306128
0.093,34350567.8964191
0.094,34483962.768813
0.095,34612077.8783555
0.096,34735010.8436896
0.097,34852865.4256256
0.098,34965750.9681256
0.099,35073781.8291333
0.1,35177076.8041811
0.101,35275758.5456921
0.102,35369952.9808679
0.103,35459788.7310274
0.104,35545396.5352134
0.105,35626908.6808466
0.106,35704458.4441434
0.107,35778179.5429538
0.108,35848205.6046097
0.109,35914669.65129
0.11,35977703.6053239
0.111,36037437.8167643
0.112,36094000.6154591
0.113,36147517.8897375
0.114,36198112.6937151
0.115,36245904.8850975
0.116,36291010.7952242
0.117,36333542.9329656
0.118,36373609.7239221
0.119,36411315.2862396
0.12,36446759.2441744
0.121,36480036.5803787
0.122,36511237.5277
0.123,36540447.5010964
0.124,36567747.0700859
0.125,36593211.9719259
0.126,36616913.1655424
0.127,36638916.9259742
0.128,36659284.9789008
0.129,36678074.6745813
0.13,36695339.2002839
0.131,36711127.8300496
0.132,36725486.2103669
0.133,36738456.6800889
0.134,36750078.622626
0.135,36760388.8481925
0.136,36769422.0035891
0.137,36777211.0067146
0.138,36783787.5026804
0.139,36789182.3381098
0.14,36793426.0499112
0.141,36796549.3643983
0.142,36798583.7024306
0.143,36799561.6857683
0.144,36799517.6396236
0.145,36798488.0858973
0.146,36796512.2213458
0.147,36793632.3744839
0.148,36789894.4346531
0.149,36785348.2463336
0.15,36780047.961351
0.151,36774052.3412417
0.152,36767425.0016066
0.153,36760234.5899427
0.154,36752554.887869
0.155,36744464.8284037
0.156,36736048.4183913
0.157,36727394.5557426
0.158,36718596.7307636
0.159,36709752.6002965
0.16,36700963.4229718
0.161,36692333.3434237
0.162,36683968.512713
0.163,36675976.0318866
0.164,36668462.7049205
0.165,36661533.5869095
0.166,36655290.3127828
0.167,36649829.1913372
0.168,36645239.0487972
0.169,36641598.805653
0.17,36638974.7698557
0.171,36637417.6290446
0.172,36636959.1237553
0.173,36637608.3831385
0.174,36639347.9039973
0.175,36642129.1535275
0.176,36645867.7753077
0.177,36650438.3778262
0.178,36655668.883826
0.179,36661334.4184849
0.18,36667150.7135851
0.181,36672767.004309
0.182,36677758.3945819
0.183,36681617.6663378
0.184,36683746.5073295
0.185,36683446.1314251
0.186,36679907.2648037
0.187,36672199.4706508
0.188,36659259.7842226
0.189,36639880.6296939
0.19,36612696.9891715
0.191,36576172.7938552
0.192,36528586.5063773
0.193,36468015.8627337
0.194,36392321.7414991
0.195,36299131.1272334
0.196,36185819.1341972
0.197,36049490.0558517
0.198,35886957.4048271
0.199,35694722.9070353
0.2,35468954.4133328
