%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
72931.045,296.745,358.338,161.838,-0.010,-0.014,5.000
72927.014,296.744,358.417,161.838,0.006,-0.003,5.000
72935.076,296.745,358.496,161.838,0.006,-0.003,5.000
72931.045,296.742,358.417,161.678,-0.026,0.008,5.000
72931.045,296.744,358.417,161.998,0.006,0.008,5.000
72939.108,296.741,358.417,161.678,0.006,-0.003,5.000
72927.014,296.741,358.496,161.838,0.006,-0.003,5.000
72935.076,296.742,358.417,161.838,-0.010,-0.003,5.000
72935.076,296.742,358.417,161.838,-0.026,-0.003,5.000
72939.108,296.741,358.575,161.678,-0.010,-0.014,5.000
72939.108,296.742,358.338,161.838,0.023,0.018,5.000
72939.108,296.739,358.417,161.678,-0.010,-0.014,5.000
72935.076,296.739,358.417,161.838,0.006,0.008,5.000
72943.139,296.741,358.417,161.518,0.006,0.008,5.000
72939.108,296.739,358.338,161.998,0.023,-0.003,5.000
72943.139,296.737,358.417,161.518,0.006,0.029,5.000
72935.076,296.739,358.259,161.678,0.023,-0.014,5.000
72931.045,296.739,358.338,161.518,0.006,-0.003,5.000
72931.045,296.739,358.259,161.518,0.006,-0.003,5.000
72935.076,296.739,358.338,161.518,0.006,-0.003,5.000
72939.108,296.739,358.496,161.198,-0.010,0.008,5.000
72943.139,296.739,358.259,161.198,-0.010,0.008,5.000
72931.045,296.741,358.338,161.198,0.006,-0.003,5.000
72927.014,296.741,358.338,160.878,0.023,-0.003,5.000
72927.014,296.741,358.179,161.038,0.023,-0.003,5.000
72927.014,296.742,358.338,161.038,0.006,0.018,5.000
72931.045,296.741,358.338,160.878,0.006,0.008,5.000
72922.982,296.742,358.338,160.397,0.006,0.008,5.000
72927.014,296.741,358.259,160.397,0.023,-0.003,5.000
72927.014,296.742,358.259,160.558,-0.010,0.018,5.000
72922.982,296.745,358.179,160.077,-0.010,-0.003,5.000
72918.951,296.744,358.259,160.077,0.023,-0.003,5.000
72927.014,296.742,358.338,159.917,-0.010,-0.014,5.000
72922.982,296.744,358.259,159.597,-0.010,-0.014,5.000
72922.982,296.747,358.259,159.597,0.006,-0.003,5.000
72922.982,296.745,358.338,158.957,0.006,-0.003,5.000
72922.982,296.749,358.100,158.957,-0.026,0.008,5.000
72918.951,296.747,358.179,158.636,0.039,-0.003,5.000
72918.951,296.745,358.259,158.636,0.006,0.008,5.000
72914.920,296.749,358.338,158.156,-0.010,-0.003,5.000
72918.951,296.749,358.259,158.316,0.006,-0.014,5.000
72918.951,296.745,358.338,157.996,0.006,-0.003,5.000
72922.982,296.744,358.338,157.836,-0.010,0.008,5.000
72922.982,296.745,358.338,157.836,0.006,-0.003,5.000
72922.982,296.745,358.496,157.356,0.006,-0.003,5.000
72927.014,296.749,358.417,157.196,0.006,-0.003,5.000
72922.982,296.745,358.417,157.356,-0.010,0.018,5.000
72927.014,296.745,358.417,157.036,-0.010,0.018,5.000
72922.982,296.744,358.496,156.715,0.006,0.008,5.000
72922.982,296.747,358.417,156.875,0.006,0.008,5.000
