%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
73072.143,297.473,356.487,154.180,0.011,-0.018,5.000
73072.143,297.473,356.566,153.860,-0.006,0.004,5.000
73072.143,297.469,356.487,153.860,-0.006,0.015,5.000
73072.143,297.471,356.645,154.020,-0.022,-0.018,5.000
73072.143,297.471,356.724,154.020,-0.006,0.004,5.000
73072.143,297.471,356.566,154.020,-0.038,0.004,5.000
73072.143,297.471,356.645,154.501,-0.006,0.015,5.000
73072.143,297.471,356.645,154.341,-0.038,-0.007,5.000
73068.111,297.471,356.724,154.341,-0.022,0.004,5.000
73068.111,297.473,356.803,154.661,0.027,-0.007,5.000
73076.174,297.469,356.961,154.501,0.027,0.004,5.000
73072.143,297.469,356.882,154.821,-0.006,-0.007,5.000
73072.143,297.469,356.961,154.661,-0.022,0.025,5.000
73076.174,297.469,356.803,154.661,-0.006,-0.007,5.000
73076.174,297.469,356.882,154.981,-0.022,0.015,5.000
73080.205,297.471,356.961,154.981,0.043,0.015,5.000
73080.205,297.469,357.041,155.301,0.011,-0.018,5.000
73084.237,297.471,357.120,155.141,0.011,0.015,5.000
73072.143,297.473,357.120,154.981,-0.022,0.004,5.000
73072.143,297.473,357.199,155.461,-0.006,0.004,5.000
73072.143,297.471,357.199,155.621,0.011,-0.007,5.000
73068.111,297.471,357.278,155.301,-0.006,0.004,5.000
73072.143,297.474,357.041,155.621,-0.006,0.015,5.000
73072.143,297.474,356.961,155.781,-0.006,0.004,5.000
73076.174,297.474,357.120,155.781,0.011,0.004,5.000
73068.111,297.477,357.041,155.781,-0.022,0.004,5.000
73084.237,297.473,356.882,155.941,-0.006,-0.007,5.000
73084.237,297.473,356.961,155.941,-0.022,0.025,5.000
73080.205,297.473,357.041,155.781,-0.006,-0.018,5.000
73076.174,297.474,356.882,156.102,0.011,0.004,5.000
73076.174,297.474,356.961,156.422,-0.022,-0.018,5.000
73076.174,297.474,357.041,156.262,-0.022,0.025,5.000
