%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
74249.302,297.155,356.326,160.414,0.009,-0.012,5.000
74249.302,297.155,356.405,160.093,-0.007,-0.001,5.000
74245.271,297.155,356.405,160.414,0.009,-0.023,5.000
74241.239,297.155,356.484,160.414,0.009,-0.001,5.000
74241.239,297.153,356.326,160.253,0.009,0.010,5.000
74241.239,297.152,356.563,160.414,0.058,-0.001,5.000
74241.239,297.157,356.484,160.734,-0.007,-0.001,5.000
74249.302,297.158,356.405,160.414,-0.024,0.020,5.000
74237.208,297.158,356.326,160.414,0.009,0.010,5.000
74249.302,297.153,356.405,160.894,-0.007,0.020,5.000
74245.271,297.155,356.484,160.574,0.009,-0.001,5.000
74241.239,297.157,356.168,160.734,-0.007,-0.001,5.000
74237.208,297.155,356.326,160.414,-0.007,-0.012,5.000
74249.302,297.155,356.247,160.414,0.009,-0.001,5.000
74245.271,297.155,356.089,160.414,-0.007,0.010,5.000
74257.365,297.157,356.326,160.253,-0.007,-0.001,5.000
74245.271,297.157,356.326,160.574,0.009,0.010,5.000
74241.239,297.160,356.405,160.574,-0.024,0.010,5.000
74253.333,297.157,356.405,160.253,0.009,-0.001,5.000
74249.302,297.158,356.247,160.253,-0.007,0.010,5.000
74245.271,297.158,356.247,160.253,0.025,-0.001,5.000
74241.239,297.158,356.326,160.253,-0.024,0.010,5.000
74245.271,297.157,356.247,160.253,0.025,-0.001,5.000
74253.333,297.158,356.168,160.414,0.009,-0.001,5.000
74245.271,297.157,356.168,160.253,-0.007,0.020,5.000
74245.271,297.158,356.168,160.093,0.009,0.010,5.000
74249.302,297.158,356.168,160.253,0.009,-0.001,5.000
74241.239,297.158,356.326,160.253,-0.024,-0.001,5.000
74241.239,297.158,356.089,159.933,-0.007,-0.001,5.000
74245.271,297.158,356.089,160.253,0.009,-0.001,5.000
74237.208,297.160,356.089,160.253,-0.024,-0.023,5.000
74249.302,297.157,356.247,160.093,0.009,-0.012,5.000
74241.239,297.158,356.168,159.933,0.009,0.020,5.000
74249.302,297.155,356.247,159.933,-0.007,0.020,5.000
74241.239,297.157,356.089,160.093,-0.007,0.010,5.000
74237.208,297.153,356.168,159.933,-0.007,-0.001,5.000
74241.239,297.160,356.089,159.933,-0.007,-0.001,5.000
74245.271,297.157,356.247,159.613,0.009,-0.001,5.000
74245.271,297.153,356.326,159.773,0.009,0.010,5.000
74245.271,297.158,356.247,159.773,-0.024,0.010,5.000
74245.271,297.155,356.168,159.773,-0.007,-0.012,5.000
74245.271,297.157,356.326,159.933,0.009,-0.001,5.000
74245.271,297.153,356.326,159.933,0.009,-0.001,5.000
74245.271,297.155,356.326,159.613,0.009,-0.012,5.000
74237.208,297.153,356.247,159.613,-0.007,0.010,5.000
74237.208,297.150,356.405,159.453,0.025,0.010,5.000
74245.271,297.153,356.405,159.613,0.009,-0.033,5.000
74241.239,297.150,356.484,159.773,-0.007,0.010,5.000
74233.176,297.153,356.405,159.453,-0.024,-0.001,5.000
74241.239,297.153,356.405,159.453,-0.007,-0.001,5.000
74241.239,297.155,356.484,159.613,-0.007,-0.001,5.000
74249.302,297.157,356.642,159.613,0.009,0.010,5.000
74249.302,297.155,356.563,159.453,0.009,0.020,5.000
74253.333,297.155,356.484,159.133,0.009,0.010,5.000
74253.333,297.153,356.484,159.133,0.009,-0.012,5.000
74249.302,297.157,356.484,159.133,0.009,-0.001,5.000
74253.333,297.152,356.484,158.973,0.009,-0.012,5.000
74249.302,297.153,356.405,159.293,0.009,-0.001,5.000
74249.302,297.155,356.484,159.133,-0.024,-0.001,5.000
74257.365,297.157,356.563,158.973,0.009,-0.001,5.000
74253.333,297.158,356.484,158.973,-0.024,-0.001,5.000
74253.333,297.155,356.484,158.652,0.025,-0.001,5.000
74253.333,297.157,356.405,158.813,0.025,0.010,5.000
74249.302,297.157,356.484,158.973,0.009,-0.001,5.000
74253.333,297.158,356.405,158.492,-0.007,-0.012,5.000
74249.302,297.158,356.326,158.652,0.025,0.010,5.000
74253.333,297.155,356.405,158.652,-0.007,0.010,5.000
74249.302,297.158,356.326,158.652,-0.007,-0.012,5.000
74249.302,297.158,356.326,158.492,0.042,-0.012,5.000
74257.365,297.158,356.405,158.332,0.009,-0.001,5.000
74253.333,297.158,356.168,158.172,0.042,0.010,5.000
74253.333,297.158,356.089,158.332,0.009,0.010,5.000
74253.333,297.157,356.168,158.492,-0.007,0.010,5.000
74253.333,297.160,356.168,158.332,-0.024,-0.001,5.000
74245.271,297.155,356.247,158.492,0.009,0.010,5.000
74253.333,297.157,356.089,158.652,-0.040,-0.012,5.000
74253.333,297.161,356.009,158.332,0.009,-0.001,5.000
74249.302,297.158,356.089,158.172,-0.007,-0.001,5.000
74253.333,297.161,355.930,158.332,0.009,0.010,5.000
74249.302,297.157,355.930,158.332,-0.007,-0.001,5.000
74249.302,297.160,356.009,158.492,0.009,-0.012,5.000
74249.302,297.158,355.851,158.813,-0.007,-0.012,5.000
74245.271,297.158,355.930,158.492,0.009,-0.012,5.000
74253.333,297.155,355.851,158.652,0.025,-0.001,5.000
74249.302,297.155,355.851,158.973,-0.024,-0.001,5.000
74241.239,297.155,355.930,158.813,0.009,-0.012,5.000
74249.302,297.157,355.930,159.133,-0.007,0.010,5.000
74249.302,297.155,355.851,158.973,0.025,-0.012,5.000
74245.271,297.158,355.772,159.133,0.009,-0.012,5.000
74245.271,297.157,355.851,159.133,-0.024,0.010,5.000
74249.302,297.155,355.851,159.133,-0.007,0.010,5.000
74249.302,297.155,355.930,159.293,-0.007,-0.012,5.000
74249.302,297.157,355.930,159.613,-0.007,-0.001,5.000
74245.271,297.158,355.772,159.773,-0.007,-0.012,5.000
74249.302,297.157,356.089,159.773,-0.007,-0.001,5.000
74245.271,297.155,355.851,159.933,-0.007,0.010,5.000
74245.271,297.155,355.930,159.933,0.009,-0.001,5.000
74249.302,297.153,355.851,160.253,-0.024,-0.001,5.000
74249.302,297.153,355.851,160.093,-0.007,0.010,5.000
74241.239,297.157,356.009,160.414,0.009,-0.023,5.000
74245.271,297.152,355.930,160.734,0.025,0.020,5.000
74253.333,297.152,356.089,160.253,0.009,0.010,5.000
74249.302,297.157,356.009,160.574,-0.007,0.010,5.000
74253.333,297.153,356.009,160.414,0.009,-0.001,5.000
74249.302,297.155,356.009,160.734,0.009,-0.001,5.000
74245.271,297.155,356.009,160.734,0.009,-0.012,5.000
74245.271,297.155,356.009,160.734,0.009,-0.012,5.000
74257.365,297.157,356.009,160.894,-0.007,-0.001,5.000
74245.271,297.152,356.089,161.054,-0.007,-0.001,5.000
74249.302,297.158,356.247,161.054,0.009,0.010,5.000
74241.239,297.155,356.089,161.054,0.009,-0.001,5.000
74249.302,297.155,356.168,160.734,-0.007,0.020,5.000
74249.302,297.155,356.247,161.054,0.009,-0.001,5.000
74249.302,297.158,356.168,160.734,-0.007,0.020,5.000
74245.271,297.160,356.168,160.894,0.009,0.010,5.000
74245.271,297.161,356.247,160.894,0.009,-0.001,5.000
74253.333,297.155,356.168,161.054,0.025,-0.001,5.000
74245.271,297.158,356.089,160.734,-0.007,-0.001,5.000
74245.271,297.158,356.168,160.894,-0.007,-0.001,5.000
74249.302,297.158,356.247,161.054,-0.007,-0.001,5.000
74249.302,297.160,356.168,160.734,0.009,-0.001,5.000
74249.302,297.160,356.089,160.734,-0.007,-0.023,5.000
74249.302,297.157,356.089,160.734,0.009,-0.001,5.000
74245.271,297.160,356.247,160.734,0.025,-0.001,5.000
74241.239,297.160,356.168,160.414,-0.007,-0.001,5.000
74249.302,297.161,356.168,160.414,-0.024,-0.001,5.000
74253.333,297.157,356.168,160.093,-0.007,-0.001,5.000
74245.271,297.160,356.089,159.933,0.009,-0.012,5.000
74249.302,297.161,356.168,160.253,-0.007,-0.012,5.000
74245.271,297.157,356.089,160.093,-0.007,-0.001,5.000
74249.302,297.161,356.089,159.773,-0.024,-0.001,5.000
74249.302,297.160,356.009,159.773,-0.007,-0.001,5.000
74249.302,297.157,356.247,159.453,-0.007,-0.033,5.000
74253.333,297.160,356.168,159.613,0.009,-0.001,5.000
74249.302,297.158,356.247,159.133,0.009,-0.001,5.000
74245.271,297.160,356.247,159.133,0.009,-0.023,5.000
74249.302,297.157,356.168,159.133,-0.007,-0.001,5.000
74245.271,297.161,356.247,158.973,0.009,0.010,5.000
74249.302,297.158,356.247,158.652,-0.007,-0.001,5.000
74249.302,297.157,356.168,158.492,-0.007,-0.001,5.000
74245.271,297.158,356.168,158.332,0.009,-0.001,5.000
74249.302,297.158,356.247,158.332,0.009,-0.001,5.000
74249.302,297.157,356.168,158.172,0.009,-0.001,5.000
74253.333,297.157,356.247,158.172,0.009,-0.001,5.000
