%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
73084.237,297.469,1.293,1.276,-236.643,80.050,0.500
73084.237,297.468,1.293,1.276,-236.626,80.039,0.500
73080.205,297.469,1.135,1.276,-236.626,80.039,0.500
73080.205,297.469,1.214,1.276,-236.643,80.028,0.500
73084.237,297.469,1.214,0.955,-236.626,80.039,0.500
73084.237,297.471,1.293,1.116,-236.626,80.039,0.500
73080.205,297.469,1.135,1.276,-236.659,80.039,0.500
73072.143,297.469,1.214,1.436,-236.626,80.028,0.500
73080.205,297.471,1.293,1.276,-236.626,80.050,0.500
73080.205,297.469,1.135,1.276,-236.626,80.039,0.500
73072.143,297.469,1.135,1.276,-236.643,80.039,0.500
73080.205,297.468,1.214,1.436,-236.626,80.018,0.500
73080.205,297.469,1.056,1.276,-236.610,80.039,0.500
73076.174,297.471,1.135,1.436,-236.626,80.039,0.500
73084.237,297.469,1.056,1.276,-236.643,80.028,0.500
73076.174,297.471,1.135,1.436,-236.643,80.028,0.500
73068.111,297.469,1.135,1.596,-236.659,80.039,0.500
73076.174,297.468,1.214,1.596,-236.610,80.050,0.500
73080.205,297.466,1.214,1.436,-236.643,80.028,0.500
73080.205,297.468,1.056,1.436,-236.659,80.039,0.500
73080.205,297.468,1.135,1.436,-236.626,80.039,0.500
73072.143,297.471,1.056,1.436,-236.643,80.039,0.500
73076.174,297.469,1.056,1.116,-236.610,80.028,0.500
73072.143,297.469,1.135,1.436,-236.610,80.039,0.500
73080.205,297.468,1.135,1.436,-236.626,80.028,0.500
73076.174,297.468,1.056,1.436,-236.626,80.018,0.500
73084.237,297.469,1.293,1.436,-236.643,80.039,0.500
73080.205,297.468,1.135,1.436,-236.626,80.050,0.500
73080.205,297.469,1.214,1.436,-236.610,80.039,0.500
73088.268,297.469,1.135,1.436,-236.675,80.028,0.500
73076.174,297.469,1.135,1.116,-236.643,80.028,0.500
73088.268,297.469,1.214,1.436,-236.643,80.039,0.500
73080.205,297.471,1.056,1.276,-236.626,80.028,0.500
73088.268,297.469,1.214,1.276,-236.626,80.028,0.500
73080.205,297.469,1.214,1.116,-236.643,80.039,0.500
73080.205,297.471,1.451,1.596,-236.626,80.028,0.500
73076.174,297.473,1.135,1.116,-236.643,80.028,0.500
73076.174,297.473,1.293,1.436,-236.643,80.028,0.500
73084.237,297.473,1.372,1.276,-236.626,80.028,0.500
73084.237,297.468,1.135,1.276,-236.626,80.028,0.500
73080.205,297.473,1.293,1.436,-236.626,80.028,0.500
73084.237,297.473,1.372,1.276,-236.626,80.028,0.500
73076.174,297.473,1.293,1.276,-236.626,80.028,0.500
73084.237,297.471,1.214,1.276,-236.626,80.028,0.500
73084.237,297.473,1.293,1.436,-236.626,80.039,0.500
73084.237,297.471,1.293,1.436,-236.626,80.028,0.500
73088.268,297.474,1.214,1.116,-236.594,80.018,0.500
73084.237,297.473,1.293,1.436,-236.626,80.039,0.500
73084.237,297.473,1.214,1.596,-236.643,80.028,0.500
73080.205,297.476,1.372,1.116,-236.594,80.039,0.500
73096.331,297.473,1.372,1.436,-236.594,80.050,0.500
73080.205,297.473,1.214,1.436,-236.626,80.018,0.500
73076.174,297.474,1.293,1.436,-236.643,80.050,0.500
73080.205,297.469,1.372,1.436,-236.643,80.039,0.500
73080.205,297.474,1.056,1.276,-236.626,80.028,0.500
73084.237,297.474,1.214,1.116,-236.643,80.039,0.500
73076.174,297.474,1.214,1.276,-236.643,80.039,0.500
73084.237,297.473,1.214,1.276,-236.610,80.018,0.500
73076.174,297.471,1.135,1.276,-236.643,80.007,0.500
73076.174,297.471,1.372,1.116,-236.643,80.050,0.500
73072.143,297.471,1.135,1.276,-236.626,80.018,0.500
73076.174,297.473,1.214,0.795,-236.643,80.028,0.500
73072.143,297.473,1.135,0.955,-236.643,80.028,0.500
73076.174,297.473,1.135,1.276,-236.626,80.018,0.500
73072.143,297.469,1.135,1.116,-236.643,80.050,0.500
73080.205,297.469,1.135,1.116,-236.643,80.039,0.500
73072.143,297.469,1.056,1.436,-236.659,80.039,0.500
73072.143,297.471,1.135,0.795,-236.643,80.039,0.500
73080.205,297.471,1.135,1.276,-236.659,80.028,0.500
73076.174,297.473,1.135,1.116,-236.643,80.028,0.500
73080.205,297.471,1.135,1.276,-236.610,80.018,0.500
73076.174,297.473,1.056,0.955,-236.643,80.028,0.500
73076.174,297.471,1.135,0.955,-236.643,80.039,0.500
73076.174,297.469,1.214,0.955,-236.659,80.028,0.500
73072.143,297.473,1.214,1.276,-236.643,80.039,0.500
73076.174,297.474,1.214,1.116,-236.626,80.039,0.500
73076.174,297.471,1.293,1.116,-236.626,80.028,0.500
73072.143,297.471,1.214,1.436,-236.643,80.018,0.500
73080.205,297.473,1.372,1.116,-236.626,80.028,0.500
73080.205,297.471,1.135,0.955,-236.626,80.050,0.500
73080.205,297.473,1.135,1.116,-236.659,80.050,0.500
73084.237,297.471,1.214,1.276,-236.643,80.039,0.500
73080.205,297.468,1.214,1.276,-236.610,80.018,0.500
73084.237,297.473,1.135,1.276,-236.643,80.050,0.500
73084.237,297.471,1.293,1.276,-236.610,80.050,0.500
73088.268,297.473,1.214,0.955,-236.626,80.039,0.500
73084.237,297.471,1.135,1.276,-236.643,80.039,0.500
73080.205,297.473,1.293,0.955,-236.643,80.028,0.500
73080.205,297.474,1.056,1.276,-236.626,80.028,0.500
73076.174,297.474,1.293,1.116,-236.643,80.028,0.500
73080.205,297.474,1.293,1.116,-236.659,80.028,0.500
73080.205,297.474,1.293,1.276,-236.626,80.018,0.500
73084.237,297.473,1.135,1.116,-236.643,80.039,0.500
73080.205,297.473,1.214,1.276,-236.659,80.039,0.500
73084.237,297.473,1.214,1.116,-236.594,80.028,0.500
73084.237,297.473,1.135,1.116,-236.659,80.039,0.500
73080.205,297.473,1.214,1.276,-236.643,80.039,0.500
73080.205,297.476,1.135,1.436,-236.643,80.028,0.500
73076.174,297.474,1.214,1.436,-236.643,80.039,0.500
73084.237,297.473,1.214,1.276,-236.659,80.028,0.500
73084.237,297.474,1.135,1.436,-236.610,80.028,0.500
73076.174,297.473,1.293,1.436,-236.610,80.050,0.500
73080.205,297.471,1.293,1.276,-236.610,80.028,0.500
73072.143,297.469,1.135,1.436,-236.626,80.028,0.500
73084.237,297.471,1.135,1.116,-236.643,80.039,0.500
73076.174,297.471,1.135,1.116,-236.643,80.018,0.500
73076.174,297.471,1.214,1.276,-236.643,80.028,0.500
73072.143,297.471,1.056,1.436,-236.675,80.028,0.500
73072.143,297.469,1.214,1.436,-236.643,80.039,0.500
73076.174,297.471,1.214,1.276,-236.626,80.028,0.500
73072.143,297.473,1.135,1.436,-236.643,80.039,0.500
73076.174,297.469,1.135,1.116,-236.626,80.039,0.500
73080.205,297.469,1.135,1.436,-236.626,80.039,0.500
73076.174,297.471,1.056,1.276,-236.626,80.018,0.500
73076.174,297.469,1.135,0.955,-236.626,80.039,0.500
73072.143,297.468,1.214,1.116,-236.643,80.028,0.500
73080.205,297.469,1.135,1.276,-236.643,80.039,0.500
73084.237,297.469,1.214,1.116,-236.610,80.028,0.500
73088.268,297.473,1.214,1.436,-236.626,80.050,0.500
73080.205,297.468,1.293,1.436,-236.626,80.039,0.500
73088.268,297.469,1.372,1.116,-236.626,80.007,0.500
73084.237,297.471,1.056,1.116,-236.659,80.039,0.500
73088.268,297.468,1.214,0.955,-236.626,80.018,0.500
73084.237,297.471,1.372,1.116,-236.594,80.018,0.500
73084.237,297.471,1.293,1.436,-236.626,80.039,0.500
73092.300,297.469,1.293,1.276,-236.610,80.028,0.500
73092.300,297.469,1.372,1.596,-236.643,80.028,0.500
73084.237,297.469,1.372,1.116,-236.626,80.050,0.500
73080.205,297.471,1.293,1.116,-236.626,80.039,0.500
73088.268,297.469,1.293,1.276,-236.659,80.028,0.500
73088.268,297.471,1.451,1.116,-236.643,80.039,0.500
73088.268,297.469,1.214,1.596,-236.626,80.028,0.500
73088.268,297.473,1.293,1.436,-236.643,80.050,0.500
73088.268,297.473,1.372,1.116,-236.643,80.039,0.500
73100.362,297.471,1.293,0.795,-236.643,80.039,0.500
73092.300,297.473,1.372,1.276,-236.643,80.039,0.500
73092.300,297.473,1.451,1.276,-236.643,80.028,0.500
73088.268,297.469,1.451,1.116,-236.626,80.018,0.500
73084.237,297.473,1.372,1.116,-236.643,80.028,0.500
73092.300,297.473,1.293,1.436,-236.626,80.028,0.500
73084.237,297.474,1.530,1.436,-236.626,80.039,0.500
73084.237,297.471,1.372,1.596,-236.643,80.028,0.500
73088.268,297.471,1.293,1.276,-236.626,80.028,0.500
73092.300,297.474,1.293,1.436,-236.659,80.018,0.500
73088.268,297.473,1.372,1.276,-236.659,80.028,0.500
73084.237,297.471,1.372,1.116,-236.659,80.018,0.500
73076.174,297.474,1.372,1.436,-236.643,80.028,0.500
73076.174,297.473,1.293,1.116,-236.626,80.028,0.500
73080.205,297.474,1.135,1.116,-236.643,80.028,0.500
73076.174,297.471,1.214,1.436,-236.659,80.018,0.500
73084.237,297.471,1.293,1.116,-236.643,80.028,0.500
73076.174,297.471,1.372,1.436,-236.643,80.018,0.500
73072.143,297.471,1.214,1.116,-236.643,80.018,0.500
73072.143,297.471,1.214,1.276,-236.626,80.050,0.500
73064.080,297.469,1.293,1.116,-236.643,80.028,0.500
73068.111,297.469,1.135,1.116,-236.626,80.028,0.500
73068.111,297.471,1.214,1.116,-236.626,80.050,0.500
