%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
74213.020,297.773,1.237,1.315,-258.902,93.104,0.500
74217.051,297.776,1.237,0.994,-258.902,93.114,0.500
74217.051,297.779,1.237,1.155,-258.918,93.125,0.500
74217.051,297.776,1.237,1.315,-258.902,93.136,0.500
74213.020,297.774,1.237,1.315,-258.886,93.157,0.500
74213.020,297.779,1.237,1.315,-258.886,93.147,0.500
74208.988,297.779,1.395,1.315,-258.886,93.125,0.500
74208.988,297.776,1.158,1.475,-258.902,93.136,0.500
74204.957,297.777,1.158,1.475,-258.853,93.125,0.500
74204.957,297.777,1.079,1.475,-258.902,93.136,0.500
74213.020,297.777,1.158,1.475,-258.902,93.136,0.500
74208.988,297.779,1.316,1.315,-258.902,93.147,0.500
74200.926,297.779,1.237,1.635,-258.886,93.125,0.500
74204.957,297.774,1.079,1.635,-258.886,93.136,0.500
74213.020,297.777,1.158,1.635,-258.886,93.136,0.500
74204.957,297.779,1.237,1.635,-258.902,93.136,0.500
74204.957,297.779,1.079,1.475,-258.902,93.125,0.500
74204.957,297.777,1.079,1.475,-258.902,93.114,0.500
74196.894,297.779,1.000,1.795,-258.869,93.157,0.500
74200.926,297.782,1.000,1.795,-258.902,93.136,0.500
74200.926,297.781,1.079,1.635,-258.918,93.147,0.500
74204.957,297.779,0.921,1.475,-258.918,93.136,0.500
74204.957,297.777,1.000,1.475,-258.869,93.136,0.500
74200.926,297.781,1.079,1.315,-258.886,93.114,0.500
74213.020,297.781,1.000,1.315,-258.886,93.125,0.500
74200.926,297.781,1.000,1.635,-258.902,93.136,0.500
74196.894,297.781,1.000,1.475,-258.902,93.125,0.500
74204.957,297.782,0.921,1.475,-258.902,93.147,0.500
74208.988,297.782,1.000,1.795,-258.918,93.125,0.500
74200.926,297.781,1.079,1.315,-258.902,93.114,0.500
74200.926,297.782,1.079,1.475,-258.886,93.114,0.500
74204.957,297.779,1.158,1.315,-258.886,93.104,0.500
74204.957,297.781,1.000,1.315,-258.886,93.136,0.500
74204.957,297.781,0.921,1.315,-258.902,93.125,0.500
74204.957,297.781,1.000,1.155,-258.902,93.136,0.500
74204.957,297.782,1.079,1.155,-258.869,93.136,0.500
74213.020,297.782,1.079,1.315,-258.886,93.136,0.500
74204.957,297.781,1.158,1.155,-258.886,93.125,0.500
74204.957,297.781,1.079,1.315,-258.886,93.114,0.500
74213.020,297.777,1.158,1.155,-258.902,93.125,0.500
74208.988,297.779,1.237,1.155,-258.902,93.147,0.500
74208.988,297.777,1.000,0.994,-258.902,93.136,0.500
74208.988,297.779,1.079,1.155,-258.902,93.136,0.500
74217.051,297.777,1.237,1.155,-258.886,93.136,0.500
74213.020,297.782,1.316,0.994,-258.902,93.125,0.500
74213.020,297.779,1.158,0.994,-258.886,93.114,0.500
74208.988,297.779,1.079,1.315,-258.902,93.136,0.500
74213.020,297.781,1.237,1.155,-258.935,93.136,0.500
74204.957,297.782,1.237,1.315,-258.902,93.136,0.500
74213.020,297.779,1.237,0.994,-258.918,93.125,0.500
74217.051,297.777,1.237,1.155,-258.902,93.125,0.500
74213.020,297.781,1.237,1.155,-258.902,93.136,0.500
74200.926,297.781,1.237,0.834,-258.902,93.136,0.500
74208.988,297.781,1.316,1.315,-258.918,93.136,0.500
74213.020,297.779,1.000,1.635,-258.902,93.125,0.500
74213.020,297.779,1.079,1.315,-258.902,93.136,0.500
74204.957,297.781,1.237,1.155,-258.886,93.136,0.500
74196.894,297.781,1.158,1.315,-258.902,93.136,0.500
74204.957,297.781,1.237,1.475,-258.918,93.136,0.500
74204.957,297.781,1.079,1.635,-258.902,93.125,0.500
74204.957,297.779,1.158,1.315,-258.918,93.125,0.500
74204.957,297.782,1.158,1.315,-258.918,93.125,0.500
74204.957,297.784,1.000,1.475,-258.886,93.125,0.500
74200.926,297.781,1.079,1.315,-258.902,93.157,0.500
74204.957,297.781,1.079,1.635,-258.886,93.136,0.500
74204.957,297.779,1.158,1.795,-258.853,93.136,0.500
74200.926,297.779,1.000,1.635,-258.886,93.136,0.500
74204.957,297.781,1.158,1.475,-258.918,93.136,0.500
74200.926,297.782,1.079,1.795,-258.886,93.125,0.500
74200.926,297.782,1.079,1.795,-258.902,93.125,0.500
74200.926,297.781,1.079,1.795,-258.902,93.125,0.500
74204.957,297.784,1.079,1.635,-258.886,93.136,0.500
74200.926,297.779,1.158,1.635,-258.886,93.125,0.500
74196.894,297.779,1.000,1.635,-258.902,93.114,0.500
74196.894,297.777,1.158,1.635,-258.918,93.136,0.500
74200.926,297.779,1.158,1.315,-258.869,93.125,0.500
74204.957,297.779,1.158,1.475,-258.869,93.114,0.500
74204.957,297.779,1.000,1.635,-258.902,93.114,0.500
74204.957,297.784,1.000,1.795,-258.902,93.136,0.500
74208.988,297.782,1.000,1.475,-258.886,93.136,0.500
74200.926,297.782,1.000,1.315,-258.902,93.136,0.500
74208.988,297.781,1.000,1.475,-258.869,93.125,0.500
74204.957,297.779,1.000,1.315,-258.902,93.125,0.500
74208.988,297.781,1.000,1.475,-258.918,93.136,0.500
