%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
73999.357,297.669,8.612,8.311,-319.169,60.458,1.000
73991.294,297.669,8.849,8.631,-319.169,60.469,1.000
73991.294,297.668,8.849,8.311,-319.169,60.469,1.000
73991.294,297.669,8.612,8.471,-319.169,60.469,1.000
73995.326,297.668,8.770,8.791,-319.186,60.469,1.000
73995.326,297.669,8.770,8.791,-319.169,60.469,1.000
73991.294,297.671,8.928,8.631,-319.186,60.469,1.000
74003.388,297.671,8.928,8.791,-319.186,60.469,1.000
73987.263,297.668,8.928,8.471,-319.169,60.480,1.000
73991.294,297.669,8.849,8.631,-319.153,60.458,1.000
73991.294,297.671,8.928,8.791,-319.186,60.469,1.000
73995.326,297.668,8.928,8.791,-319.186,60.469,1.000
73995.326,297.673,8.928,8.791,-319.153,60.458,1.000
73995.326,297.673,9.007,8.951,-319.186,60.458,1.000
74003.388,297.669,8.928,8.951,-319.153,60.458,1.000
73991.294,297.669,8.928,8.951,-319.186,60.480,1.000
73999.357,297.674,9.086,8.951,-319.169,60.480,1.000
73999.357,297.669,8.928,8.951,-319.169,60.480,1.000
73995.326,297.669,8.928,8.631,-319.169,60.469,1.000
73991.294,297.671,9.007,8.951,-319.186,60.448,1.000
73999.357,297.676,9.007,8.631,-319.137,60.491,1.000
74003.388,297.674,8.770,9.111,-319.169,60.458,1.000
73999.357,297.676,9.007,8.951,-319.169,60.448,1.000
73999.357,297.673,8.849,8.791,-319.169,60.458,1.000
74003.388,297.673,8.770,8.791,-319.186,60.448,1.000
73999.357,297.673,8.849,8.791,-319.169,60.480,1.000
73999.357,297.674,8.770,8.951,-319.169,60.469,1.000
74003.388,297.674,8.612,8.951,-319.202,60.458,1.000
73995.326,297.674,8.928,8.951,-319.169,60.480,1.000
74003.388,297.676,8.849,8.951,-319.169,60.480,1.000
73999.357,297.676,8.691,8.951,-319.153,60.469,1.000
73999.357,297.674,8.691,8.791,-319.202,60.480,1.000
73999.357,297.674,8.770,8.951,-319.186,60.458,1.000
73999.357,297.676,8.691,8.951,-319.153,60.458,1.000
73995.326,297.676,8.612,8.951,-319.169,60.480,1.000
73991.294,297.676,8.533,8.631,-319.186,60.469,1.000
73991.294,297.673,8.612,8.951,-319.186,60.469,1.000
73995.326,297.677,8.533,8.951,-319.169,60.458,1.000
73991.294,297.674,8.533,8.791,-319.169,60.448,1.000
