%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
73882.447,298.595,6.369,8.364,-320.752,74.715,1.000
73882.447,298.593,6.448,8.203,-320.752,74.704,1.000
73878.416,298.595,6.448,8.043,-320.736,74.725,1.000
73878.416,298.595,6.290,8.364,-320.736,74.704,1.000
73878.416,298.595,6.369,8.043,-320.752,74.715,1.000
73874.385,298.595,6.369,8.043,-320.752,74.725,1.000
73874.385,298.597,6.290,8.043,-320.736,74.704,1.000
73874.385,298.593,6.527,8.203,-320.736,74.725,1.000
73874.385,298.592,6.290,7.883,-320.736,74.704,1.000
73874.385,298.593,6.369,8.043,-320.752,74.715,1.000
73870.353,298.593,6.290,8.043,-320.752,74.715,1.000
73878.416,298.592,6.369,7.723,-320.736,74.725,1.000
73882.447,298.593,6.211,7.883,-320.769,74.693,1.000
73870.353,298.593,6.369,8.203,-320.736,74.715,1.000
73874.385,298.588,6.290,7.723,-320.752,74.725,1.000
73874.385,298.588,6.211,8.043,-320.752,74.704,1.000
73878.416,298.590,6.290,8.203,-320.769,74.725,1.000
73870.353,298.587,6.211,8.043,-320.752,74.725,1.000
73874.385,298.587,6.369,7.883,-320.785,74.725,1.000
73870.353,298.588,6.211,7.723,-320.752,74.725,1.000
73874.385,298.588,6.369,7.723,-320.752,74.704,1.000
73874.385,298.588,6.290,7.883,-320.752,74.704,1.000
73874.385,298.588,6.369,7.723,-320.752,74.715,1.000
73878.416,298.587,6.369,7.723,-320.752,74.715,1.000
73878.416,298.587,6.290,7.723,-320.769,74.704,1.000
73878.416,298.585,6.211,8.043,-320.769,74.725,1.000
73878.416,298.588,6.211,8.043,-320.769,74.725,1.000
73878.416,298.587,6.211,7.883,-320.769,74.704,1.000
73882.447,298.587,6.211,7.563,-320.769,74.715,1.000
73874.385,298.585,6.132,7.883,-320.752,74.693,1.000
73878.416,298.588,6.132,7.723,-320.736,74.715,1.000
73874.385,298.588,6.290,7.723,-320.752,74.704,1.000
73878.416,298.588,6.132,8.203,-320.736,74.725,1.000
73882.447,298.585,6.211,7.883,-320.752,74.715,1.000
73878.416,298.590,6.053,7.723,-320.752,74.715,1.000
73882.447,298.588,6.211,8.043,-320.769,74.725,1.000
73878.416,298.588,6.211,8.203,-320.769,74.725,1.000
73882.447,298.590,6.211,8.203,-320.769,74.725,1.000
73882.447,298.587,6.290,7.883,-320.736,74.704,1.000
73878.416,298.587,6.211,8.043,-320.752,74.704,1.000
73890.510,298.590,6.132,7.723,-320.752,74.704,1.000
73882.447,298.588,6.211,7.723,-320.752,74.715,1.000
73878.416,298.590,6.211,8.043,-320.769,74.693,1.000
