%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
72568.222,297.847,358.594,187.542,-0.001,-0.005,5.000
72572.254,297.843,358.594,187.542,0.015,-0.005,5.000
72568.222,297.848,358.752,187.061,-0.018,-0.005,5.000
72572.254,297.845,358.831,186.901,-0.001,0.027,5.000
72576.285,297.843,358.752,186.741,-0.001,-0.005,5.000
72572.254,297.847,358.831,186.261,-0.001,-0.005,5.000
72572.254,297.847,358.910,185.941,-0.018,-0.016,5.000
72576.285,297.848,358.910,186.101,0.015,0.005,5.000
72576.285,297.843,358.989,185.620,0.015,-0.005,5.000
72576.285,297.845,358.989,185.460,-0.001,-0.016,5.000
72572.254,297.847,359.068,185.460,-0.018,0.005,5.000
72580.316,297.848,359.147,185.300,-0.001,0.027,5.000
72572.254,297.848,359.147,185.300,-0.001,0.005,5.000
72572.254,297.847,359.147,185.300,-0.018,-0.005,5.000
72572.254,297.843,359.068,184.820,-0.001,-0.005,5.000
72576.285,297.845,359.147,184.980,0.015,-0.005,5.000
72576.285,297.843,359.147,185.140,-0.001,0.005,5.000
72576.285,297.843,359.226,184.980,-0.018,-0.027,5.000
72576.285,297.843,359.384,184.980,-0.001,-0.005,5.000
72576.285,297.845,359.384,185.140,0.015,0.005,5.000
72572.254,297.845,359.542,185.300,-0.034,-0.027,5.000
72580.316,297.845,359.542,184.980,-0.018,-0.005,5.000
72580.316,297.843,359.700,185.300,-0.001,-0.005,5.000
72576.285,297.842,359.621,185.460,-0.001,-0.005,5.000
72576.285,297.842,359.621,185.460,0.015,0.005,5.000
72576.285,297.845,359.542,185.300,-0.018,0.005,5.000
72576.285,297.843,359.700,185.620,-0.001,-0.016,5.000
72580.316,297.845,359.779,185.941,-0.001,-0.016,5.000
72576.285,297.842,359.779,185.781,0.015,-0.005,5.000
72580.316,297.843,359.700,186.101,-0.001,-0.005,5.000
72584.348,297.843,359.858,185.941,-0.001,-0.005,5.000
72576.285,297.847,359.858,185.941,-0.001,-0.005,5.000
72576.285,297.843,359.858,186.261,-0.001,-0.016,5.000
72576.285,297.842,359.858,186.421,-0.001,0.005,5.000
72576.285,297.843,359.937,186.421,0.031,-0.005,5.000
72576.285,297.847,360.016,186.741,-0.001,-0.005,5.000
72580.316,297.845,359.858,186.741,0.015,-0.005,5.000
72576.285,297.842,359.937,186.581,0.031,0.005,5.000
72576.285,297.847,359.937,186.741,0.015,-0.005,5.000
72576.285,297.845,360.016,187.061,-0.018,-0.005,5.000
72576.285,297.848,359.937,187.061,-0.018,0.005,5.000
72576.285,297.847,359.937,187.061,-0.001,0.005,5.000
72580.316,297.845,359.937,187.221,-0.018,0.005,5.000
72576.285,297.847,359.937,187.061,-0.018,-0.005,5.000
72576.285,297.847,360.016,186.901,0.015,-0.005,5.000
72576.285,297.847,359.937,187.221,0.015,-0.005,5.000
72576.285,297.847,359.937,187.221,-0.001,0.005,5.000
72584.348,297.847,360.016,187.061,0.015,-0.005,5.000
72576.285,297.847,359.858,187.221,0.015,0.016,5.000
72572.254,297.848,360.095,187.542,-0.001,0.005,5.000
72580.316,297.850,360.016,187.542,0.015,-0.016,5.000
72576.285,297.847,360.016,187.382,-0.018,-0.005,5.000
72572.254,297.848,359.937,187.382,0.015,-0.005,5.000
72572.254,297.847,359.937,187.061,0.015,-0.016,5.000
72572.254,297.848,360.016,187.221,-0.001,-0.016,5.000
72576.285,297.848,359.937,187.061,-0.001,0.005,5.000
72580.316,297.852,359.779,187.221,-0.018,0.005,5.000
