%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
72576.285,297.456,355.110,180.173,0.008,-0.009,5.000
72572.254,297.456,355.110,179.853,0.008,-0.009,5.000
72576.285,297.452,355.110,180.013,0.024,-0.009,5.000
72576.285,297.455,355.110,179.853,-0.025,0.001,5.000
72580.316,297.456,355.268,179.693,-0.008,0.001,5.000
72576.285,297.456,355.110,179.533,-0.008,-0.020,5.000
72576.285,297.456,355.268,179.533,0.008,-0.009,5.000
72572.254,297.458,355.268,179.373,0.024,0.001,5.000
72576.285,297.456,355.268,179.213,-0.008,0.001,5.000
72572.254,297.456,355.347,178.892,-0.008,0.012,5.000
72572.254,297.456,355.189,178.892,-0.008,0.001,5.000
72584.348,297.456,355.189,178.572,0.041,0.001,5.000
72576.285,297.456,355.347,178.252,-0.008,0.001,5.000
72572.254,297.460,355.189,178.252,-0.025,0.001,5.000
72576.285,297.455,355.110,178.092,-0.008,0.001,5.000
72576.285,297.455,355.110,177.772,-0.025,-0.009,5.000
72572.254,297.456,355.110,177.612,-0.008,-0.020,5.000
72576.285,297.456,355.189,177.452,0.008,-0.009,5.000
72576.285,297.456,355.031,177.291,-0.041,-0.009,5.000
72576.285,297.455,354.873,177.131,0.024,0.012,5.000
72576.285,297.453,354.952,176.971,-0.008,-0.009,5.000
72576.285,297.455,354.952,176.651,0.008,-0.009,5.000
72576.285,297.458,354.873,176.331,-0.008,0.001,5.000
72576.285,297.456,354.794,176.171,-0.008,0.001,5.000
72576.285,297.456,354.715,176.171,-0.008,0.001,5.000
72580.316,297.456,354.715,176.011,0.008,-0.031,5.000
72580.316,297.456,354.794,175.851,0.008,-0.009,5.000
72576.285,297.456,354.636,175.210,-0.008,0.001,5.000
72580.316,297.456,354.478,175.691,-0.008,-0.020,5.000
72572.254,297.455,354.478,175.370,-0.008,0.001,5.000
72580.316,297.458,354.399,175.210,0.041,0.012,5.000
72584.348,297.455,354.557,175.050,0.008,0.001,5.000
72580.316,297.455,354.399,174.890,0.008,0.001,5.000
72572.254,297.456,354.320,174.730,0.008,0.001,5.000
72580.316,297.453,354.399,175.210,0.024,0.001,5.000
72580.316,297.453,354.162,174.890,-0.008,-0.009,5.000
72580.316,297.455,354.320,174.570,0.008,0.001,5.000
72584.348,297.453,354.241,174.570,0.024,-0.031,5.000
72584.348,297.453,354.162,174.570,-0.008,0.023,5.000
72576.285,297.452,354.241,174.890,0.024,-0.009,5.000
72580.316,297.452,354.320,174.730,-0.008,0.001,5.000
72576.285,297.453,354.162,174.730,0.008,-0.009,5.000
72580.316,297.452,354.083,174.730,0.008,0.001,5.000
72576.285,297.447,354.162,175.210,-0.008,-0.009,5.000
72572.254,297.453,354.241,175.050,-0.025,-0.009,5.000
72580.316,297.450,354.241,175.050,-0.008,-0.009,5.000
72576.285,297.448,354.083,175.210,-0.008,-0.009,5.000
72576.285,297.450,354.083,175.370,-0.008,-0.009,5.000
72580.316,297.450,354.162,175.370,-0.008,-0.020,5.000
72580.316,297.450,354.162,175.691,-0.008,-0.009,5.000
72580.316,297.452,354.083,175.691,-0.041,-0.009,5.000
72576.285,297.450,354.162,175.851,0.008,-0.009,5.000
72576.285,297.450,354.162,175.691,-0.008,-0.031,5.000
72580.316,297.452,354.004,176.171,0.024,-0.009,5.000
72576.285,297.450,354.083,176.011,-0.025,0.001,5.000
72588.379,297.450,354.083,175.851,0.008,-0.020,5.000
72580.316,297.450,354.162,176.331,0.024,-0.009,5.000
72580.316,297.450,354.162,176.331,0.024,-0.009,5.000
72580.316,297.452,354.241,176.331,-0.008,0.001,5.000
72588.379,297.450,354.162,176.171,-0.008,-0.009,5.000
72584.348,297.450,354.162,176.491,-0.008,0.001,5.000
72588.379,297.455,354.083,176.491,0.024,-0.009,5.000
72588.379,297.453,354.162,176.491,-0.041,0.012,5.000
72584.348,297.453,354.083,177.131,0.008,-0.009,5.000
72588.379,297.453,354.162,176.971,0.041,0.001,5.000
72584.348,297.455,354.241,176.811,0.024,-0.009,5.000
72584.348,297.453,354.004,176.651,0.041,-0.009,5.000
72584.348,297.455,354.083,176.971,-0.025,-0.020,5.000
72584.348,297.453,353.925,176.651,0.024,-0.031,5.000
72584.348,297.455,354.004,176.491,-0.008,0.001,5.000
