%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
73886.479,297.118,1.308,1.371,-318.761,69.487,0.500
73890.510,297.119,1.308,1.371,-318.745,69.476,0.500
73894.542,297.118,1.150,1.211,-318.745,69.497,0.500
73894.542,297.119,1.229,1.531,-318.745,69.497,0.500
73890.510,297.118,1.150,1.211,-318.729,69.497,0.500
73890.510,297.116,1.150,1.211,-318.761,69.487,0.500
73890.510,297.116,1.150,1.211,-318.761,69.476,0.500
73890.510,297.118,1.150,1.211,-318.761,69.487,0.500
73890.510,297.121,1.071,1.211,-318.745,69.497,0.500
73890.510,297.118,1.229,1.531,-318.761,69.519,0.500
73894.542,297.118,1.150,1.531,-318.729,69.487,0.500
73890.510,297.118,1.308,1.531,-318.729,69.497,0.500
73894.542,297.119,1.229,1.531,-318.729,69.487,0.500
73890.510,297.118,1.150,1.371,-318.745,69.476,0.500
73894.542,297.118,1.071,1.211,-318.745,69.497,0.500
73890.510,297.121,1.229,1.531,-318.761,69.487,0.500
73894.542,297.119,1.229,1.371,-318.778,69.487,0.500
73882.447,297.121,1.229,1.211,-318.729,69.497,0.500
73882.447,297.121,1.150,1.211,-318.745,69.487,0.500
73894.542,297.121,1.229,1.371,-318.761,69.497,0.500
73894.542,297.119,1.229,1.211,-318.745,69.487,0.500
73894.542,297.119,1.150,1.371,-318.745,69.476,0.500
73894.542,297.121,1.071,1.211,-318.745,69.487,0.500
73894.542,297.121,1.229,1.211,-318.729,69.497,0.500
73894.542,297.119,1.229,1.051,-318.761,69.497,0.500
73882.447,297.119,1.229,1.371,-318.745,69.487,0.500
73890.510,297.121,1.071,1.051,-318.712,69.487,0.500
73894.542,297.118,1.229,1.211,-318.761,69.497,0.500
73894.542,297.119,1.150,0.890,-318.729,69.476,0.500
73886.479,297.121,1.229,1.051,-318.761,69.487,0.500
73894.542,297.121,1.071,1.051,-318.761,69.497,0.500
73902.604,297.121,1.071,1.051,-318.745,69.487,0.500
73890.510,297.119,1.229,1.211,-318.761,69.497,0.500
73890.510,297.121,0.992,1.371,-318.729,69.487,0.500
73894.542,297.119,1.150,0.890,-318.729,69.497,0.500
73890.510,297.119,1.229,0.730,-318.745,69.487,0.500
73898.573,297.118,1.071,0.890,-318.761,69.508,0.500
73894.542,297.119,1.071,0.730,-318.761,69.497,0.500
73894.542,297.118,1.150,1.051,-318.761,69.497,0.500
73894.542,297.121,1.308,0.730,-318.745,69.476,0.500
73894.542,297.118,1.229,1.051,-318.729,69.487,0.500
73894.542,297.118,1.229,0.730,-318.745,69.487,0.500
73894.542,297.119,1.229,0.890,-318.778,69.476,0.500
73890.510,297.118,1.308,1.051,-318.745,69.487,0.500
73894.542,297.121,1.150,0.890,-318.778,69.487,0.500
73894.542,297.116,1.229,0.730,-318.745,69.497,0.500
73894.542,297.118,1.229,0.890,-318.745,69.497,0.500
73898.573,297.119,1.229,1.051,-318.761,69.508,0.500
73890.510,297.115,1.229,1.051,-318.745,69.476,0.500
73894.542,297.119,1.308,0.890,-318.778,69.497,0.500
73894.542,297.116,1.545,0.890,-318.745,69.476,0.500
73890.510,297.115,1.229,1.051,-318.745,69.487,0.500
73886.479,297.119,1.308,1.051,-318.761,69.497,0.500
73890.510,297.118,1.308,1.211,-318.761,69.487,0.500
73890.510,297.118,1.387,1.051,-318.745,69.508,0.500
73890.510,297.116,1.308,1.211,-318.761,69.508,0.500
73886.479,297.116,1.387,0.890,-318.729,69.465,0.500
73890.510,297.115,1.150,0.890,-318.778,69.497,0.500
73890.510,297.116,1.387,0.890,-318.761,69.497,0.500
73898.573,297.119,1.308,1.051,-318.778,69.497,0.500
73886.479,297.116,1.229,1.051,-318.745,69.519,0.500
73890.510,297.116,1.229,1.211,-318.745,69.508,0.500
73898.573,297.119,1.387,1.051,-318.761,69.487,0.500
73890.510,297.119,1.229,0.890,-318.745,69.476,0.500
73894.542,297.121,1.308,1.051,-318.745,69.497,0.500
73898.573,297.119,1.229,1.211,-318.729,69.497,0.500
73886.479,297.119,1.071,1.211,-318.745,69.497,0.500
73894.542,297.121,1.229,1.211,-318.729,69.487,0.500
73894.542,297.119,1.150,1.211,-318.761,69.497,0.500
73894.542,297.121,1.150,1.211,-318.761,69.508,0.500
73906.636,297.121,1.308,1.531,-318.761,69.487,0.500
73898.573,297.121,1.229,1.371,-318.729,69.497,0.500
73894.542,297.118,1.150,1.531,-318.745,69.508,0.500
73898.573,297.119,1.150,1.211,-318.712,69.497,0.500
73894.542,297.123,1.150,1.531,-318.729,69.497,0.500
73894.542,297.123,1.150,1.371,-318.745,69.487,0.500
73898.573,297.121,1.308,1.531,-318.745,69.476,0.500
