Power,Fuel,Cost,Efficiency,Lifetime,Power Code
[433830.39884902],[0.],[2.36600396e+09],[433830.39884902],[10.],"(0, 0, 1, 0, 1, 0, 0)"
[433830.39884902],[0.],[3.1654042e+09],[433830.39884902],[10.],"(0, 0, 1, 0, 1, 0, 1)"
[433830.39884902],[0.],[4.14414302e+09],[433830.39884902],[10.],"(0, 0, 1, 0, 1, 0, 2)"
[433830.39884902],[0.],[2.2810986e+09],[433830.39884902],[10.],"(0, 0, 1, 0, 1, 1, 0)"
[433830.39884902],[0.],[3.08064199e+09],[433830.39884902],[10.],"(0, 0, 1, 0, 1, 1, 1)"
[433830.39884902],[0.],[4.05938487e+09],[433830.39884902],[10.],"(0, 0, 1, 0, 1, 1, 2)"
[433830.39884902],[0.],[1.86255668e+10],[433830.39884902],[10.],"(0, 0, 1, 0, 2, 0, 0)"
[433830.39884902],[0.],[1.47327919e+10],[433830.39884902],[10.],"(0, 0, 1, 0, 2, 0, 1)"
[433830.39884902],[0.],[1.32618814e+10],[433830.39884902],[10.],"(0, 0, 1, 0, 2, 0, 2)"
[433830.39884902],[0.],[1.69003928e+10],[433830.39884902],[10.],"(0, 0, 1, 0, 2, 1, 0)"
[433830.39884902],[0.],[1.34811084e+10],[433830.39884902],[10.],"(0, 0, 1, 0, 2, 1, 1)"
[433830.39884902],[0.],[1.2257323e+10],[433830.39884902],[10.],"(0, 0, 1, 0, 2, 1, 2)"
[433830.39884902],[0.],[2.07015408e+09],[433830.39884902],[10.],"(0, 0, 1, 0, 3, 0, 0)"
[433830.39884902],[0.],[2.79220409e+09],[433830.39884902],[10.],"(0, 0, 1, 0, 3, 0, 1)"
[433830.39884902],[0.],[3.73979032e+09],[433830.39884902],[10.],"(0, 0, 1, 0, 3, 0, 2)"
[433830.39884902],[0.],[2.01509366e+09],[433830.39884902],[10.],"(0, 0, 1, 0, 3, 1, 0)"
[433830.39884902],[0.],[2.74508977e+09],[433830.39884902],[10.],"(0, 0, 1, 0, 3, 1, 1)"
[433830.39884902],[0.],[3.69582268e+09],[433830.39884902],[10.],"(0, 0, 1, 0, 3, 1, 2)"
[433940.39884902],[0.],[6.14758623e+09],[433940.39884902],[10.],"(0, 0, 1, 1, 0, 0, 0)"
[433940.39884902],[0.],[5.68119716e+09],[433940.39884902],[10.],"(0, 0, 1, 1, 0, 0, 1)"
[433940.39884902],[0.],[5.99502708e+09],[433940.39884902],[10.],"(0, 0, 1, 1, 0, 0, 2)"
[433940.39884902],[0.],[5.69128757e+09],[433940.39884902],[10.],"(0, 0, 1, 1, 0, 1, 0)"
[433940.39884902],[0.],[5.35273278e+09],[433940.39884902],[10.],"(0, 0, 1, 1, 0, 1, 1)"
[433940.39884902],[0.],[5.73364188e+09],[433940.39884902],[10.],"(0, 0, 1, 1, 0, 1, 2)"
[433940.39884902],[0.],[2.46600396e+09],[433940.39884902],[10.],"(0, 0, 1, 1, 1, 0, 0)"
[433940.39884902],[0.],[3.2654042e+09],[433940.39884902],[10.],"(0, 0, 1, 1, 1, 0, 1)"
[433940.39884902],[0.],[4.24414302e+09],[433940.39884902],[10.],"(0, 0, 1, 1, 1, 0, 2)"
[433940.39884902],[0.],[2.3810986e+09],[433940.39884902],[10.],"(0, 0, 1, 1, 1, 1, 0)"
[433940.39884902],[0.],[3.18064199e+09],[433940.39884902],[10.],"(0, 0, 1, 1, 1, 1, 1)"
[433940.39884902],[0.],[4.15938487e+09],[433940.39884902],[10.],"(0, 0, 1, 1, 1, 1, 2)"
[433940.39884902],[0.],[1.87255668e+10],[433940.39884902],[10.],"(0, 0, 1, 1, 2, 0, 0)"
