%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
72717.383,297.060,353.553,134.511,0.009,0.001,5.000
72717.383,297.061,353.632,134.511,0.009,-0.021,5.000
72721.414,297.063,353.553,134.672,0.025,0.001,5.000
72717.383,297.061,353.632,134.672,0.042,-0.010,5.000
72717.383,297.061,353.632,134.672,-0.007,0.001,5.000
72717.383,297.061,353.474,134.832,0.009,0.011,5.000
72717.383,297.061,353.474,134.992,-0.007,-0.010,5.000
72713.351,297.060,353.395,135.152,-0.007,0.001,5.000
72717.383,297.061,353.395,134.992,-0.024,-0.010,5.000
72717.383,297.061,353.395,134.672,-0.007,0.001,5.000
72721.414,297.060,353.316,134.832,-0.007,-0.010,5.000
72717.383,297.060,353.395,134.832,0.009,0.001,5.000
72713.351,297.061,353.316,134.672,-0.040,-0.010,5.000
72713.351,297.060,353.553,134.832,0.009,-0.010,5.000
72713.351,297.058,353.395,134.992,-0.007,-0.010,5.000
72717.383,297.058,353.237,134.992,0.009,0.001,5.000
72717.383,297.057,353.237,134.832,-0.024,0.011,5.000
72709.320,297.061,353.316,134.672,0.009,0.001,5.000
72713.351,297.058,353.316,134.672,-0.007,0.001,5.000
72721.414,297.057,353.237,134.511,-0.007,0.011,5.000
72713.351,297.057,353.158,134.672,0.009,-0.010,5.000
72717.383,297.058,353.316,134.511,-0.007,0.011,5.000
72713.351,297.058,353.237,134.191,0.025,-0.010,5.000
72713.351,297.060,353.237,134.351,0.009,0.001,5.000
72717.383,297.057,353.316,134.191,0.009,0.001,5.000
72717.383,297.060,353.158,134.351,-0.024,-0.010,5.000
72713.351,297.057,353.237,134.031,-0.007,0.011,5.000
72717.383,297.058,353.158,133.871,0.009,0.001,5.000
72713.351,297.060,353.158,134.031,0.009,0.011,5.000
72717.383,297.060,353.158,133.871,0.009,0.011,5.000
72713.351,297.058,353.079,133.871,0.009,0.001,5.000
