%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
72181.211,299.835,0.839,8.991,33.900,-2.337,-16.106,13.511,0.214,-12.319,-15.006,-25.223,-24.668,-25.899,-22.776,-22.300,-18.035,-25.916,-20.597,-21.110,-22.594,-25.105,-15.000,-544.798,-289.718,14.557,-369.678,101.413
72193.305,299.835,0.839,8.970,33.742,-2.658,-17.295,13.288,0.321,-12.945,-15.546,-23.977,-25.950,-26.006,-22.330,-22.404,-17.718,-26.235,-20.179,-21.215,-22.594,-24.092,-15.000,-544.798,-289.718,14.557,-369.678,101.413
72189.274,299.835,0.839,8.991,33.900,-2.497,-17.079,12.729,0.428,-13.049,-15.438,-24.289,-24.882,-26.006,-22.665,-21.258,-18.984,-26.128,-20.388,-21.424,-22.387,-23.979,-15.000,-544.798,-289.718,14.557,-369.646,101.413
72189.274,299.833,0.839,8.980,33.821,-2.497,-15.998,13.176,0.642,-12.319,-16.194,-24.185,-25.202,-26.006,-22.888,-21.467,-18.562,-26.766,-20.179,-21.006,-22.594,-24.430,-15.000,-544.798,-289.718,14.557,-369.678,101.391
72189.274,299.837,0.839,8.980,33.821,-2.818,-16.863,13.511,0.535,-12.005,-14.898,-24.808,-25.629,-25.899,-22.665,-21.883,-18.140,-26.022,-20.074,-21.110,-21.661,-24.655,-15.000,-544.798,-289.718,14.557,-369.678,101.413
72185.243,299.835,0.839,8.970,33.742,-2.658,-16.214,13.734,0.107,-13.049,-15.438,-24.289,-25.416,-26.327,-21.437,-22.613,-18.773,-26.022,-20.179,-20.692,-22.180,-23.979,-15.000,-544.798,-289.718,14.557,-369.662,101.402
72193.305,299.835,0.839,8.970,33.742,-2.658,-16.214,13.399,0.428,-12.945,-14.683,-24.289,-25.095,-26.113,-22.106,-22.613,-18.667,-26.022,-19.865,-21.946,-22.076,-23.191,-15.000,-544.798,-289.718,14.557,-369.678,101.423
72189.274,299.838,0.839,8.970,33.742,-2.658,-16.647,12.729,0.107,-12.214,-15.222,-24.393,-24.241,-26.549,-22.776,-22.196,-18.562,-25.704,-19.656,-20.901,-22.283,-23.191,-15.000,-544.798,-289.718,14.557,-369.695,101.413
72185.243,299.837,0.839,8.949,33.584,-2.818,-16.322,12.618,0.321,-12.527,-15.006,-24.393,-25.095,-25.586,-23.889,-22.925,-17.929,-26.553,-19.761,-20.797,-21.869,-23.641,-15.000,-544.798,-289.718,14.557,-369.662,101.413
72189.274,299.833,0.839,8.970,33.742,-2.497,-16.863,13.511,-0.428,-13.049,-15.438,-24.704,-25.309,-25.907,-22.549,-23.137,-19.300,-26.128,-20.179,-20.170,-21.558,-23.191,-15.000,-544.798,-289.718,14.557,-369.678,101.413
72193.305,299.838,0.839,8.970,33.742,-2.658,-16.430,13.846,0.535,-12.841,-15.654,-24.185,-26.056,-25.800,-22.661,-23.033,-18.351,-25.279,-20.388,-21.424,-21.869,-23.079,-15.000,-544.798,-289.718,14.557,-369.678,101.413
72181.211,299.837,0.839,8.960,33.663,-2.658,-16.106,12.953,0.214,-12.736,-15.222,-24.081,-25.309,-26.763,-22.773,-22.095,-19.406,-25.704,-19.865,-19.961,-21.558,-22.741,-15.000,-544.798,-289.718,14.557,-369.695,101.413
72185.243,299.838,0.839,8.960,33.663,-2.818,-15.458,12.060,0.000,-12.214,-15.978,-24.600,-24.882,-25.907,-23.554,-22.825,-18.457,-26.447,-19.865,-20.170,-21.765,-22.966,-15.000,-544.798,-289.718,14.557,-369.695,101.391
72185.243,299.835,0.839,8.970,33.742,-2.497,-15.025,12.618,-0.214,-12.945,-14.898,-25.119,-25.309,-26.121,-23.108,-23.137,-18.140,-25.385,-19.865,-20.274,-21.558,-23.304,-15.000,-544.798,-289.718,14.557,-369.678,101.423
72181.211,299.835,0.839,8.949,33.584,-2.818,-15.133,13.288,-0.535,-13.258,-15.006,-24.393,-25.202,-26.014,-22.438,-24.075,-18.246,-25.279,-19.343,-20.274,-21.869,-22.516,-15.000,-544.798,-289.718,14.557,-369.662,101.413
72181.211,299.835,0.839,8.960,33.663,-2.658,-16.755,12.506,0.000,-13.154,-15.654,-24.289,-24.882,-26.442,-23.108,-21.991,-18.878,-25.066,-19.656,-21.006,-21.661,-23.079,-15.000,-544.798,-289.718,14.557,-369.678,101.413
72185.243,299.835,0.839,8.981,33.821,-2.818,-15.133,12.283,-0.321,-12.945,-15.870,-24.496,-24.989,-26.228,-23.108,-22.199,-17.824,-25.279,-19.552,-19.856,-22.180,-22.966,-15.000,-544.798,-289.718,14.557,-369.662,101.413
72193.305,299.832,0.839,8.959,33.663,-2.497,-15.349,12.841,-0.107,-13.154,-15.438,-24.704,-25.416,-26.014,-23.554,-22.720,-18.035,-25.597,-19.761,-20.274,-21.350,-23.979,-15.000,-544.798,-289.718,14.557,-369.678,101.402
72189.274,299.833,0.839,8.970,33.742,-2.497,-16.430,12.841,-0.855,-12.841,-15.762,-24.600,-25.522,-25.800,-22.884,-23.763,-18.246,-24.960,-19.447,-20.588,-21.247,-22.516,-15.000,-544.798,-289.718,14.557,-369.678,101.402
72185.243,299.833,0.839,8.959,33.663,-2.818,-15.782,13.064,0.535,-13.676,-15.654,-24.185,-25.736,-26.121,-22.549,-22.512,-18.246,-25.066,-18.715,-21.737,-21.247,-22.853,-15.000,-544.798,-289.718,14.557,-369.695,101.423
72181.211,299.861,0.839,17.081,122.334,-8.101,-21.619,66.998,16.703,-36.538,-49.230,-67.988,-74.111,-75.045,-65.415,-72.955,-67.287,-74.668,-67.124,-69.068,-68.518,-69.922,-15.000,-544.798,-289.718,14.557,-369.695,101.423
72181.211,299.864,0.839,17.076,122.255,-7.781,-22.268,66.886,16.381,-35.912,-49.553,-67.884,-73.364,-75.794,-65.527,-73.789,-67.920,-74.562,-68.378,-68.128,-69.347,-71.048,-15.000,-544.798,-289.718,14.557,-369.695,101.402
72193.305,299.862,0.839,17.080,122.334,-8.261,-22.159,66.662,16.167,-35.495,-49.230,-68.196,-73.150,-74.082,-64.857,-75.040,-68.447,-75.730,-68.587,-68.964,-70.798,-72.737,-15.000,-544.798,-289.718,14.557,-369.662,101.402
72181.211,299.862,0.839,17.092,122.492,-8.101,-24.429,67.891,16.702,-35.286,-48.366,-68.092,-72.403,-74.082,-65.192,-75.978,-69.080,-75.093,-70.365,-71.054,-71.524,-74.652,-15.000,-544.798,-289.718,14.557,-369.695,101.391
72185.243,299.864,0.839,17.086,122.413,-7.941,-26.051,67.221,17.238,-35.494,-48.474,-67.884,-73.257,-74.938,-66.308,-75.561,-68.869,-76.792,-72.247,-72.830,-72.561,-75.665,-15.000,-544.798,-289.718,14.557,-369.678,101.413
72189.274,299.864,0.839,17.086,122.413,-7.781,-28.213,67.779,16.702,-35.599,-48.906,-67.261,-73.150,-74.617,-65.527,-75.457,-71.928,-79.447,-72.874,-72.830,-73.804,-76.903,-15.000,-544.798,-289.718,14.557,-369.711,101.413
72185.243,299.862,0.839,17.097,122.571,-8.101,-28.213,67.444,17.024,-35.286,-48.690,-67.573,-72.830,-74.189,-63.629,-78.896,-73.193,-79.872,-72.979,-73.875,-75.256,-78.818,-15.000,-544.798,-289.718,14.557,-369.678,101.413
72181.211,299.864,0.839,17.092,122.492,-7.941,-29.942,68.337,17.131,-34.868,-48.366,-67.365,-72.296,-73.653,-65.862,-81.189,-72.877,-79.023,-73.606,-74.606,-74.945,-78.818,-15.000,-544.798,-289.718,14.557,-369.711,101.402
72185.243,299.864,0.839,17.092,122.492,-7.781,-29.618,68.672,17.131,-34.868,-48.366,-67.573,-73.044,-75.259,-66.309,-79.834,-72.455,-79.235,-74.024,-73.875,-74.530,-76.341,-15.000,-544.798,-289.718,14.557,-369.695,101.402
72185.243,299.864,0.839,17.097,122.571,-7.781,-29.078,68.449,17.773,-35.599,-48.474,-67.676,-73.044,-74.510,-65.862,-78.062,-72.666,-79.341,-72.456,-73.561,-73.597,-75.778,-15.000,-544.798,-289.718,14.557,-369.678,101.413
72181.211,299.867,0.839,17.098,122.571,-7.941,-27.240,68.337,17.666,-34.868,-48.474,-67.365,-71.976,-74.617,-63.741,-78.375,-71.190,-78.279,-71.201,-71.785,-73.493,-75.102,-15.000,-544.798,-289.718,14.557,-369.695,101.413
