%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
71689.385,299.200,0.835,9.061,34.267,-2.874,-22.054,7.369,-6.094,-16.079,-15.980,-23.462,-20.823,-19.591,-15.296,-18.968,-25.311,-38.667,-35.239,-36.159,-34.310,-35.135,-9.000,-544.798,-289.718,14.557,-366.121,101.423
71685.354,299.198,0.835,9.061,34.267,-3.034,-20.433,6.588,-5.987,-16.288,-16.844,-23.877,-21.464,-18.841,-15.742,-19.593,-24.889,-39.410,-34.507,-35.009,-33.688,-33.896,-9.000,-544.798,-289.718,14.557,-366.137,101.391
71685.354,299.201,0.835,9.041,34.109,-2.714,-20.649,6.476,-5.667,-16.079,-16.304,-24.292,-21.784,-18.948,-17.082,-19.906,-24.257,-37.498,-33.985,-34.904,-33.170,-35.023,-9.000,-544.798,-289.718,14.557,-366.121,101.423
71685.354,299.200,0.835,9.061,34.267,-2.714,-20.000,6.811,-6.415,-15.975,-16.628,-24.188,-22.639,-19.269,-15.854,-21.052,-24.573,-37.604,-33.357,-33.859,-33.170,-33.896,-9.000,-544.798,-289.718,14.557,-366.137,101.402
71689.385,299.196,0.835,9.040,34.109,-2.874,-19.352,7.034,-5.453,-17.332,-16.952,-23.981,-22.746,-19.055,-16.189,-20.114,-23.729,-37.392,-31.998,-33.650,-32.548,-33.446,-9.000,-544.798,-289.718,14.557,-366.088,101.413
71689.385,299.198,0.835,9.040,34.109,-3.034,-20.000,6.253,-6.308,-16.079,-16.844,-23.981,-21.891,-20.661,-16.189,-20.427,-23.835,-36.224,-31.998,-32.919,-32.548,-33.333,-9.000,-544.798,-289.718,14.557,-366.121,101.413
71689.385,299.198,0.835,9.040,34.109,-2.553,-18.271,5.248,-6.522,-16.810,-17.384,-24.500,-22.212,-19.591,-17.305,-21.365,-22.042,-36.648,-32.730,-32.814,-32.859,-33.446,-9.000,-544.798,-289.718,14.557,-366.104,101.413
71693.416,299.198,0.835,9.050,34.188,-2.874,-19.135,6.923,-6.629,-16.810,-16.952,-24.707,-22.746,-20.019,-17.640,-20.531,-22.358,-35.480,-32.311,-32.187,-32.133,-33.333,-9.000,-544.798,-289.718,14.557,-366.137,101.402
71689.385,299.201,0.835,9.051,34.188,-2.714,-18.162,6.588,-6.843,-16.706,-17.060,-24.188,-22.852,-20.661,-16.970,-21.261,-21.515,-36.117,-31.475,-32.605,-31.615,-32.207,-9.000,-544.798,-289.718,14.557,-366.153,101.402
71689.385,299.198,0.835,9.040,34.109,-3.034,-18.162,6.365,-6.308,-17.958,-17.168,-24.396,-22.318,-20.554,-17.864,-19.802,-22.780,-35.480,-31.370,-32.919,-31.304,-32.545,-9.000,-544.798,-289.718,14.557,-366.121,101.413
71689.385,299.201,0.835,9.040,34.109,-2.714,-18.379,6.030,-6.308,-16.914,-18.032,-24.188,-22.318,-21.410,-17.640,-19.802,-22.886,-36.436,-30.743,-31.351,-31.200,-32.545,-9.000,-544.798,-289.718,14.557,-366.104,101.413
71693.416,299.200,0.835,9.030,34.030,-2.553,-17.514,5.136,-7.271,-17.332,-17.492,-24.811,-22.746,-20.233,-16.747,-21.574,-23.413,-37.073,-30.116,-31.560,-31.408,-32.996,-9.000,-544.798,-289.718,14.557,-366.137,101.402
71701.479,299.200,0.835,9.040,34.109,-2.874,-17.730,6.476,-7.377,-17.436,-16.844,-25.642,-22.639,-20.233,-16.300,-21.886,-24.257,-34.630,-30.425,-32.083,-31.408,-33.221,-9.000,-544.798,-289.718,14.557,-366.137,101.413
71697.448,299.200,0.835,9.050,34.188,-2.714,-17.730,6.476,-6.843,-17.436,-17.492,-24.811,-22.852,-20.126,-16.189,-23.866,-24.362,-34.205,-30.843,-33.019,-31.615,-32.432,-9.000,-544.798,-289.718,14.557,-366.121,101.413
71697.448,299.198,0.835,9.061,34.267,-2.714,-17.838,5.583,-6.843,-17.750,-17.816,-24.707,-22.532,-20.661,-16.524,-23.345,-23.835,-35.055,-32.202,-32.810,-31.926,-32.658,-9.000,-544.798,-289.718,14.557,-366.121,101.402
71697.448,299.200,0.835,9.050,34.188,-3.034,-17.298,5.583,-6.950,-16.601,-17.816,-25.019,-22.639,-20.661,-16.747,-24.075,-20.882,-35.586,-31.366,-32.078,-31.615,-32.658,-9.000,-544.798,-289.718,14.557,-366.137,101.402
71689.385,299.198,0.835,9.051,34.188,-3.034,-17.081,5.248,-6.843,-17.228,-17.384,-24.811,-23.173,-20.126,-16.970,-22.303,-20.882,-36.330,-30.948,-31.556,-30.993,-32.545,-9.000,-544.798,-289.718,14.557,-366.104,101.402
71689.385,299.200,0.835,9.061,34.267,-2.874,-16.865,6.253,-7.698,-17.123,-16.952,-25.226,-22.959,-20.233,-16.412,-21.261,-22.147,-35.693,-31.575,-31.765,-31.097,-32.545,-9.000,-544.798,-289.718,14.557,-366.137,101.402
71693.416,299.196,0.835,9.050,34.188,-3.034,-17.189,6.253,-7.057,-17.750,-17.708,-24.915,-23.920,-20.875,-16.859,-19.802,-23.413,-34.736,-30.948,-32.078,-31.823,-32.207,-9.000,-544.798,-289.718,14.557,-366.121,101.402
71693.416,299.198,0.835,9.071,34.346,-3.194,-18.162,5.918,-6.950,-17.645,-17.816,-24.603,-22.959,-20.768,-16.635,-20.636,-24.046,-34.949,-31.575,-32.287,-31.719,-33.446,-9.000,-544.798,-289.718,14.557,-366.137,101.402
71697.448,299.184,0.835,17.178,123.176,-8.477,-12.973,48.907,-1.497,-44.687,-49.344,-60.315,-53.928,-45.497,-34.716,-56.071,-74.879,-97.411,-94.097,-96.025,-92.876,-95.271,-9.000,-544.798,-289.718,14.557,-366.104,101.402
71693.416,299.185,0.835,17.179,123.176,-8.477,-13.406,48.795,-0.748,-44.896,-48.589,-58.965,-54.355,-45.283,-33.712,-55.028,-78.887,-98.473,-92.842,-95.921,-94.224,-95.271,-9.000,-544.798,-289.718,14.557,-366.121,101.423
71685.354,299.185,0.835,17.180,123.176,-8.477,-14.919,49.577,-0.000,-45.105,-48.265,-58.550,-53.821,-45.176,-32.596,-54.611,-82.051,-99.217,-93.365,-100.936,-97.230,-100.226,-9.000,-544.798,-289.718,14.557,-366.137,101.423
71697.448,299.185,0.835,17.184,123.255,-8.317,-16.649,49.242,-0.321,-43.539,-48.805,-58.135,-53.180,-44.320,-31.814,-62.011,-80.364,-100.279,-90.542,-102.817,-105.004,-109.347,-9.000,-544.798,-289.718,14.557,-366.121,101.413
71689.385,299.184,0.835,17.179,123.176,-8.317,-21.946,49.018,-0.000,-43.956,-47.185,-58.031,-53.394,-43.892,-33.600,-58.259,-85.320,-87.425,-95.979,-112.117,-112.674,-118.694,-9.000,-544.798,-289.718,14.557,-366.137,101.413
71685.354,299.182,0.835,17.168,123.017,-8.157,-29.190,50.023,-0.428,-43.852,-48.589,-59.069,-54.248,-44.427,-34.270,-56.071,-76.567,-84.345,-104.030,-115.565,-118.894,-126.465,-9.000,-544.798,-289.718,14.557,-366.121,101.391
71689.385,299.185,0.835,17.185,123.255,-8.477,-34.379,51.251,0.535,-44.061,-48.157,-58.239,-54.568,-45.069,-35.275,-61.594,-62.540,-88.381,-103.716,-122.566,-121.693,-126.465,-9.000,-544.798,-289.718,14.557,-366.104,101.391
71697.448,299.185,0.835,17.173,123.097,-7.997,-37.298,51.028,1.071,-44.061,-48.373,-58.861,-54.248,-46.032,-35.833,-44.919,-58.743,-92.737,-107.898,-124.237,-121.900,-127.366,-9.000,-544.798,-289.718,14.557,-366.104,101.413
71689.385,299.188,0.835,17.179,123.176,-8.157,-37.947,51.028,1.178,-43.017,-48.481,-58.550,-53.607,-45.818,-32.930,-40.542,-57.267,-97.411,-109.362,-124.237,-122.003,-128.379,-9.000,-544.798,-289.718,14.557,-366.121,101.434
71689.385,299.185,0.835,17.179,123.176,-8.157,-38.812,51.698,1.927,-42.808,-47.077,-58.342,-53.073,-43.891,-32.149,-39.395,-59.165,-99.960,-110.616,-124.551,-121.693,-128.604,-9.000,-544.798,-289.718,14.557,-366.137,101.391
71697.448,299.185,0.835,17.173,123.097,-8.157,-39.893,52.703,1.713,-42.808,-46.645,-58.135,-52.966,-43.035,-30.810,-37.415,-62.224,-97.836,-111.976,-124.551,-122.522,-127.703,-9.000,-544.798,-289.718,14.557,-366.104,101.413
71693.416,299.184,0.835,17.167,123.017,-8.317,-39.244,53.261,2.356,-42.495,-46.753,-57.304,-53.393,-43.142,-29.693,-41.792,-61.486,-98.792,-113.544,-126.014,-121.485,-123.875,-9.000,-544.798,-289.718,14.557,-366.104,101.413
71693.416,299.184,0.835,17.167,123.017,-8.157,-38.920,53.038,2.998,-41.868,-46.105,-56.785,-52.219,-42.714,-30.475,-40.229,-62.962,-103.041,-113.126,-123.401,-120.656,-121.397,-9.000,-544.798,-289.718,14.557,-366.137,101.413
71697.448,299.184,0.835,17.184,123.255,-8.317,-36.866,53.373,3.641,-40.928,-46.429,-56.474,-51.258,-42.500,-30.586,-37.623,-66.759,-102.085,-111.453,-120.789,-118.272,-118.807,-9.000,-544.798,-289.718,14.557,-366.121,101.413
71693.416,299.187,0.835,17.162,122.938,-8.477,-35.460,53.261,3.319,-41.033,-45.457,-56.681,-51.044,-41.643,-30.586,-40.959,-69.396,-102.085,-109.989,-119.013,-114.851,-115.654,-9.000,-544.798,-289.718,14.557,-366.121,101.434
71693.416,299.185,0.835,17.168,123.017,-8.317,-33.082,53.820,2.784,-40.928,-45.241,-56.785,-51.471,-41.429,-30.028,-42.730,-68.763,-102.191,-111.558,-117.132,-111.845,-110.456,-9.000,-544.798,-289.718,14.557,-366.121,101.423
71701.479,299.187,0.835,17.167,123.017,-8.157,-28.974,54.266,4.283,-40.198,-45.457,-55.747,-51.471,-41.429,-30.475,-43.147,-68.235,-104.528,-108.316,-115.147,-108.839,-105.051,-9.000,-544.798,-289.718,14.557,-366.137,101.423
71697.448,299.187,0.835,17.167,123.017,-8.317,-26.271,53.596,3.748,-41.555,-45.997,-56.370,-51.258,-41.964,-31.814,-38.666,-73.720,-101.447,-107.585,-112.744,-106.663,-103.362,-9.000,-544.798,-289.718,14.557,-366.104,101.402
71701.479,299.187,0.835,17.167,123.017,-8.317,-24.000,52.926,3.105,-40.824,-46.753,-56.266,-51.792,-42.928,-32.596,-42.001,-72.560,-102.616,-105.075,-110.758,-106.144,-103.700,-9.000,-544.798,-289.718,14.557,-366.137,101.413
71693.416,299.184,0.835,17.173,123.097,-8.157,-22.487,52.145,2.570,-41.973,-45.889,-56.993,-52.539,-42.821,-33.154,-43.043,-73.825,-99.854,-105.180,-108.564,-107.595,-104.488,-9.000,-544.798,-289.718,14.557,-366.137,101.423
71685.354,299.172,0.835,33.862,478.573,-25.767,-89.191,214.945,8.888,-181.151,-201.588,-232.020,-224.466,-200.081,-141.791,-39.916,-121.494,-278.316,-371.996,-468.808,-522.323,-526.803,-9.000,-544.798,-289.718,14.557,-366.137,101.413
71685.354,299.172,0.835,33.859,478.494,-25.767,-110.380,217.065,9.316,-180.629,-202.776,-232.643,-224.359,-201.151,-143.354,-39.187,-118.225,-265.463,-363.946,-468.599,-522.116,-529.056,-9.000,-544.798,-289.718,14.557,-366.104,101.423
71689.385,299.172,0.835,33.864,478.652,-25.447,-108.867,215.837,9.530,-180.942,-202.776,-234.408,-225.748,-201.686,-145.922,-37.207,-110.526,-260.576,-372.206,-474.033,-526.158,-536.488,-9.000,-544.798,-289.718,14.557,-366.121,101.391
71685.354,299.172,0.835,33.859,478.494,-25.767,-112.650,218.070,9.209,-180.524,-202.020,-233.889,-224.893,-201.472,-142.684,-33.038,-100.929,-253.778,-380.151,-485.946,-538.286,-536.714,-9.000,-544.798,-289.718,14.557,-366.104,101.423
71685.354,299.171,0.835,33.859,478.494,-25.767,-124.975,218.740,11.350,-179.793,-201.805,-231.916,-224.680,-200.081,-139.893,-31.891,-100.085,-247.191,-384.438,-487.932,-529.268,-530.632,-9.000,-544.798,-289.718,14.557,-366.121,101.413
71689.385,299.172,0.835,33.853,478.336,-25.767,-124.326,219.968,11.350,-179.271,-200.833,-231.501,-222.971,-199.331,-138.776,-30.953,-103.144,-238.587,-378.060,-488.977,-532.170,-532.322,-9.000,-544.798,-289.718,14.557,-366.137,101.413
71685.354,299.171,0.835,33.854,478.336,-25.927,-118.705,219.522,11.672,-178.122,-200.941,-231.189,-222.757,-199.117,-139.893,-24.492,-97.132,-239.118,-372.833,-488.350,-535.798,-540.430,-9.000,-544.798,-289.718,14.557,-366.104,101.402
71685.354,299.172,0.835,33.848,478.178,-25.927,-116.326,220.303,13.064,-177.183,-199.969,-230.774,-222.437,-197.833,-139.670,-20.115,-91.121,-233.701,-379.942,-497.964,-541.499,-553.042,-9.000,-544.798,-289.718,14.557,-366.104,101.423
