%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
72237.65,298.893,0.842,8.813,32.698,-3.114,-16.654,9.381,-2.032,-13.573,-13.062,-19,-17.945,-15.096,-10.943,-13.761,-20.044,-36.122,-30.324,-33.55,-32.443,-32.549,-8,-544.798,-289.718,14.557,-374.411,101.413
72229.588,298.893,0.842,8.835,32.857,-2.954,-16.978,9.157,-2.995,-13.051,-12.954,-19.208,-16.663,-15.524,-11.724,-12.51,-21.204,-36.016,-30.115,-32.296,-32.34,-32.324,-8,-544.798,-289.718,14.557,-374.395,101.402
72233.619,298.896,0.842,8.824,32.778,-2.794,-15.897,9.604,-3.101,-13.051,-13.71,-19,-17.518,-15.417,-11.836,-13.135,-21.521,-36.016,-29.487,-31.982,-32.34,-32.324,-8,-544.798,-289.718,14.557,-374.444,101.413
72241.682,298.892,0.842,8.834,32.857,-3.114,-15.572,8.822,-2.994,-12.426,-13.17,-19.415,-17.732,-14.989,-11.948,-14.595,-22.259,-34.528,-28.546,-30.937,-31.614,-32.212,-8,-544.798,-289.718,14.557,-374.411,101.413
72237.65,298.895,0.842,8.845,32.936,-2.954,-15.68,9.939,-2.994,-12.635,-12.954,-19.519,-17.411,-14.668,-10.608,-17.097,-22.47,-34.316,-28.442,-31.46,-31.303,-32.437,-8,-544.798,-289.718,14.557,-374.427,101.423
72241.682,298.893,0.842,8.824,32.778,-3.114,-15.464,9.38,-2.673,-12.844,-13.062,-18.792,-17.518,-15.31,-10.384,-19.182,-20.993,-33.147,-27.187,-31.251,-31.821,-31.536,-8,-544.798,-289.718,14.557,-374.427,101.423
72233.619,298.893,0.842,8.824,32.778,-2.954,-15.788,9.492,-2.78,-13.47,-13.062,-19.104,-16.984,-15.203,-10.496,-18.66,-20.255,-32.828,-27.71,-32.191,-31.51,-32.099,-8,-544.798,-289.718,14.557,-374.444,101.423
72237.65,298.895,0.842,8.835,32.857,-2.634,-15.356,8.822,-2.78,-13.053,-13.278,-19.104,-16.77,-15.417,-11.836,-17.826,-18.461,-32.722,-28.546,-31.355,-31.821,-32.324,-8,-544.798,-289.718,14.557,-374.444,101.423
72233.619,298.895,0.842,8.835,32.857,-2.794,-15.68,8.71,-3.315,-12.844,-13.17,-19.83,-17.518,-14.775,-12.504,-16.992,-18.989,-32.403,-30.324,-31.251,-31.407,-32.437,-8,-544.798,-289.718,14.557,-374.411,101.434
72237.65,298.893,0.842,8.834,32.857,-2.954,-15.68,9.604,-3.529,-13.47,-13.386,-20.142,-17.091,-15.31,-11.834,-16.054,-19.833,-32.191,-29.383,-31.564,-31.614,-32.775,-8,-544.798,-289.718,14.557,-374.411,101.413
