%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
72229.588,298.824,0.842,8.979,33.943,-2.834,-12.000,11.166,-2.138,-15.242,-17.165,-26.053,-26.590,-26.228,-21.771,-23.036,-18.881,-25.176,-19.551,-20.271,-21.457,-22.407,-13.000,-544.798,-289.718,14.557,-369.580,101.423
72229.588,298.821,0.842,8.979,33.943,-2.674,-12.000,10.608,-2.459,-16.077,-17.489,-25.949,-25.949,-26.335,-22.218,-22.515,-19.303,-25.920,-19.761,-20.584,-20.731,-22.294,-13.000,-544.798,-289.718,14.557,-369.613,101.413
72225.556,298.822,0.842,8.979,33.943,-3.154,-11.892,10.161,-2.352,-15.033,-17.813,-25.534,-25.736,-26.549,-22.776,-21.994,-18.459,-25.920,-18.924,-19.853,-21.250,-22.294,-13.000,-544.798,-289.718,14.557,-369.564,101.402
72229.588,298.821,0.842,8.968,33.864,-2.994,-11.244,9.826,-2.993,-15.139,-17.381,-26.157,-26.590,-25.907,-23.223,-22.411,-19.197,-25.495,-19.133,-20.166,-20.835,-22.519,-13.000,-544.798,-289.718,14.557,-369.613,101.434
72229.588,298.819,0.842,8.979,33.943,-2.674,-11.892,10.719,-3.528,-15.453,-17.489,-25.846,-26.163,-26.442,-21.883,-23.558,-19.092,-24.857,-19.761,-20.166,-20.939,-22.857,-13.000,-544.798,-289.718,14.557,-369.597,101.402
72233.619,298.821,0.842,8.968,33.864,-2.674,-11.568,10.719,-2.886,-15.557,-17.489,-25.642,-27.551,-26.656,-22.664,-23.558,-18.354,-25.176,-18.715,-20.480,-21.250,-22.294,-13.000,-544.798,-289.718,14.557,-369.580,101.402
72233.619,298.821,0.842,8.989,34.022,-2.994,-12.108,9.938,-3.100,-15.870,-17.381,-26.161,-26.590,-26.763,-23.558,-22.619,-19.303,-25.282,-19.447,-20.375,-20.731,-22.069,-13.000,-544.798,-289.718,14.557,-369.597,101.413
72229.588,298.819,0.842,8.958,33.785,-2.834,-11.352,9.714,-2.993,-15.139,-18.353,-26.368,-27.017,-27.191,-23.781,-21.994,-18.143,-25.389,-19.238,-19.853,-21.561,-22.069,-13.000,-544.798,-289.718,14.557,-369.580,101.413
72229.588,298.819,0.842,8.989,34.022,-2.994,-11.784,9.938,-2.779,-15.557,-16.949,-26.368,-26.590,-26.656,-23.331,-21.994,-18.037,-25.920,-19.551,-19.958,-21.042,-22.969,-13.000,-544.798,-289.718,14.557,-369.580,101.413
72237.650,298.819,0.842,8.978,33.943,-2.834,-11.784,10.384,-3.635,-15.975,-17.705,-26.368,-26.697,-27.298,-22.214,-22.202,-18.776,-25.389,-20.179,-20.793,-21.457,-23.307,-13.000,-544.798,-289.718,14.557,-369.597,101.402
