%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
71697.448,299.229,0.835,8.871,32.845,-2.930,-18.057,8.151,-4.063,-16.601,-17.924,-27.306,-27.978,-27.833,-24.785,-22.827,-20.041,-26.981,-21.642,-23.722,-22.908,-23.874,-14.000,-544.798,-289.718,14.557,-366.855,101.434
71701.479,299.230,0.835,8.882,32.924,-2.770,-17.733,7.258,-4.277,-16.183,-18.787,-27.618,-27.657,-28.154,-24.785,-23.244,-19.619,-26.875,-21.747,-23.200,-23.426,-24.887,-14.000,-544.798,-289.718,14.557,-366.855,101.423
71701.479,299.230,0.835,8.882,32.924,-2.930,-17.084,7.258,-4.597,-16.183,-18.463,-26.891,-27.764,-27.084,-24.450,-23.661,-19.619,-26.981,-21.328,-22.573,-22.908,-23.986,-14.000,-544.798,-289.718,14.557,-366.839,101.402
71697.448,299.229,0.835,8.871,32.845,-3.090,-17.192,8.263,-4.811,-15.870,-17.924,-27.826,-27.444,-27.405,-24.227,-23.140,-19.514,-26.238,-21.224,-22.991,-23.011,-24.775,-14.000,-544.798,-289.718,14.557,-366.855,101.413
71693.416,299.229,0.835,8.882,32.924,-3.090,-16.868,8.486,-4.918,-16.497,-17.924,-27.514,-28.191,-27.405,-24.227,-23.766,-19.514,-26.450,-21.747,-23.200,-22.700,-23.761,-14.000,-544.798,-289.718,14.557,-366.839,101.402
71697.448,299.230,0.835,8.882,32.924,-3.090,-18.165,8.263,-4.597,-17.019,-18.463,-27.618,-27.978,-27.726,-24.674,-22.932,-20.252,-26.663,-21.328,-23.827,-22.908,-24.324,-14.000,-544.798,-289.718,14.557,-366.839,101.413
71689.385,299.227,0.835,8.850,32.687,-2.930,-17.192,7.369,-4.918,-16.497,-18.571,-28.033,-28.085,-28.797,-24.674,-23.140,-19.408,-27.194,-21.851,-23.095,-23.219,-23.761,-14.000,-544.798,-289.718,14.557,-366.855,101.413
71693.416,299.229,0.835,8.871,32.845,-2.930,-17.084,6.476,-4.597,-16.183,-18.571,-27.722,-27.657,-27.512,-25.790,-23.036,-19.935,-27.406,-21.642,-22.468,-23.011,-24.662,-14.000,-544.798,-289.718,14.557,-366.871,101.402
71697.448,299.227,0.835,8.871,32.845,-3.250,-17.192,7.816,-5.239,-16.183,-18.140,-28.448,-27.978,-27.512,-25.009,-23.766,-19.725,-26.663,-21.851,-23.095,-23.011,-25.450,-14.000,-544.798,-289.718,14.557,-366.855,101.423
71689.385,299.229,0.835,8.861,32.766,-2.770,-17.300,7.928,-4.704,-15.974,-18.463,-27.618,-28.085,-28.047,-25.009,-24.078,-19.830,-26.557,-21.433,-23.200,-22.908,-24.211,-14.000,-544.798,-289.718,14.557,-366.855,101.413
71693.416,299.227,0.835,8.861,32.766,-2.930,-18.057,7.816,-4.597,-16.705,-18.356,-27.203,-27.657,-27.512,-24.562,-23.766,-20.252,-26.663,-21.119,-23.304,-22.908,-24.549,-14.000,-544.798,-289.718,14.557,-366.839,101.413
71701.479,299.225,0.835,8.860,32.766,-2.930,-17.624,7.146,-4.918,-16.079,-18.571,-28.033,-27.871,-27.940,-24.897,-23.870,-19.619,-27.194,-21.747,-22.677,-23.011,-25.112,-14.000,-544.798,-289.718,14.557,-366.855,101.402
71693.416,299.229,0.835,8.850,32.687,-2.770,-17.516,7.481,-4.918,-16.183,-18.032,-27.618,-27.871,-27.619,-25.902,-23.557,-19.725,-27.725,-21.224,-23.095,-22.493,-24.211,-14.000,-544.798,-289.718,14.557,-366.871,101.413
71689.385,299.229,0.835,8.861,32.766,-3.090,-16.868,8.151,-5.025,-16.079,-18.571,-28.345,-28.191,-27.833,-24.897,-23.453,-19.830,-26.557,-21.956,-22.886,-22.182,-24.324,-14.000,-544.798,-289.718,14.557,-366.855,101.413
