%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
72181.211,299.246,0.840,9.233,35.816,-3.362,-22.811,5.136,-7.377,-17.123,-17.708,-24.292,-20.717,-18.306,-16.300,-18.030,-22.780,-39.835,-38.580,-39.503,-37.834,-37.725,-8.000,-544.798,-289.718,14.557,-369.042,101.413
72181.211,299.245,0.840,9.233,35.816,-3.362,-23.352,5.918,-7.698,-17.750,-16.844,-25.538,-21.251,-18.413,-17.082,-18.760,-22.464,-39.198,-37.639,-39.816,-37.420,-39.077,-8.000,-544.798,-289.718,14.557,-369.074,101.402
72177.180,299.248,0.840,9.223,35.737,-3.362,-23.352,5.918,-8.660,-17.750,-17.492,-25.123,-21.357,-18.627,-15.854,-18.239,-23.518,-38.561,-38.162,-39.712,-37.109,-38.176,-8.000,-544.798,-289.718,14.557,-369.042,101.413
72177.180,299.245,0.840,9.233,35.816,-2.882,-22.811,5.918,-7.591,-17.958,-17.708,-24.603,-21.785,-19.269,-16.635,-16.154,-23.940,-38.667,-37.534,-40.339,-37.316,-37.613,-8.000,-544.798,-289.718,14.557,-369.074,101.434
72177.180,299.246,0.840,9.243,35.895,-3.042,-23.568,5.248,-7.591,-17.645,-18.032,-24.500,-21.464,-19.591,-17.305,-16.675,-23.413,-38.879,-37.952,-39.398,-36.591,-37.951,-8.000,-544.798,-289.718,14.557,-369.058,101.413
72185.243,299.246,0.840,9.243,35.895,-3.202,-22.811,4.801,-8.019,-17.854,-18.140,-25.538,-21.464,-19.055,-16.859,-17.196,-21.198,-38.879,-37.639,-38.876,-37.005,-37.725,-8.000,-544.798,-289.718,14.557,-369.042,101.402
72181.211,299.245,0.840,9.243,35.895,-3.042,-22.487,5.583,-8.019,-17.750,-17.924,-25.330,-21.678,-18.841,-16.635,-16.988,-22.358,-38.773,-36.698,-38.458,-36.280,-37.951,-8.000,-544.798,-289.718,14.557,-369.058,101.434
72181.211,299.246,0.840,9.233,35.816,-3.042,-23.027,5.695,-8.447,-17.541,-17.816,-24.707,-21.037,-19.055,-16.412,-17.405,-23.518,-38.242,-36.698,-38.040,-36.694,-37.725,-8.000,-544.798,-289.718,14.557,-369.058,101.402
72177.180,299.245,0.840,9.243,35.895,-2.882,-21.946,5.806,-7.591,-18.272,-17.600,-25.019,-21.891,-19.055,-15.966,-18.239,-23.729,-38.242,-35.652,-38.144,-36.280,-36.937,-8.000,-544.798,-289.718,14.557,-369.074,101.413
72181.211,299.245,0.840,9.223,35.737,-2.561,-22.703,5.248,-8.126,-17.645,-17.816,-25.019,-21.678,-19.055,-16.524,-18.030,-24.679,-38.029,-35.966,-37.099,-36.176,-36.487,-8.000,-544.798,-289.718,14.557,-369.042,101.413
