%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
71697.448,298.863,0.836,9.155,35.022,-2.986,-14.162,6.365,-7.271,-20.360,-20.839,-29.483,-29.153,-28.476,-25.232,-25.013,-21.515,-28.256,-22.587,-24.350,-23.426,-24.662,-12.000,-544.798,-289.718,14.557,-366.072,101.413
71693.416,298.864,0.836,9.176,35.180,-2.826,-13.730,5.918,-7.591,-19.107,-21.487,-29.586,-29.153,-29.118,-25.679,-25.117,-21.198,-27.938,-22.168,-23.513,-23.530,-25.338,-12.000,-544.798,-289.718,14.557,-366.072,101.413
71693.416,298.864,0.836,9.165,35.101,-2.986,-13.189,5.695,-7.698,-19.211,-20.839,-30.002,-28.619,-28.262,-25.790,-25.638,-20.565,-28.575,-22.378,-23.200,-23.115,-25.450,-12.000,-544.798,-289.718,14.557,-366.088,101.413
71697.448,298.863,0.836,9.165,35.101,-2.666,-13.406,6.365,-8.233,-19.420,-20.947,-30.105,-29.580,-28.476,-25.455,-25.638,-20.460,-27.513,-22.587,-23.409,-23.634,-25.788,-12.000,-544.798,-289.718,14.557,-366.088,101.413
71693.416,298.866,0.836,9.176,35.180,-2.666,-13.081,6.030,-7.698,-19.316,-21.055,-29.171,-29.900,-28.476,-25.120,-26.055,-20.776,-27.619,-21.855,-23.722,-23.530,-24.775,-12.000,-544.798,-289.718,14.557,-366.072,101.423
71689.385,298.864,0.836,9.166,35.101,-2.826,-13.622,6.141,-7.270,-19.838,-20.623,-29.690,-29.260,-28.690,-25.120,-24.596,-21.093,-27.725,-21.959,-24.454,-23.634,-25.225,-12.000,-544.798,-289.718,14.557,-366.088,101.413
71697.448,298.869,0.836,9.176,35.180,-2.986,-12.865,6.141,-7.270,-18.689,-21.055,-29.586,-29.473,-29.225,-25.232,-24.596,-20.249,-27.938,-21.959,-23.618,-23.841,-24.775,-12.000,-544.798,-289.718,14.557,-366.072,101.413
71697.448,298.866,0.836,9.175,35.180,-2.826,-12.973,5.471,-7.591,-19.211,-20.191,-29.690,-28.832,-28.048,-25.567,-24.075,-19.933,-27.938,-21.750,-23.304,-23.115,-24.662,-12.000,-544.798,-289.718,14.557,-366.104,101.391
71697.448,298.866,0.836,9.165,35.101,-2.986,-13.406,6.365,-7.805,-19.107,-20.623,-29.898,-29.260,-27.941,-24.786,-23.345,-20.144,-27.513,-22.691,-23.409,-23.219,-25.563,-12.000,-544.798,-289.718,14.557,-366.072,101.413
71693.416,298.866,0.836,9.176,35.180,-2.986,-12.973,6.700,-6.950,-19.525,-20.623,-29.275,-29.900,-28.155,-24.339,-23.762,-20.671,-28.150,-22.064,-23.409,-23.634,-24.437,-12.000,-544.798,-289.718,14.557,-366.088,101.413
