%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
71725.667,299.232,0.835,8.883,32.947,-3.354,-18.273,8.376,-5.240,-16.183,-18.460,-28.236,-27.452,-27.837,-24.789,-25.433,-20.674,-27.092,-22.586,-23.827,-23.426,-25.563,-14.000,-544.798,-289.718,14.557,-369.009,101.391
71725.667,299.229,0.835,8.894,33.026,-3.034,-18.057,9.157,-3.957,-16.705,-18.244,-27.302,-28.307,-27.516,-25.124,-25.225,-20.357,-26.879,-21.750,-24.454,-23.529,-25.225,-14.000,-544.798,-289.718,14.557,-369.042,101.434
71729.699,299.229,0.835,8.894,33.026,-3.034,-19.354,7.929,-3.957,-16.288,-18.460,-27.717,-27.773,-27.944,-25.124,-24.182,-21.307,-26.773,-22.273,-24.036,-23.944,-25.563,-14.000,-544.798,-289.718,14.557,-369.009,101.434
71725.667,299.229,0.835,8.904,33.105,-3.034,-18.597,8.264,-4.384,-15.661,-18.784,-27.613,-27.879,-27.730,-25.012,-23.557,-19.619,-26.985,-22.586,-24.036,-24.981,-25.788,-14.000,-544.798,-289.718,14.557,-369.042,101.402
71729.699,299.232,0.835,8.894,33.026,-3.194,-19.030,8.264,-4.384,-16.183,-18.568,-27.925,-27.879,-27.623,-25.794,-23.765,-19.830,-27.410,-22.586,-24.245,-24.359,-26.351,-14.000,-544.798,-289.718,14.557,-369.009,101.402
71729.699,299.232,0.835,8.894,33.026,-3.194,-18.597,8.934,-5.133,-16.079,-18.568,-27.825,-27.666,-27.302,-23.896,-23.557,-20.674,-26.560,-23.214,-24.558,-24.462,-27.027,-14.000,-544.798,-289.718,14.557,-369.042,101.413
71729.699,299.230,0.835,8.883,32.947,-3.034,-19.787,8.264,-4.384,-16.287,-18.460,-27.410,-27.773,-27.623,-24.342,-24.182,-20.357,-27.198,-22.377,-24.872,-24.773,-26.238,-14.000,-544.798,-289.718,14.557,-369.009,101.402
71729.699,299.232,0.835,8.904,33.105,-3.194,-20.544,8.264,-4.277,-16.392,-17.921,-26.891,-27.666,-27.302,-23.784,-23.453,-21.201,-28.048,-23.214,-25.290,-24.773,-26.464,-14.000,-544.798,-289.718,14.557,-369.009,101.413
71729.699,299.232,0.835,8.894,33.026,-3.194,-19.679,7.929,-4.063,-15.661,-18.352,-26.995,-27.345,-27.623,-24.227,-23.765,-20.146,-28.898,-23.318,-24.872,-25.706,-26.464,-14.000,-544.798,-289.718,14.557,-368.993,101.423
71725.667,299.232,0.835,8.894,33.026,-3.354,-20.327,7.259,-4.491,-15.974,-18.244,-28.033,-27.345,-26.981,-25.120,-23.870,-20.990,-28.367,-23.109,-24.349,-25.395,-26.801,-14.000,-544.798,-289.718,14.557,-369.026,101.413
71729.699,299.230,0.835,8.894,33.026,-3.354,-19.895,8.599,-4.812,-15.661,-18.352,-27.929,-27.452,-27.516,-24.673,-24.182,-20.674,-28.260,-23.527,-24.872,-24.670,-26.801,-14.000,-544.798,-289.718,14.557,-368.993,101.423
71721.636,299.234,0.835,8.884,32.947,-3.034,-19.787,9.046,-4.170,-16.392,-18.676,-27.098,-28.520,-27.623,-25.232,-24.808,-20.885,-27.517,-22.900,-24.663,-24.359,-25.450,-14.000,-544.798,-289.718,14.557,-369.026,101.402
71733.730,299.232,0.835,8.872,32.868,-3.354,-19.895,8.152,-4.491,-16.601,-18.568,-27.410,-27.773,-27.837,-24.785,-24.078,-21.939,-28.048,-22.377,-24.558,-23.840,-25.225,-14.000,-544.798,-289.718,14.557,-369.026,101.413
71729.699,299.234,0.835,8.883,32.947,-3.034,-18.922,8.599,-3.957,-16.079,-18.784,-27.410,-27.666,-28.373,-24.785,-24.182,-21.412,-27.729,-22.482,-23.618,-24.255,-25.450,-14.000,-544.798,-289.718,14.557,-369.026,101.413
71729.699,299.234,0.835,8.872,32.868,-3.194,-18.489,8.376,-4.277,-16.287,-18.244,-27.514,-27.879,-26.981,-25.455,-24.599,-21.939,-27.729,-21.959,-23.618,-23.944,-25.675,-14.000,-544.798,-289.718,14.557,-369.009,101.413
71733.730,299.235,0.835,8.883,32.947,-3.194,-18.489,8.711,-4.705,-16.601,-18.244,-28.240,-27.879,-27.730,-24.785,-25.433,-21.096,-27.410,-22.795,-23.827,-23.944,-25.788,-14.000,-544.798,-289.718,14.557,-369.009,101.413
71729.699,299.237,0.835,8.904,33.105,-3.194,-18.165,8.487,-4.170,-16.392,-18.568,-27.514,-27.773,-28.158,-25.455,-25.850,-20.779,-27.410,-22.273,-23.722,-24.151,-25.112,-14.000,-544.798,-289.718,14.557,-369.026,101.413
71733.730,299.235,0.835,8.893,33.026,-3.194,-19.354,8.040,-4.277,-17.332,-18.568,-27.825,-27.879,-28.158,-26.013,-24.912,-20.885,-27.092,-22.273,-24.454,-23.944,-24.774,-14.000,-544.798,-289.718,14.557,-369.026,101.402
71733.730,299.232,0.835,8.893,33.026,-3.034,-18.273,8.264,-4.598,-15.870,-18.676,-28.344,-28.200,-28.694,-26.013,-24.391,-20.146,-26.985,-21.750,-23.095,-23.944,-25.450,-14.000,-544.798,-289.718,14.557,-369.026,101.413
71733.730,299.234,0.835,8.893,33.026,-3.194,-18.381,7.705,-5.026,-16.288,-17.921,-27.514,-28.307,-27.623,-26.348,-24.391,-20.357,-27.517,-21.854,-23.722,-23.944,-25.225,-14.000,-544.798,-289.718,14.557,-369.026,101.402
71729.699,299.177,0.835,17.109,122.251,-8.317,-16.219,58.629,7.710,-43.225,-54.302,-73.394,-76.802,-76.767,-66.327,-68.794,-67.822,-74.369,-69.013,-69.808,-68.308,-69.819,-14.000,-544.798,-289.718,14.557,-369.026,101.402
71733.730,299.174,0.835,17.098,122.093,-8.317,-16.002,58.629,7.495,-42.703,-54.410,-72.771,-76.375,-76.124,-64.541,-71.817,-68.666,-74.582,-68.595,-69.494,-68.515,-68.918,-14.000,-544.798,-289.718,14.557,-369.042,101.413
71733.730,299.177,0.835,17.103,122.172,-8.317,-16.976,58.070,8.459,-43.956,-54.625,-72.667,-76.695,-75.910,-65.099,-73.068,-68.561,-73.944,-68.491,-70.121,-68.619,-68.805,-14.000,-544.798,-289.718,14.557,-368.977,101.413
71733.730,299.175,0.835,17.103,122.172,-8.317,-17.516,57.959,7.710,-43.224,-54.733,-72.459,-76.268,-76.874,-65.657,-73.902,-68.244,-74.263,-68.804,-69.599,-68.723,-69.706,-14.000,-544.798,-289.718,14.557,-368.993,101.413
71725.667,299.177,0.835,17.104,122.172,-8.157,-16.651,57.959,7.710,-42.807,-54.733,-72.563,-76.161,-76.124,-66.997,-72.859,-67.400,-74.688,-69.118,-70.121,-69.448,-69.143,-14.000,-544.798,-289.718,14.557,-369.042,101.413
71725.667,299.175,0.835,17.093,122.014,-8.157,-18.057,58.517,7.602,-43.120,-54.409,-73.093,-76.802,-76.874,-67.667,-74.006,-67.506,-74.157,-69.118,-69.703,-68.619,-70.156,-14.000,-544.798,-289.718,14.557,-369.042,101.434
71729.699,299.175,0.835,17.104,122.172,-8.157,-17.732,58.740,6.639,-43.433,-55.489,-73.612,-77.550,-76.660,-67.332,-74.215,-67.717,-73.838,-69.850,-69.808,-68.619,-69.706,-14.000,-544.798,-289.718,14.557,-369.026,101.413
71733.730,299.174,0.835,17.103,122.172,-8.157,-17.408,57.959,7.388,-43.746,-54.949,-73.093,-77.656,-77.623,-68.226,-74.527,-67.400,-74.475,-68.282,-69.494,-69.034,-69.931,-14.000,-544.798,-289.718,14.557,-369.026,101.423
71737.761,299.177,0.835,17.103,122.172,-8.477,-18.381,57.400,7.388,-43.642,-54.841,-72.782,-76.375,-77.623,-67.545,-73.485,-68.350,-72.988,-68.072,-70.330,-68.723,-70.720,-14.000,-544.798,-289.718,14.557,-368.977,101.413
71725.667,299.177,0.835,17.104,122.172,-8.157,-17.192,57.847,7.495,-43.329,-55.489,-73.508,-77.122,-77.088,-67.657,-72.338,-66.135,-73.732,-68.700,-69.390,-69.759,-70.269,-14.000,-544.798,-289.718,14.557,-369.009,101.402
71725.667,299.177,0.835,17.099,122.093,-8.157,-17.841,57.400,7.281,-43.329,-54.733,-73.197,-77.016,-76.017,-67.657,-70.149,-65.924,-73.519,-68.595,-70.017,-68.826,-70.156,-14.000,-544.798,-289.718,14.557,-369.026,101.413
71729.699,299.177,0.835,17.098,122.093,-8.157,-17.624,58.405,6.853,-43.642,-54.625,-73.093,-76.802,-76.660,-65.424,-69.524,-65.818,-73.307,-69.327,-69.599,-68.826,-70.044,-14.000,-544.798,-289.718,14.557,-369.009,101.402
71733.730,299.179,0.835,17.098,122.093,-8.157,-17.408,58.852,8.138,-43.224,-54.409,-72.470,-76.802,-76.231,-64.307,-71.087,-66.873,-73.732,-68.805,-69.703,-68.515,-69.368,-14.000,-544.798,-289.718,14.557,-369.026,101.413
71725.667,299.179,0.835,17.104,122.172,-8.157,-17.516,58.740,7.817,-43.433,-54.301,-72.159,-76.054,-76.017,-64.419,-70.462,-66.873,-74.263,-69.014,-70.226,-68.101,-68.017,-14.000,-544.798,-289.718,14.557,-369.026,101.402
71729.699,299.179,0.835,17.109,122.251,-8.317,-16.543,59.075,8.245,-42.389,-54.841,-72.574,-75.947,-77.088,-64.419,-70.462,-67.190,-73.944,-67.968,-68.345,-67.583,-68.467,-14.000,-544.798,-289.718,14.557,-369.026,101.402
71725.667,299.180,0.835,17.093,122.014,-8.157,-16.002,57.959,7.602,-42.389,-54.086,-71.847,-76.161,-75.268,-65.089,-72.442,-66.979,-74.051,-68.386,-69.703,-68.412,-69.481,-14.000,-544.798,-289.718,14.557,-369.026,101.402
71729.699,299.179,0.835,17.087,121.935,-7.997,-17.084,58.964,7.924,-43.120,-54.301,-73.405,-76.268,-76.338,-66.094,-72.964,-66.135,-74.369,-69.955,-70.644,-68.826,-71.508,-14.000,-544.798,-289.718,14.557,-369.009,101.413
71729.699,299.180,0.835,17.087,121.935,-8.317,-18.706,58.517,8.031,-43.016,-54.193,-72.366,-76.695,-76.446,-66.875,-72.859,-66.662,-75.326,-71.314,-71.793,-70.381,-72.071,-14.000,-544.798,-289.718,14.557,-369.026,101.423
71725.667,299.179,0.835,17.093,122.014,-8.317,-20.003,58.740,8.031,-43.851,-54.409,-72.574,-76.588,-76.446,-66.429,-71.504,-69.299,-76.176,-71.523,-72.943,-71.625,-73.535,-14.000,-544.798,-289.718,14.557,-368.993,101.413
71725.667,299.180,0.835,17.088,121.935,-8.637,-20.760,58.517,8.138,-43.016,-54.409,-72.574,-75.520,-77.088,-65.870,-73.902,-70.459,-76.282,-72.674,-73.361,-73.076,-75.337,-14.000,-544.798,-289.718,14.557,-369.026,101.402
71733.730,299.145,0.835,33.973,482.074,-26.247,-25.734,266.008,57.929,-155.671,-204.899,-261.433,-279.435,-279.444,-230.880,-289.561,-290.002,-286.002,-276.785,-275.050,-271.366,-270.040,-14.000,-544.798,-289.718,14.557,-369.009,101.402
71725.667,299.148,0.835,33.972,481.995,-26.407,-26.815,268.240,58.678,-153.583,-202.200,-259.564,-276.658,-276.339,-230.991,-307.802,-283.989,-284.196,-276.053,-276.618,-270.536,-270.941,-14.000,-544.798,-289.718,14.557,-369.026,101.423
71733.730,299.148,0.835,33.976,482.153,-26.407,-27.788,267.012,58.143,-155.149,-204.143,-261.121,-279.115,-279.444,-234.117,-303.216,-290.530,-287.383,-277.204,-273.273,-268.671,-268.126,-14.000,-544.798,-289.718,14.557,-369.042,101.402
71737.761,299.150,0.835,33.980,482.311,-26.087,-27.031,267.682,59.321,-154.105,-202.092,-258.837,-277.406,-276.553,-230.991,-311.242,-283.884,-283.453,-275.321,-275.991,-270.122,-267.675,-14.000,-544.798,-289.718,14.557,-369.009,101.402
71737.761,299.146,0.835,33.983,482.390,-26.247,-29.085,267.124,58.892,-155.149,-204.251,-260.706,-279.115,-280.300,-237.578,-296.336,-285.993,-287.915,-278.563,-277.663,-274.164,-277.923,-14.000,-544.798,-289.718,14.557,-369.026,101.413
71733.730,299.148,0.835,33.984,482.390,-26.247,-35.249,267.459,59.321,-152.956,-203.064,-258.940,-277.299,-277.624,-233.671,-303.424,-283.884,-288.552,-285.987,-286.963,-287.743,-293.125,-14.000,-544.798,-289.718,14.557,-369.042,101.423
71733.730,299.150,0.835,33.987,482.469,-25.927,-47.575,269.134,60.927,-152.748,-201.552,-259.252,-277.406,-278.159,-237.690,-297.900,-298.758,-302.045,-294.352,-290.516,-285.981,-291.774,-14.000,-544.798,-289.718,14.557,-369.042,101.423
71737.761,299.150,0.835,33.986,482.469,-26.247,-50.494,271.702,61.141,-150.973,-200.473,-257.487,-275.269,-275.268,-231.326,-330.004,-300.024,-296.414,-292.679,-289.889,-286.499,-290.535,-14.000,-544.798,-289.718,14.557,-369.009,101.413
71733.730,299.150,0.835,33.990,482.548,-26.087,-48.980,272.149,64.139,-150.451,-199.285,-256.760,-275.803,-276.660,-233.449,-329.587,-299.497,-296.095,-289.856,-287.590,-285.566,-289.296,-14.000,-544.798,-289.718,14.557,-369.009,101.402
71733.730,299.150,0.835,33.992,482.627,-26.247,-50.062,273.266,64.889,-149.720,-198.961,-255.929,-275.162,-275.911,-234.008,-327.085,-298.653,-295.458,-289.752,-287.068,-283.701,-284.679,-14.000,-544.798,-289.718,14.557,-369.009,101.402
71741.793,299.151,0.835,33.996,482.785,-25.927,-47.034,272.707,64.353,-148.989,-199.717,-256.449,-274.842,-276.874,-233.784,-314.890,-297.027,-293.014,-285.255,-282.052,-277.792,-277.698,-14.000,-544.798,-289.718,14.557,-369.026,101.413
71737.761,299.151,0.835,33.997,482.785,-25.927,-39.357,272.484,65.745,-148.467,-197.774,-254.891,-273.881,-273.769,-230.993,-312.805,-291.014,-291.634,-285.569,-283.306,-277.170,-275.220,-14.000,-544.798,-289.718,14.557,-369.009,101.413
71733.730,299.150,0.835,33.998,482.785,-26.247,-36.979,274.382,64.567,-148.989,-199.285,-257.902,-276.017,-277.838,-236.017,-302.590,-292.913,-293.228,-284.734,-281.529,-276.652,-274.094,-14.000,-544.798,-289.718,14.557,-369.026,101.423
71733.730,299.151,0.835,34.004,482.943,-25.927,-35.140,272.484,63.283,-150.137,-199.285,-257.071,-276.231,-276.446,-233.449,-308.427,-290.171,-288.872,-283.375,-282.366,-278.932,-276.571,-14.000,-544.798,-289.718,14.557,-369.026,101.402
71737.761,299.151,0.835,34.005,483.022,-25.927,-35.032,272.596,64.246,-150.137,-199.501,-257.175,-276.658,-277.731,-235.124,-297.274,-288.061,-292.697,-285.571,-284.038,-279.556,-277.472,-14.000,-544.798,-289.718,14.557,-369.026,101.413
71737.761,299.151,0.835,34.005,483.022,-25.767,-35.357,272.819,63.068,-151.390,-201.120,-258.214,-277.192,-279.123,-236.799,-302.695,-296.605,-291.422,-282.015,-280.381,-275.824,-270.829,-14.000,-544.798,-289.718,14.557,-369.009,101.402
71741.793,299.150,0.835,34.013,483.259,-25.927,-29.842,269.022,60.713,-152.643,-202.740,-258.940,-278.687,-280.193,-242.381,-303.633,-287.112,-290.041,-280.551,-277.559,-271.782,-267.676,-14.000,-544.798,-289.718,14.557,-369.009,101.423
