%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
72286.027,299.527,0.841,8.939,33.588,-2.666,-53.414,-33.445,-46.723,-57.320,-58.305,-67.383,-65.994,-65.087,-61.628,-61.915,-59.279,-64.798,-62.103,-62.493,-61.675,-62.725,-11.000,-544.798,-289.718,14.557,-369.123,101.402
72269.901,299.527,0.841,8.940,33.588,-3.146,-53.738,-34.337,-46.723,-57.738,-58.090,-66.760,-66.100,-65.301,-61.740,-60.769,-59.068,-65.117,-60.535,-63.538,-61.467,-63.288,-11.000,-544.798,-289.718,14.557,-369.156,101.413
72286.027,299.525,0.841,8.949,33.667,-2.986,-55.036,-34.114,-46.730,-57.216,-58.737,-67.695,-65.887,-66.050,-62.410,-59.935,-59.806,-64.586,-60.953,-63.120,-61.882,-63.400,-11.000,-544.798,-289.718,14.557,-369.140,101.423
72281.995,299.527,0.841,8.918,33.430,-2.986,-53.414,-35.005,-46.730,-57.633,-58.845,-67.072,-65.780,-64.873,-61.963,-59.518,-58.330,-65.435,-60.849,-62.284,-62.400,-63.063,-11.000,-544.798,-289.718,14.557,-369.140,101.391
72277.964,299.527,0.841,8.939,33.588,-2.986,-53.847,-34.448,-47.372,-57.007,-57.874,-67.280,-66.421,-64.445,-62.745,-59.310,-58.435,-64.586,-61.162,-62.493,-61.364,-63.626,-11.000,-544.798,-289.718,14.557,-369.140,101.423
72281.995,299.527,0.841,8.949,33.667,-3.306,-54.171,-33.668,-47.479,-57.111,-58.305,-67.279,-65.566,-65.087,-60.958,-59.414,-57.802,-64.373,-61.790,-63.329,-61.986,-63.626,-11.000,-544.798,-289.718,14.557,-369.140,101.413
72281.995,299.527,0.841,8.918,33.430,-2.826,-53.955,-33.333,-46.516,-56.798,-57.982,-66.553,-66.110,-64.445,-60.623,-59.622,-56.537,-65.329,-61.058,-63.015,-61.986,-63.400,-11.000,-544.798,-289.718,14.557,-369.172,101.423
72277.964,299.525,0.841,8.929,33.509,-2.986,-54.603,-33.556,-46.516,-56.902,-57.874,-66.864,-64.615,-63.812,-60.065,-58.371,-57.169,-66.391,-61.790,-63.538,-62.089,-64.189,-11.000,-544.798,-289.718,14.557,-369.123,101.423
72281.995,299.524,0.841,8.949,33.667,-2.986,-54.495,-34.002,-46.196,-56.485,-58.090,-66.137,-64.936,-64.776,-60.066,-57.850,-57.064,-66.923,-61.371,-63.015,-62.711,-63.963,-11.000,-544.798,-289.718,14.557,-369.140,101.434
72281.995,299.525,0.841,8.949,33.667,-3.146,-54.387,-34.002,-45.982,-55.754,-57.226,-66.241,-64.508,-63.705,-59.731,-57.538,-58.013,-66.923,-62.208,-63.329,-62.400,-64.301,-11.000,-544.798,-289.718,14.557,-369.123,101.402
72286.027,299.525,0.841,8.928,33.509,-3.146,-54.712,-32.887,-46.516,-56.276,-57.118,-67.072,-64.829,-63.705,-59.954,-57.850,-59.376,-66.285,-62.835,-63.956,-62.711,-65.878,-11.000,-544.798,-289.718,14.557,-369.123,101.413
72281.995,299.524,0.841,8.949,33.667,-2.986,-55.252,-32.887,-45.875,-56.276,-57.442,-66.034,-65.042,-63.491,-59.396,-59.727,-58.532,-66.923,-63.149,-64.792,-63.748,-65.315,-11.000,-544.798,-289.718,14.557,-369.123,101.413
72269.901,299.525,0.841,8.908,33.350,-2.986,-56.333,-33.333,-45.661,-57.111,-57.118,-66.137,-65.042,-63.705,-59.842,-59.935,-59.059,-67.667,-63.054,-65.942,-64.059,-65.878,-11.000,-544.798,-289.718,14.557,-369.156,101.402
72281.995,299.525,0.841,8.939,33.588,-2.666,-56.766,-33.333,-46.196,-56.067,-57.442,-66.345,-64.295,-64.669,-60.066,-59.935,-58.954,-67.985,-63.473,-65.419,-63.851,-65.990,-11.000,-544.798,-289.718,14.557,-369.140,101.402
72281.995,299.524,0.841,8.928,33.509,-2.826,-56.117,-34.225,-45.982,-56.485,-57.874,-66.241,-64.402,-63.812,-59.842,-61.186,-59.165,-68.198,-64.204,-65.628,-65.407,-66.553,-11.000,-544.798,-289.718,14.557,-369.140,101.413
72286.027,299.525,0.841,8.939,33.588,-2.986,-56.550,-33.110,-45.982,-56.276,-57.226,-66.760,-64.615,-63.491,-60.400,-62.020,-60.536,-68.304,-63.995,-65.837,-64.474,-66.779,-11.000,-544.798,-289.718,14.557,-369.172,101.423
72277.964,299.525,0.841,8.939,33.588,-2.826,-56.982,-33.222,-47.158,-56.589,-57.442,-66.449,-64.936,-63.277,-59.284,-63.896,-61.169,-68.304,-64.727,-65.315,-64.370,-67.230,-11.000,-544.798,-289.718,14.557,-369.123,101.402
72281.995,299.524,0.841,8.949,33.667,-3.306,-57.307,-32.887,-45.447,-56.380,-56.902,-65.514,-65.149,-63.170,-59.172,-64.209,-61.169,-68.198,-63.577,-66.569,-65.096,-66.216,-11.000,-544.798,-289.718,14.557,-369.107,101.402
72281.995,299.522,0.841,8.949,33.667,-2.826,-58.063,-32.776,-45.875,-56.380,-57.010,-65.618,-64.188,-63.812,-59.842,-63.583,-62.118,-68.410,-63.263,-66.046,-64.992,-66.441,-11.000,-544.798,-289.718,14.557,-369.172,101.402
