%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
71669.228,299.071,0.835,8.928,33.271,-2.794,-13.193,4.802,-7.914,-19.109,-19.758,-28.763,-27.772,-26.873,-24.453,-23.247,-20.993,-27.945,-22.795,-23.307,-23.218,-23.764,-11.000,-544.798,-289.718,14.557,-368.781,101.434
71665.197,299.069,0.835,8.939,33.350,-2.794,-13.301,4.467,-8.770,-19.318,-20.406,-28.452,-28.199,-27.515,-23.560,-23.664,-19.832,-27.414,-22.795,-23.411,-23.425,-24.665,-11.000,-544.798,-289.718,14.557,-368.748,101.445
71669.228,299.071,0.835,8.928,33.271,-2.954,-12.652,5.137,-7.914,-19.109,-20.298,-28.348,-28.306,-27.408,-23.225,-23.456,-19.938,-27.095,-22.063,-23.516,-23.011,-24.215,-11.000,-544.798,-289.718,14.557,-368.732,101.434
71665.197,299.072,0.835,8.949,33.430,-2.794,-12.869,4.243,-8.128,-19.944,-20.190,-28.244,-28.626,-27.194,-23.560,-22.726,-19.832,-27.626,-21.331,-23.830,-23.736,-24.215,-11.000,-544.798,-289.718,14.557,-368.748,101.413
71669.228,299.072,0.835,8.928,33.271,-2.954,-13.193,3.908,-8.449,-19.213,-20.622,-28.556,-27.879,-27.944,-23.783,-22.517,-19.621,-26.670,-22.063,-22.993,-22.907,-23.764,-11.000,-544.798,-289.718,14.557,-368.715,101.434
71661.166,299.069,0.835,8.939,33.350,-2.634,-11.679,3.797,-8.663,-19.527,-20.946,-28.659,-27.986,-26.766,-24.007,-21.579,-18.566,-27.095,-21.958,-22.889,-23.011,-24.327,-11.000,-544.798,-289.718,14.557,-368.764,101.434
71653.103,299.069,0.835,8.929,33.271,-3.114,-12.544,3.573,-9.091,-19.109,-20.190,-28.659,-27.986,-26.766,-24.788,-21.788,-18.461,-27.095,-21.645,-22.471,-23.114,-24.440,-11.000,-544.798,-289.718,14.557,-368.732,101.434
71657.134,299.069,0.835,8.939,33.350,-2.634,-12.977,4.690,-9.091,-19.631,-20.514,-29.179,-28.306,-26.346,-22.890,-21.371,-18.883,-26.033,-22.272,-23.202,-23.114,-24.665,-11.000,-544.798,-289.718,14.557,-368.748,101.423
71665.197,299.066,0.835,8.939,33.350,-2.794,-12.544,4.802,-7.807,-19.422,-20.082,-27.932,-28.733,-26.881,-22.667,-21.892,-18.566,-26.245,-21.331,-23.411,-22.907,-24.665,-11.000,-544.798,-289.718,14.557,-368.748,101.445
71661.166,299.067,0.835,8.928,33.271,-2.794,-13.193,5.248,-7.807,-20.049,-19.866,-28.452,-28.306,-27.417,-23.002,-20.435,-18.355,-26.139,-21.435,-24.457,-23.425,-24.665,-11.000,-544.798,-289.718,14.557,-368.732,101.434
