%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
71685.354,299.396,0.834,8.808,32.355,-2.994,-18.595,6.141,-6.949,-15.139,-15.332,-22.320,-19.649,-17.450,-14.400,-20.427,-22.886,-34.524,-29.588,-31.974,-30.890,-31.982,-8.000,-544.798,-289.718,14.557,-366.382,101.402
71677.291,299.396,0.834,8.798,32.276,-2.834,-18.162,5.918,-6.093,-16.288,-15.440,-22.527,-20.290,-17.557,-14.847,-21.157,-22.569,-34.418,-29.170,-32.496,-31.201,-31.644,-8.000,-544.798,-289.718,14.557,-366.382,101.402
71677.291,299.398,0.834,8.798,32.276,-3.154,-18.487,5.248,-6.629,-16.079,-15.872,-22.735,-19.756,-18.199,-16.521,-20.323,-22.253,-33.993,-28.752,-30.929,-30.371,-32.095,-8.000,-544.798,-289.718,14.557,-366.414,101.413
71677.291,299.390,0.834,8.808,32.355,-2.994,-17.730,4.578,-6.308,-16.288,-15.872,-22.631,-20.396,-17.985,-16.744,-19.593,-21.198,-34.418,-28.752,-30.615,-30.164,-31.419,-8.000,-544.798,-289.718,14.557,-366.414,101.413
71677.291,299.395,0.834,8.798,32.276,-3.154,-17.514,5.918,-6.950,-16.079,-15.332,-23.046,-20.183,-18.092,-16.298,-18.968,-21.620,-33.356,-29.066,-30.197,-30.268,-31.644,-8.000,-544.798,-289.718,14.557,-366.414,101.413
71685.354,299.395,0.834,8.819,32.434,-3.314,-16.973,5.583,-6.843,-15.557,-15.764,-22.839,-20.610,-18.413,-15.628,-19.385,-21.831,-33.780,-27.602,-29.570,-29.127,-29.617,-8.000,-544.798,-289.718,14.557,-366.431,101.413
71681.322,299.396,0.834,8.830,32.513,-2.994,-17.406,5.471,-6.736,-16.810,-16.304,-23.150,-20.717,-18.520,-15.963,-18.655,-21.515,-33.993,-28.020,-30.197,-28.402,-29.955,-8.000,-544.798,-289.718,14.557,-366.398,101.413
71673.260,299.396,0.834,8.809,32.355,-3.314,-16.865,4.913,-6.950,-15.870,-16.520,-23.462,-20.396,-19.483,-15.628,-19.593,-21.726,-33.037,-28.020,-28.525,-28.920,-29.279,-8.000,-544.798,-289.718,14.557,-366.398,101.391
71673.260,299.396,0.834,8.841,32.592,-3.474,-16.108,4.131,-7.377,-16.601,-15.980,-23.462,-20.930,-18.306,-16.635,-19.489,-21.831,-33.356,-27.393,-28.108,-28.298,-28.829,-8.000,-544.798,-289.718,14.557,-366.414,101.413
71681.322,299.395,0.834,8.819,32.434,-2.994,-15.244,5.136,-7.377,-16.079,-16.304,-23.462,-21.037,-18.627,-15.072,-19.906,-22.253,-31.975,-27.393,-27.376,-26.951,-28.604,-8.000,-544.798,-289.718,14.557,-366.414,101.413
