%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
72209.431,298.801,0.842,9.144,35.196,-2.938,-16.217,13.174,-0.321,-13.051,-17.165,-25.845,-26.377,-26.870,-23.446,-22.515,-18.562,-27.194,-20.283,-20.689,-23.115,-24.208,-15.000,-544.798,-289.718,14.557,-369.678,101.413
72213.462,298.805,0.842,9.133,35.117,-2.618,-16.000,13.399,0.214,-13.156,-15.546,-25.845,-26.377,-26.870,-24.227,-22.202,-18.667,-25.920,-20.074,-21.420,-22.079,-24.546,-15.000,-544.798,-289.718,14.557,-369.695,101.413
72213.462,298.803,0.842,9.123,35.038,-2.778,-15.676,13.623,0.107,-12.842,-16.302,-25.119,-26.163,-26.870,-23.558,-22.619,-18.456,-25.495,-20.597,-21.734,-22.597,-23.870,-15.000,-544.798,-289.718,14.557,-369.711,101.413
72205.399,298.801,0.842,9.124,35.038,-2.778,-15.676,13.623,0.214,-13.678,-15.762,-25.534,-26.270,-26.977,-23.446,-21.577,-18.984,-26.026,-19.970,-22.047,-22.286,-24.095,-15.000,-544.798,-289.718,14.557,-369.678,101.413
72209.431,298.805,0.842,9.123,35.038,-2.938,-16.108,13.623,-0.214,-13.156,-16.086,-25.430,-26.163,-27.406,-23.334,-21.369,-18.984,-26.345,-20.074,-21.316,-22.804,-23.983,-15.000,-544.798,-289.718,14.557,-369.678,101.391
72213.462,298.803,0.842,9.133,35.117,-2.938,-15.460,12.953,0.214,-13.678,-16.518,-25.434,-26.163,-26.442,-24.116,-22.411,-19.089,-26.557,-20.492,-21.107,-22.390,-24.208,-15.000,-544.798,-289.718,14.557,-369.678,101.402
72205.399,298.803,0.842,9.134,35.117,-2.778,-15.244,14.069,-0.535,-13.364,-15.978,-25.849,-27.017,-26.870,-23.446,-22.515,-19.405,-25.601,-20.492,-21.107,-22.701,-24.884,-15.000,-544.798,-289.718,14.557,-369.678,101.413
72213.462,298.801,0.842,9.113,34.959,-2.778,-16.541,13.734,-0.214,-14.095,-16.410,-25.226,-27.017,-26.977,-23.223,-23.141,-19.405,-26.451,-19.970,-22.152,-22.494,-23.758,-15.000,-544.798,-289.718,14.557,-369.711,101.413
72205.399,298.805,0.842,9.144,35.196,-2.778,-16.541,13.846,0.214,-13.678,-16.194,-25.330,-26.377,-27.084,-23.223,-22.619,-20.776,-26.238,-20.283,-21.734,-22.494,-24.433,-15.000,-544.798,-289.718,14.557,-369.662,101.413
72213.462,298.803,0.842,9.123,35.038,-2.457,-16.000,13.623,-0.428,-13.364,-16.949,-25.538,-26.377,-27.298,-23.893,-23.036,-19.089,-26.238,-20.179,-21.107,-23.530,-24.546,-15.000,-544.798,-289.718,14.557,-369.695,101.423
