%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
72302.152,299.154,0.842,8.562,30.865,-2.385,-15.892,10.273,-1.818,-13.885,-15.762,-23.666,-24.668,-25.051,-21.321,-20.323,-17.929,-24.641,-18.611,-20.794,-21.146,-22.970,-14.000,-544.798,-289.718,14.557,-369.695,101.402
72302.152,299.154,0.842,8.584,31.023,-2.225,-15.136,9.491,-1.711,-13.049,-15.330,-23.666,-24.241,-25.051,-21.210,-20.636,-17.507,-24.641,-19.029,-20.167,-21.561,-22.744,-14.000,-544.798,-289.718,14.557,-369.695,101.413
72298.121,299.158,0.842,8.552,30.786,-2.225,-14.487,9.268,-1.818,-13.363,-15.006,-23.770,-24.455,-24.301,-21.879,-20.532,-16.980,-24.960,-18.506,-19.540,-20.835,-23.195,-14.000,-544.798,-289.718,14.557,-369.678,101.402
72302.152,299.156,0.842,8.562,30.865,-2.225,-14.271,10.161,-2.780,-13.363,-15.222,-24.081,-23.921,-24.194,-21.098,-20.636,-16.874,-23.792,-18.924,-19.853,-20.732,-22.970,-14.000,-544.798,-289.718,14.557,-369.678,101.413
72298.121,299.156,0.842,8.585,31.023,-2.225,-14.595,10.161,-2.031,-13.363,-15.006,-23.458,-24.882,-24.622,-20.763,-19.906,-16.558,-24.216,-17.774,-19.749,-20.835,-22.744,-14.000,-544.798,-289.718,14.557,-369.678,101.391
72302.152,299.156,0.842,8.584,31.023,-2.225,-14.595,9.603,-1.925,-13.049,-15.546,-23.458,-23.921,-24.515,-21.321,-19.073,-17.824,-24.216,-18.506,-20.271,-20.835,-22.181,-14.000,-544.798,-289.718,14.557,-369.646,101.413
72306.184,299.154,0.842,8.562,30.865,-2.065,-14.271,9.491,-1.818,-13.571,-16.086,-23.770,-24.455,-24.515,-20.986,-19.281,-16.664,-24.854,-18.820,-19.435,-21.353,-22.857,-14.000,-544.798,-289.718,14.557,-369.678,101.402
72306.184,299.154,0.842,8.551,30.786,-2.385,-14.595,10.161,-1.604,-13.154,-15.222,-24.185,-24.455,-24.408,-21.210,-19.594,-17.718,-23.898,-18.611,-19.644,-21.146,-23.645,-14.000,-544.798,-289.718,14.557,-369.678,101.402
72302.152,299.156,0.842,8.562,30.865,-2.385,-14.919,9.715,-2.459,-13.258,-14.898,-23.666,-24.241,-24.408,-20.987,-21.053,-18.667,-24.535,-18.924,-19.435,-20.628,-22.407,-14.000,-544.798,-289.718,14.557,-369.695,101.391
72294.089,299.154,0.842,8.563,30.865,-2.225,-14.811,10.161,-1.604,-14.407,-14.898,-24.185,-24.561,-24.622,-20.875,-19.802,-18.245,-24.429,-18.297,-20.376,-21.042,-22.970,-14.000,-544.798,-289.718,14.557,-369.695,101.413
72302.152,299.156,0.842,8.573,30.944,-2.225,-14.919,10.161,-1.711,-13.154,-15.654,-24.185,-24.348,-25.479,-21.656,-20.427,-17.824,-24.216,-18.506,-19.017,-21.250,-23.307,-14.000,-544.798,-289.718,14.557,-369.695,101.402
72298.121,299.154,0.842,8.574,30.944,-2.225,-14.271,9.156,-2.031,-13.780,-15.006,-24.496,-24.241,-24.515,-22.549,-20.949,-17.613,-24.748,-18.611,-19.853,-20.835,-22.970,-14.000,-544.798,-289.718,14.557,-369.695,101.423
72306.184,299.154,0.842,8.595,31.102,-2.225,-14.487,10.385,-2.780,-13.780,-15.546,-24.392,-24.027,-24.729,-22.103,-21.470,-17.824,-23.792,-18.715,-19.226,-21.042,-23.082,-14.000,-544.798,-289.718,14.557,-369.678,101.402
72302.152,299.153,0.842,8.573,30.944,-2.545,-14.163,9.715,-2.031,-14.093,-16.194,-23.458,-25.629,-25.051,-22.326,-20.949,-17.191,-23.898,-18.088,-19.961,-20.628,-22.632,-14.000,-544.798,-289.718,14.557,-369.678,101.380
