%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
72943.139,297.310,360.082,168.421,-0.017,-0.016,5.000
72943.139,297.310,359.924,168.902,-0.001,-0.016,5.000
72935.076,297.310,359.924,168.902,0.015,-0.016,5.000
72943.139,297.313,359.924,168.742,-0.001,-0.005,5.000
72935.076,297.310,359.924,168.902,-0.001,0.005,5.000
72943.139,297.310,360.082,168.902,0.048,-0.005,5.000
72947.170,297.308,359.924,168.742,-0.001,0.005,5.000
72943.139,297.315,359.924,169.062,0.015,-0.005,5.000
72943.139,297.308,360.003,168.742,-0.017,-0.005,5.000
72943.139,297.311,359.924,168.742,-0.001,0.005,5.000
72947.170,297.310,359.924,168.902,-0.017,-0.016,5.000
72943.139,297.313,359.924,168.581,-0.001,0.005,5.000
72939.108,297.310,359.845,168.421,-0.017,-0.005,5.000
72947.170,297.313,359.845,168.742,-0.017,-0.005,5.000
72939.108,297.311,359.845,168.421,0.015,0.005,5.000
72935.076,297.307,359.924,168.261,-0.017,0.005,5.000
72939.108,297.311,359.845,168.261,-0.001,-0.005,5.000
72935.076,297.313,360.003,168.261,0.015,-0.005,5.000
72939.108,297.313,360.003,168.421,-0.017,-0.005,5.000
72943.139,297.311,359.924,168.261,-0.017,-0.005,5.000
72935.076,297.315,359.845,167.941,-0.001,-0.005,5.000
72935.076,297.313,359.766,167.941,-0.001,-0.005,5.000
72939.108,297.311,359.845,167.941,-0.001,0.005,5.000
72943.139,297.313,359.924,167.941,0.015,-0.005,5.000
72931.045,297.313,359.845,168.101,-0.017,-0.016,5.000
72931.045,297.310,359.845,167.941,-0.017,-0.005,5.000
72939.108,297.313,359.766,168.101,-0.017,-0.005,5.000
72931.045,297.313,359.845,168.101,-0.001,-0.005,5.000
72939.108,297.315,359.845,167.941,-0.001,-0.005,5.000
72943.139,297.313,359.845,168.101,-0.001,-0.016,5.000
72943.139,297.313,359.924,168.261,-0.001,0.005,5.000
72943.139,297.313,359.687,168.581,0.015,-0.005,5.000
72943.139,297.313,359.924,168.261,-0.001,0.005,5.000
72943.139,297.313,359.924,168.581,-0.001,-0.016,5.000
72947.170,297.315,359.845,168.421,0.015,0.005,5.000
72943.139,297.315,359.845,168.902,-0.001,-0.005,5.000
72939.108,297.315,359.687,168.902,-0.017,0.005,5.000
72947.170,297.315,359.845,169.222,-0.017,-0.005,5.000
72939.108,297.313,359.845,169.062,-0.001,0.005,5.000
72947.170,297.313,359.766,169.382,-0.017,0.005,5.000
72943.139,297.315,359.845,169.062,0.015,-0.016,5.000
72947.170,297.315,359.845,169.542,0.015,-0.005,5.000
72951.202,297.315,359.924,169.862,0.015,-0.016,5.000
72943.139,297.315,359.766,169.702,-0.001,-0.005,5.000
72947.170,297.316,359.845,169.862,-0.034,-0.005,5.000
72951.202,297.313,359.766,170.022,-0.001,0.016,5.000
72947.170,297.313,359.766,170.182,0.015,-0.005,5.000
72947.170,297.315,359.766,170.182,0.015,-0.005,5.000
72947.170,297.316,359.766,170.182,-0.017,-0.005,5.000
72939.108,297.316,359.845,170.503,-0.001,0.005,5.000
72947.170,297.315,359.687,170.663,-0.017,0.005,5.000
72947.170,297.316,359.687,170.342,-0.001,-0.016,5.000
72947.170,297.318,359.766,170.503,-0.001,0.005,5.000
72943.139,297.316,359.766,170.663,-0.017,-0.016,5.000
72947.170,297.319,359.687,170.823,-0.017,-0.005,5.000
72943.139,297.318,359.687,170.503,-0.017,0.005,5.000
72947.170,297.316,359.608,170.663,0.015,0.005,5.000
72947.170,297.316,359.766,170.503,0.015,-0.005,5.000
72947.170,297.316,359.529,170.663,0.015,-0.005,5.000
72947.170,297.315,359.766,170.663,-0.001,-0.005,5.000
72947.170,297.318,359.608,170.663,0.015,0.005,5.000
72943.139,297.316,359.608,170.342,-0.017,0.005,5.000
72943.139,297.315,359.608,170.342,0.015,-0.016,5.000
72947.170,297.315,359.687,170.503,-0.001,-0.005,5.000
72939.108,297.315,359.608,170.182,-0.001,0.005,5.000
72943.139,297.318,359.608,170.342,0.015,-0.016,5.000
72939.108,297.315,359.529,170.022,-0.001,-0.005,5.000
72943.139,297.313,359.529,170.022,-0.017,0.005,5.000
72931.045,297.316,359.529,169.862,0.032,0.005,5.000
72939.108,297.315,359.529,169.862,-0.017,-0.005,5.000
72931.045,297.311,359.529,169.702,-0.017,0.005,5.000
72935.076,297.315,359.529,169.222,-0.017,0.005,5.000
72935.076,297.313,359.529,169.542,-0.017,-0.005,5.000
72931.045,297.313,359.450,169.222,-0.001,-0.005,5.000
72927.014,297.313,359.529,169.382,0.015,-0.005,5.000
72927.014,297.315,359.371,169.382,-0.001,-0.016,5.000
72935.076,297.311,359.371,169.222,-0.017,0.005,5.000
72931.045,297.310,359.450,168.902,-0.001,-0.005,5.000
72927.014,297.311,359.371,168.742,-0.017,0.016,5.000
72927.014,297.308,359.450,168.742,-0.001,-0.005,5.000
72935.076,297.313,359.371,168.902,0.015,0.005,5.000
72931.045,297.308,359.529,168.421,0.015,-0.016,5.000
72935.076,297.310,359.292,168.421,-0.034,-0.005,5.000
72927.014,297.310,359.529,168.581,-0.017,-0.005,5.000
72927.014,297.313,359.529,168.261,-0.001,-0.005,5.000
72935.076,297.313,359.608,168.101,-0.001,-0.005,5.000
72927.014,297.313,359.608,168.101,0.015,-0.005,5.000
72931.045,297.311,359.529,168.261,0.015,-0.016,5.000
72935.076,297.313,359.529,167.941,-0.001,-0.016,5.000
72939.108,297.313,359.687,167.781,-0.001,0.005,5.000
72931.045,297.313,359.450,167.781,0.032,-0.005,5.000
72927.014,297.311,359.608,167.461,-0.017,0.005,5.000
72939.108,297.310,359.687,167.461,0.015,-0.005,5.000
72935.076,297.316,359.608,167.301,-0.001,-0.005,5.000
72935.076,297.313,359.529,167.301,-0.001,0.005,5.000
72939.108,297.313,359.608,167.301,-0.017,0.005,5.000
72943.139,297.315,359.845,166.820,-0.034,-0.005,5.000
72943.139,297.316,359.766,167.141,-0.001,0.027,5.000
72939.108,297.316,359.608,166.981,-0.001,-0.016,5.000
72939.108,297.316,359.608,166.820,-0.001,-0.005,5.000
72943.139,297.316,359.687,166.660,-0.017,0.016,5.000
72947.170,297.316,359.608,166.660,-0.034,-0.027,5.000
72939.108,297.315,359.608,166.660,0.015,-0.005,5.000
72943.139,297.315,359.529,166.500,0.015,-0.016,5.000
72947.170,297.318,359.608,166.500,-0.001,0.005,5.000
72943.139,297.318,359.687,166.500,-0.001,0.005,5.000
72947.170,297.315,359.608,166.180,0.015,-0.016,5.000
72943.139,297.319,359.766,166.340,-0.001,-0.027,5.000
72943.139,297.316,359.608,166.340,0.015,-0.005,5.000
72943.139,297.313,359.529,165.700,-0.017,-0.005,5.000
72947.170,297.319,359.608,166.020,0.015,-0.005,5.000
72943.139,297.319,359.608,165.700,-0.001,-0.005,5.000
72939.108,297.315,359.450,165.700,-0.001,-0.005,5.000
72943.139,297.316,359.529,165.700,-0.017,-0.005,5.000
72943.139,297.313,359.529,165.860,-0.001,0.005,5.000
72935.076,297.316,359.529,165.700,-0.001,0.005,5.000
72943.139,297.318,359.529,165.700,0.015,0.005,5.000
72947.170,297.316,359.529,165.700,0.015,0.005,5.000
72943.139,297.318,359.529,165.380,-0.001,0.005,5.000
72943.139,297.318,359.529,165.220,0.015,0.005,5.000
72935.076,297.316,359.529,165.220,-0.017,-0.005,5.000
72939.108,297.316,359.529,165.220,-0.001,0.005,5.000
72935.076,297.311,359.529,165.220,0.015,0.005,5.000
72943.139,297.316,359.371,165.380,-0.001,-0.005,5.000
72939.108,297.315,359.371,165.380,-0.001,0.005,5.000
72939.108,297.316,359.450,165.220,-0.017,-0.016,5.000
72939.108,297.316,359.608,165.220,0.015,0.005,5.000
72943.139,297.316,359.529,165.540,-0.001,0.005,5.000
72939.108,297.313,359.529,165.220,-0.001,-0.005,5.000
72935.076,297.316,359.687,165.380,0.015,-0.016,5.000
72943.139,297.316,359.450,165.540,0.015,0.005,5.000
72939.108,297.311,359.687,165.220,0.015,0.005,5.000
72935.076,297.315,359.608,165.380,-0.001,0.027,5.000
72943.139,297.315,359.687,165.380,0.015,0.005,5.000
72943.139,297.315,359.687,165.540,0.032,-0.016,5.000
72939.108,297.313,359.687,165.380,0.032,-0.005,5.000
72939.108,297.313,359.608,165.380,0.015,-0.016,5.000
72939.108,297.313,359.845,165.380,-0.001,-0.037,5.000
