%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
73128.582,295.762,360.396,155.435,-0.014,0.009,5.000
73128.582,295.762,360.238,155.435,0.019,0.009,5.000
73124.551,295.762,360.159,155.755,0.002,-0.023,5.000
73136.645,295.762,360.475,155.915,0.019,-0.013,5.000
73132.613,295.760,360.396,156.235,0.002,-0.002,5.000
73128.582,295.760,360.317,155.915,-0.014,0.009,5.000
73128.582,295.765,360.317,156.075,0.002,0.009,5.000
73128.582,295.765,360.396,156.235,0.019,-0.023,5.000
73132.613,295.760,360.396,156.075,0.019,0.009,5.000
73128.582,295.762,360.554,156.556,-0.030,0.009,5.000
73132.613,295.763,360.396,156.876,0.019,-0.013,5.000
73136.645,295.765,360.475,156.395,-0.014,0.009,5.000
73132.613,295.762,360.554,156.395,0.002,0.020,5.000
73136.645,295.760,360.554,156.556,0.019,0.009,5.000
73132.613,295.760,360.396,156.395,-0.014,0.020,5.000
73132.613,295.758,360.791,156.556,0.002,-0.002,5.000
73128.582,295.762,360.712,156.235,0.019,-0.013,5.000
73128.582,295.762,360.791,156.395,0.019,0.009,5.000
73132.613,295.763,360.791,156.235,0.002,-0.002,5.000
73132.613,295.763,360.712,156.395,-0.047,-0.023,5.000
73128.582,295.762,360.870,156.075,0.002,-0.013,5.000
73124.551,295.762,360.791,156.075,-0.014,0.009,5.000
73124.551,295.763,360.949,155.915,0.002,0.009,5.000
73124.551,295.763,360.870,155.595,0.002,0.009,5.000
73124.551,295.765,361.028,155.755,0.002,-0.002,5.000
73128.582,295.765,361.028,155.275,-0.014,-0.023,5.000
73120.519,295.765,361.107,155.435,-0.014,-0.013,5.000
73120.519,295.765,361.107,154.955,0.002,-0.013,5.000
73120.519,295.763,361.107,155.275,0.019,-0.013,5.000
73120.519,295.767,361.186,155.115,0.002,0.009,5.000
73120.519,295.765,361.186,154.634,0.019,0.009,5.000
73120.519,295.762,361.265,154.634,0.019,0.009,5.000
73116.488,295.765,361.344,154.154,-0.030,-0.013,5.000
73116.488,295.765,361.423,154.154,0.002,-0.013,5.000
73112.456,295.765,361.423,153.834,0.019,0.020,5.000
73112.456,295.765,361.581,153.674,0.002,0.020,5.000
73112.456,295.767,361.581,153.674,0.002,-0.013,5.000
73116.488,295.765,361.502,153.354,0.002,0.009,5.000
73120.519,295.765,361.739,153.354,0.002,-0.002,5.000
73116.488,295.767,361.897,153.034,0.002,0.020,5.000
73120.519,295.763,361.976,152.873,-0.014,0.009,5.000
73120.519,295.763,361.976,152.553,0.002,-0.013,5.000
73116.488,295.763,361.976,152.713,0.019,-0.002,5.000
73120.519,295.762,361.976,152.393,0.002,-0.013,5.000
73124.551,295.762,362.213,152.233,-0.014,-0.002,5.000
73124.551,295.763,362.134,151.913,0.002,-0.002,5.000
73124.551,295.765,362.213,152.073,0.002,-0.002,5.000
73128.582,295.765,362.293,152.073,0.002,-0.013,5.000
73132.613,295.765,362.451,151.593,-0.014,0.009,5.000
73120.519,295.760,362.372,152.073,0.002,0.009,5.000
73128.582,295.765,362.451,151.593,0.002,-0.002,5.000
73132.613,295.762,362.530,151.753,0.002,0.009,5.000
73132.613,295.760,362.530,151.753,0.019,-0.013,5.000
73132.613,295.762,362.767,151.753,0.002,-0.023,5.000
73132.613,295.760,362.925,151.913,-0.014,0.009,5.000
73132.613,295.758,362.767,151.913,0.002,-0.002,5.000
73140.676,295.758,363.004,151.913,0.019,-0.002,5.000
73144.707,295.757,362.846,151.753,0.035,-0.023,5.000
73128.582,295.755,363.083,151.913,0.002,0.009,5.000
73140.676,295.760,363.004,151.913,0.019,-0.002,5.000
73136.645,295.757,362.925,152.073,0.019,0.009,5.000
73144.707,295.757,363.241,151.913,0.002,-0.002,5.000
73136.645,295.762,363.083,151.753,0.002,-0.002,5.000
73144.707,295.758,363.083,152.073,0.002,0.020,5.000
73140.676,295.755,363.320,152.233,-0.014,0.009,5.000
73140.676,295.760,363.399,152.233,0.002,-0.002,5.000
73144.707,295.757,363.399,152.393,0.019,0.009,5.000
73144.707,295.758,363.320,152.553,-0.014,-0.002,5.000
73140.676,295.760,363.399,152.713,-0.014,-0.002,5.000
73136.645,295.758,363.399,152.873,0.019,-0.023,5.000
73140.676,295.760,363.478,152.873,-0.014,0.009,5.000
73140.676,295.760,363.162,153.034,-0.014,-0.002,5.000
73140.676,295.760,363.478,153.194,0.019,-0.002,5.000
73128.582,295.763,363.478,153.194,-0.014,0.009,5.000
73136.645,295.760,363.399,153.034,-0.014,-0.002,5.000
73132.613,295.760,363.478,153.194,0.002,0.009,5.000
73132.613,295.758,363.478,153.674,0.019,-0.023,5.000
73132.613,295.762,363.399,153.514,-0.014,-0.002,5.000
73128.582,295.763,363.320,153.514,-0.014,-0.013,5.000
73132.613,295.760,363.241,153.834,-0.014,0.009,5.000
73128.582,295.765,363.162,153.834,-0.014,0.020,5.000
73128.582,295.763,363.320,153.354,-0.014,-0.002,5.000
73128.582,295.758,363.320,153.994,0.019,0.009,5.000
73124.551,295.760,363.399,153.674,0.002,-0.002,5.000
73120.519,295.763,363.241,153.674,0.002,-0.023,5.000
73124.551,295.762,363.162,153.674,0.002,-0.002,5.000
73120.519,295.763,363.083,153.354,0.002,0.009,5.000
73124.551,295.763,362.846,153.354,0.002,0.009,5.000
73124.551,295.765,363.083,153.354,0.019,-0.013,5.000
73116.488,295.763,362.846,153.194,-0.014,0.009,5.000
73112.456,295.762,362.925,153.194,0.035,0.009,5.000
73120.519,295.760,362.846,153.194,0.019,-0.002,5.000
73116.488,295.762,362.846,153.034,-0.014,-0.013,5.000
73124.551,295.760,362.767,153.034,0.002,0.009,5.000
73112.456,295.762,362.767,152.713,-0.014,-0.002,5.000
73124.551,295.763,362.767,152.553,0.002,-0.002,5.000
73116.488,295.762,362.767,152.553,-0.030,-0.002,5.000
73116.488,295.760,362.609,152.393,0.019,-0.013,5.000
73116.488,295.760,362.688,152.073,0.019,-0.013,5.000
73124.551,295.760,362.530,152.073,0.019,-0.002,5.000
73128.582,295.762,362.372,151.913,0.002,0.020,5.000
73120.519,295.758,362.451,151.753,0.019,-0.002,5.000
73116.488,295.758,362.451,151.593,-0.014,0.009,5.000
73120.519,295.758,362.451,151.593,-0.014,0.009,5.000
73120.519,295.757,362.372,151.273,-0.014,-0.002,5.000
73116.488,295.758,362.293,150.952,0.002,-0.013,5.000
73124.551,295.757,362.293,150.792,-0.030,-0.002,5.000
73128.582,295.757,362.213,150.792,-0.030,-0.002,5.000
73120.519,295.758,362.293,150.632,0.019,-0.013,5.000
73120.519,295.758,362.213,150.472,0.002,-0.013,5.000
73128.582,295.757,362.293,150.472,-0.014,-0.013,5.000
73128.582,295.758,362.293,150.632,0.002,0.009,5.000
73124.551,295.760,362.293,150.472,0.002,0.020,5.000
73132.613,295.760,362.213,150.312,0.002,-0.013,5.000
73136.645,295.760,362.213,150.312,0.002,-0.002,5.000
73132.613,295.758,362.213,150.312,0.002,0.020,5.000
73132.613,295.760,362.372,150.312,0.002,-0.002,5.000
73128.582,295.762,362.293,150.312,-0.014,-0.023,5.000
73132.613,295.762,362.372,150.472,0.019,-0.002,5.000
73132.613,295.762,362.213,150.632,0.035,-0.013,5.000
73136.645,295.763,362.213,150.632,-0.047,-0.002,5.000
73132.613,295.763,362.293,150.472,-0.014,0.009,5.000
73136.645,295.763,362.372,150.632,-0.014,-0.013,5.000
73124.551,295.763,362.213,150.632,0.002,0.009,5.000
73132.613,295.763,362.213,150.632,0.002,-0.002,5.000
73132.613,295.765,362.213,150.632,-0.014,0.009,5.000
73132.613,295.767,362.213,150.952,-0.014,0.009,5.000
73132.613,295.767,362.451,151.273,-0.014,-0.002,5.000
73132.613,295.765,362.293,151.273,-0.014,-0.013,5.000
73132.613,295.762,362.293,151.593,-0.014,0.009,5.000
73128.582,295.765,362.293,151.433,0.002,-0.002,5.000
73128.582,295.765,362.372,151.433,0.002,-0.013,5.000
73132.613,295.763,362.293,151.753,0.002,0.009,5.000
73128.582,295.767,362.372,151.593,0.002,0.030,5.000
73132.613,295.762,362.372,151.913,0.019,-0.013,5.000
73124.551,295.765,362.293,151.593,-0.014,0.009,5.000
73132.613,295.763,362.293,152.073,0.019,-0.013,5.000
