%Time (sec) 	Torsional Angle(°) 	Torsional Epsilon 3550 Torsion (°) 	Torsional Torque 	(in·lbf) Axial Epsilon 3550 Axial (in)
1328.701171875	48.0006706879928	0.0014279968710105	-2.79226936442275	7.09872867399844E-06
1328.7109375	48.0029588013645	-0.00027495995489101	-2.95234488731156	5.35849705814566E-06
1328.720703125	48.0018932918541	-0.00280210365786587	-2.81214437958113	4.21052882848375E-06
1328.73046875	48.0013161408693	-0.00318459800327161	-2.711692055758	-8.25869626404581E-07
1328.740234375	47.9982664614053	-0.000574998572653644	-2.78761746768447	4.60199647418485E-06
1328.75	47.9975014802183	0.0019021332702233	-2.82487009732544	7.53219275227778E-06
1328.759765625	48.0011863672751	0.00214698538002371	-2.9449708554894	1.06247511226455E-05
1328.76953125	48.0019820843133	-0.00156283380568405	-3.12618354628623	5.31762518533032E-06
1328.779296875	47.9987445746471	-0.00252830599510684	-3.13470446215341	2.7700844243089E-06
1328.7890625	48.0002506313589	-0.000179942696863529	-3.02444295620829	3.28679222071858E-06
1328.798828125	47.9942537252684	0.00256422535296754	-2.75566218677308	5.14907661565346E-06
1328.80859375	47.9965691593968	0.00235256556962832	-2.80264724065722	7.4913214389449E-06
1328.818359375	47.9988948388088	-0.000640198604219945	-3.06810684702644	4.93590652165333E-06
1328.828125	48.0021391786642	-0.00412442165258923	-3.02272447655021	3.27985519758418E-06
1328.837890625	48.0025011786901	-0.00373588127242277	-3.00925096297617	3.86686951924992E-06
1328.84765625	47.9983176878241	-0.000794570874179952	-2.92424148029841	4.65430472815111E-06
1328.857421875	47.9963744990054	0.00227909538751815	-2.84734960490805	7.43976289148724E-06
1328.8671875	47.9969892160307	0.00149281696705104	-2.96105334562493	3.54702066493615E-06
1328.876953125	48.0010361031134	-0.00192385905809859	-3.06391154096937	1.81316337272448E-06
1328.88671875	48.0015961786252	-0.00234134499122369	-3.16873457974791	2.47067178614403E-06
1328.896484375	47.9984474614183	-0.000578954831747187	-3.16028145348504	4.79416835189586E-06
1328.90625	47.9976210085288	0.000357639052940255	-2.78920933640842	8.12783121646349E-06
1328.916015625	47.9946464611456	-0.00110368430226165	-2.6572277247127	6.4412204004495E-06
1328.92578125	47.999666650185	-0.00172637033313498	-2.61921411060303	5.07520814525786E-06
1328.935546875	47.9998783860492	-0.00263759485815606	-2.59565102444246	1.62942849064753E-06
1328.9453125	48.000759480452	-0.00113008166605425	-3.09868839930248	6.42697164079701E-07
1328.955078125	47.9996734803741	0.000554669651011169	-3.6435796561681	6.3037941620814E-06
1328.96484375	47.9944449705652	0.00174400578235181	-3.53847596315224	5.11645375236257E-06
1328.974609375	47.9963744990054	5.23030767301529E-06	-2.86119292791887	6.50159023731306E-06
1328.984375	47.9962618008841	-0.00252639500956294	-2.55352572024681	4.52625261855282E-06
1328.994140625	47.9988709331468	-0.00203258909127835	-2.96450402112562	5.39618155933453E-06
1329.00390625	48.0006399521416	-0.000866286453480109	-2.92995005079115	5.26437923874584E-06
1329.013671875	47.9978020085418	0.000897288275242245	-2.57520177594323	5.33881054850536E-06
1329.0234375	47.9957871027369	0.00162260233817133	-2.44915373292113	7.57287719846597E-06
1329.033203125	47.9934819138923	0.000511553143897351	-2.74352837514585	4.6018090475577E-06
1329.04296875	47.9975766122992	-0.00207350394210864	-3.53092520356785	3.15536531286666E-06
1329.052734375	47.9975731972046	-0.00134484846842896	-4.04512649754509	4.95803013692905E-06
1329.0625	47.9989187444709	-8.54730584970334E-05	-3.63783310239512	3.3651608883544E-06
1329.072265625	47.9965008575051	0.000561162843465838	-2.89129177600852	7.41913980819365E-06
1329.08203125	47.9949367441853	-0.000151075426464711	-2.35593801530206	4.21202852124217E-06
1329.091796875	47.9969755556523	-0.000495180481348419	-2.37544744138812	5.33468604374313E-06
1329.1015625	47.99876165012	-0.000726118696649176	-2.60150308732722	2.86513937684446E-06
1329.111328125	48.0006536125199	0.00129989903686267	-3.02796801563279	3.58657999187898E-06
1329.12109375	47.9983859897157	0.00134715069741373	-3.47541685986152	7.98684331269709E-06
1329.130859375	47.9972624235974	-0.00096644456590209	-3.68735248514416	6.61108095651641E-06
1329.140625	47.9951655555225	-0.00160045174788128	-3.69882739236834	7.50538291184086E-06
1329.150390625	47.994660121524	-0.00188589468723928	-3.38583250209706	2.74496198299879E-06
1329.16015625	47.9962071593708	-0.00150723377716708	-2.83604483112661	3.39984544454394E-06
1329.169921875	47.9965794046805	-0.00145418193781614	-2.68432615743617	4.04123027255705E-06
1329.1796875	47.9956402536698	-0.00281580530748876	-2.65426845790011	1.62380401338564E-06
1329.189453125	47.9959885933174	-0.00263129181584999	-2.55221186803239	3.46565233204224E-06
1329.19921875	47.9923959138144	4.34964882360071E-05	-2.6474354240486	5.64478591603279E-06
1329.208984375	47.9953089894951	0.00122782592942615	-2.88768784852296	9.58364935966557E-06
1329.21875	47.9973375556783	0.00225304445238764	-3.59709497924656	7.85747865722628E-06
1329.228515625	47.9977951783526	0.000525880585006848	-3.99043321172723	5.97719571126038E-06
1329.23828125	47.9980854613923	-0.000317707652008456	-3.75274650507852	3.35409908071654E-06
1329.248046875	47.994742083794	0.00153936441025262	-3.32369976880775	5.37293338429591E-06
1329.2578125	47.9948103856857	0.000623233604937879	-2.63862541321515	7.02917213499222E-06
1329.267578125	47.996073970682	-0.00111936405537621	-2.25000238293983	4.78010687899991E-06
1329.27734375	47.9986113859583	-0.00248708953039326	-2.47551650336272	4.17415659342616E-06
1329.287109375	47.9966886877072	-0.00239003822856594	-2.66505386307882	4.11397418318975E-06
