%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
72439.219,298.603,0.845,9.138,35.287,-3.058,-52.352,-32.565,-47.182,-57.444,-58.740,-67.105,-65.279,-63.845,-59.408,-59.235,-59.836,-68.550,-63.902,-64.282,-63.449,-64.899,-10.000,-544.798,-289.718,14.557,-368.552,101.413
72439.219,298.605,0.845,9.159,35.445,-3.218,-52.676,-32.570,-46.219,-57.549,-58.200,-66.793,-65.600,-64.059,-58.849,-59.547,-60.258,-68.125,-63.902,-64.386,-63.552,-64.111,-10.000,-544.798,-289.718,14.557,-368.552,101.423
72431.156,298.606,0.845,9.159,35.445,-2.898,-52.460,-32.124,-45.798,-57.444,-58.416,-66.482,-65.386,-63.952,-58.626,-61.529,-61.314,-68.125,-63.902,-64.804,-63.760,-64.111,-10.000,-544.798,-289.718,14.557,-368.552,101.423
72439.219,298.606,0.845,9.159,35.445,-3.218,-53.109,-32.682,-46.012,-57.966,-58.416,-66.274,-65.707,-63.845,-58.961,-62.259,-60.681,-67.700,-63.170,-65.536,-63.863,-64.449,-10.000,-544.798,-289.718,14.557,-368.569,101.434
72439.219,298.605,0.845,9.169,35.524,-3.218,-53.758,-32.682,-46.226,-58.593,-58.200,-66.378,-65.707,-63.523,-58.849,-62.989,-60.364,-67.169,-63.589,-65.954,-63.863,-64.787,-10.000,-544.798,-289.718,14.557,-368.536,101.423
72435.187,298.605,0.845,9.169,35.524,-2.898,-54.407,-32.570,-46.012,-57.862,-58.308,-66.284,-65.172,-63.738,-59.296,-62.780,-60.364,-67.594,-63.589,-66.372,-64.485,-65.463,-10.000,-544.798,-289.718,14.557,-368.552,101.434
72439.219,298.606,0.845,9.138,35.287,-2.898,-54.190,-32.570,-46.226,-57.966,-58.416,-66.284,-65.182,-63.845,-60.078,-62.467,-59.625,-68.657,-63.693,-66.372,-64.589,-65.463,-10.000,-544.798,-289.718,14.557,-368.569,101.445
72439.219,298.606,0.845,9.159,35.445,-3.058,-54.407,-32.459,-46.654,-57.444,-58.524,-66.803,-65.075,-65.023,-60.971,-62.467,-59.625,-68.976,-64.007,-65.954,-64.693,-66.026,-10.000,-544.798,-289.718,14.557,-368.536,101.445
72439.219,298.608,0.845,9.169,35.524,-3.218,-54.623,-33.016,-46.440,-57.549,-59.064,-66.491,-65.289,-64.380,-59.966,-60.695,-59.625,-68.763,-64.635,-65.641,-65.522,-66.815,-10.000,-544.798,-289.718,14.557,-368.569,101.413
72439.219,298.606,0.845,9.159,35.445,-3.058,-54.515,-33.463,-46.654,-57.653,-58.848,-66.388,-65.182,-63.630,-59.408,-60.382,-60.469,-69.294,-65.680,-65.536,-66.144,-67.040,-10.000,-544.798,-289.718,14.557,-368.536,101.434
