%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
72237.65,296.9,0.848,9.731,40.135,-3.274,-12.757,12.841,-2.994,-17.747,-19.433,-29.375,-29.046,-28.583,-23.777,-25.743,-23.73,-31.545,-26.034,-26.227,-26.433,-29.5,-12,-544.798,-289.718,14.557,-369.287,101.423
72237.65,296.902,0.848,9.722,40.056,-3.434,-11.892,13.288,-3.208,-17.225,-20.08,-28.544,-28.726,-28.69,-23.666,-26.577,-23.308,-31.333,-25.511,-26.436,-26.744,-27.248,-12,-544.798,-289.718,14.557,-369.303,101.413
72233.619,296.907,0.848,9.713,39.977,-3.114,-12.433,12.729,-2.78,-18.374,-19.325,-28.752,-27.872,-28.905,-23.777,-25.117,-23.413,-30.802,-25.093,-26.541,-26.536,-28.149,-12,-544.798,-289.718,14.557,-369.303,101.423
72237.65,296.903,0.848,9.712,39.977,-3.274,-11.784,12.394,-2.459,-17.434,-19.972,-28.441,-28.619,-28.69,-23.777,-24.909,-22.675,-30.695,-25.72,-25.287,-27.366,-28.149,-12,-544.798,-289.718,14.557,-369.287,101.423
72233.619,296.9,0.848,9.722,40.056,-3.434,-11.784,12.506,-2.78,-17.643,-19.433,-28.544,-28.192,-28.369,-23.666,-25.639,-22.464,-30.908,-25.407,-25.182,-26.018,-27.924,-12,-544.798,-289.718,14.557,-369.303,101.423
72233.619,296.902,0.848,9.703,39.898,-3.114,-12.217,12.841,-3.101,-17.643,-19.972,-28.233,-28.299,-28.476,-22.884,-26.055,-22.886,-29.633,-25.197,-25.496,-26.329,-27.811,-12,-544.798,-289.718,14.557,-369.303,101.423
72245.713,296.902,0.848,9.731,40.135,-3.274,-11.244,12.618,-2.566,-18.06,-20.188,-28.337,-28.726,-28.583,-23.442,-25.639,-22.675,-30.164,-24.466,-25.6,-26.018,-27.248,-12,-544.798,-289.718,14.557,-369.287,101.402
72233.619,296.903,0.848,9.703,39.898,-3.274,-11.46,12.953,-3.101,-17.538,-19.756,-28.544,-28.192,-29.226,-23.889,-25.534,-22.464,-30.589,-23.838,-25.182,-26.225,-27.023,-12,-544.798,-289.718,14.557,-369.303,101.413
72237.65,296.905,0.848,9.722,40.056,-3.114,-11.027,11.836,-2.994,-17.33,-19.217,-28.752,-28.619,-28.262,-24.447,-24.701,-22.57,-30.589,-24.047,-24.869,-26.122,-26.235,-12,-544.798,-289.718,14.557,-369.303,101.402
72233.619,296.902,0.848,9.713,39.977,-2.954,-10.811,13.399,-3.421,-18.165,-19.756,-29.167,-28.192,-28.476,-23.554,-25.013,-22.57,-29.633,-24.361,-24.451,-25.189,-27.023,-12,-544.798,-289.718,14.557,-369.303,101.413
72241.682,296.902,0.848,9.731,40.135,-3.114,-10.595,13.176,-2.673,-17.747,-19.756,-28.025,-29.367,-28.369,-23.666,-26.055,-22.992,-29.527,-23.106,-25.078,-24.981,-25.447,-12,-544.798,-289.718,14.557,-369.303,101.402
72233.619,296.902,0.848,9.722,40.056,-3.114,-11.135,12.953,-2.673,-17.747,-19.433,-28.648,-28.406,-28.904,-23.666,-24.596,-22.781,-29.421,-23.315,-24.033,-24.567,-25.559,-12,-544.798,-289.718,14.557,-369.303,101.413
72229.588,296.903,0.848,9.713,39.977,-2.954,-10.162,12.171,-2.673,-17.016,-20.188,-28.233,-28.299,-28.369,-24.224,-25.222,-21.41,-29.633,-23.106,-24.033,-24.981,-25.334,-12,-544.798,-289.718,14.557,-369.303,101.423
72233.619,296.9,0.848,9.703,39.898,-2.954,-10.162,12.618,-3.101,-18.269,-19.217,-29.167,-28.833,-27.941,-24.894,-25.638,-20.988,-29.315,-23.525,-23.301,-23.841,-25.897,-12,-544.798,-289.718,14.557,-369.319,101.402
