%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
72773.822,297.500,356.759,144.407,-0.019,0.009,5.000
72765.759,297.502,356.759,144.567,-0.019,-0.012,5.000
72769.790,297.497,356.917,144.727,0.030,0.009,5.000
72765.759,297.500,356.838,144.887,-0.019,0.009,5.000
72769.790,297.498,356.838,145.208,-0.002,-0.001,5.000
72777.853,297.498,356.838,145.368,-0.002,-0.001,5.000
72769.790,297.497,356.838,145.368,0.030,0.009,5.000
72769.790,297.502,356.838,145.368,-0.002,-0.001,5.000
72773.822,297.498,356.917,145.688,0.014,-0.001,5.000
72769.790,297.500,356.917,145.688,-0.019,-0.001,5.000
72781.884,297.502,357.075,145.528,0.014,-0.001,5.000
72769.790,297.498,356.996,145.848,-0.002,-0.012,5.000
72777.853,297.500,356.917,145.528,0.014,-0.001,5.000
72781.884,297.497,356.917,145.368,0.014,0.009,5.000
72777.853,297.498,357.154,145.688,0.014,-0.012,5.000
72773.822,297.498,356.917,145.528,-0.019,0.009,5.000
72769.790,297.500,357.075,145.368,0.014,0.009,5.000
72773.822,297.502,357.233,145.528,-0.019,-0.012,5.000
72777.853,297.498,357.075,145.208,0.014,-0.001,5.000
72769.790,297.498,357.075,145.368,-0.002,-0.001,5.000
72765.759,297.498,357.154,144.887,-0.019,-0.001,5.000
72769.790,297.498,357.233,144.887,-0.002,-0.001,5.000
72769.790,297.498,357.075,144.727,-0.002,0.009,5.000
72769.790,297.497,357.075,144.567,-0.019,-0.001,5.000
72765.759,297.495,357.154,144.087,-0.019,0.009,5.000
72765.759,297.497,357.233,144.727,-0.002,-0.012,5.000
72761.728,297.495,357.233,144.247,-0.035,-0.001,5.000
72765.759,297.498,357.233,144.247,-0.019,-0.001,5.000
72769.790,297.495,357.154,144.407,-0.019,-0.001,5.000
72769.790,297.497,357.391,144.407,-0.002,0.009,5.000
72769.790,297.497,357.312,144.087,0.014,-0.012,5.000
72761.728,297.497,357.391,144.087,-0.019,-0.001,5.000
72769.790,297.497,357.233,144.087,-0.019,-0.001,5.000
72769.790,297.497,357.312,144.247,-0.002,0.009,5.000
72765.759,297.497,357.470,144.247,0.014,-0.001,5.000
72769.790,297.494,357.470,144.247,0.014,-0.023,5.000
72773.822,297.500,357.391,144.407,0.014,0.009,5.000
72773.822,297.497,357.312,144.087,-0.019,-0.034,5.000
72781.884,297.495,357.549,144.567,-0.002,-0.012,5.000
72769.790,297.494,357.391,144.407,-0.035,-0.023,5.000
72773.822,297.498,357.549,144.727,0.014,-0.012,5.000
72773.822,297.495,357.549,144.567,0.014,0.009,5.000
72773.822,297.500,357.391,144.887,-0.035,0.020,5.000
72769.790,297.497,357.470,145.047,-0.019,-0.001,5.000
72773.822,297.495,357.470,145.368,0.014,0.009,5.000
72777.853,297.500,357.549,145.047,-0.019,-0.001,5.000
72769.790,297.498,357.549,145.528,-0.019,0.009,5.000
72777.853,297.498,357.707,145.208,-0.002,-0.012,5.000
72773.822,297.500,357.549,145.688,-0.002,0.009,5.000
72777.853,297.502,357.628,146.008,-0.002,-0.001,5.000
72777.853,297.498,357.549,146.328,-0.019,0.009,5.000
72777.853,297.502,357.786,146.488,0.014,-0.001,5.000
72777.853,297.498,357.707,146.808,-0.019,0.009,5.000
72789.947,297.502,357.865,146.969,-0.002,-0.001,5.000
72773.822,297.502,357.865,146.969,-0.002,-0.012,5.000
72785.916,297.502,357.865,146.969,-0.002,0.009,5.000
72781.884,297.503,357.865,147.289,-0.002,-0.012,5.000
72781.884,297.503,357.865,147.609,-0.019,-0.001,5.000
72777.853,297.503,357.944,147.609,-0.002,0.020,5.000
72781.884,297.503,358.023,147.769,-0.002,0.009,5.000
72781.884,297.505,358.023,147.769,-0.019,-0.001,5.000
72773.822,297.503,357.944,147.929,-0.019,-0.001,5.000
72781.884,297.503,358.102,147.929,0.014,-0.001,5.000
72785.916,297.503,358.181,148.570,-0.002,0.009,5.000
72777.853,297.505,358.023,148.570,-0.002,-0.001,5.000
72773.822,297.503,358.181,148.249,0.014,-0.012,5.000
72781.884,297.505,358.260,148.409,-0.019,-0.001,5.000
72773.822,297.505,358.260,148.409,-0.002,-0.001,5.000
72773.822,297.502,358.181,148.409,0.014,0.009,5.000
72781.884,297.503,358.260,148.730,-0.002,-0.001,5.000
72769.790,297.503,358.339,148.570,-0.019,-0.001,5.000
72777.853,297.503,358.339,148.890,-0.002,-0.012,5.000
72781.884,297.500,358.418,148.570,-0.002,-0.001,5.000
72777.853,297.502,358.498,148.570,0.014,-0.012,5.000
72777.853,297.500,358.418,149.050,-0.019,-0.001,5.000
72777.853,297.498,358.577,149.210,0.014,-0.023,5.000
72769.790,297.498,358.577,149.050,0.014,-0.001,5.000
72773.822,297.498,358.656,149.050,0.014,0.009,5.000
72777.853,297.500,358.498,149.370,0.014,0.009,5.000
72777.853,297.498,358.656,149.530,0.014,-0.012,5.000
72773.822,297.498,358.577,149.530,0.014,-0.001,5.000
72773.822,297.500,358.656,149.690,0.014,-0.001,5.000
72773.822,297.498,358.814,150.010,-0.002,-0.001,5.000
72769.790,297.495,358.893,149.850,0.014,-0.023,5.000
72777.853,297.497,358.735,150.491,-0.002,-0.023,5.000
72781.884,297.495,358.735,150.651,0.014,-0.012,5.000
72777.853,297.494,358.814,150.651,-0.002,-0.012,5.000
72773.822,297.495,358.735,150.971,-0.002,-0.001,5.000
72773.822,297.497,358.893,151.291,-0.002,-0.001,5.000
72777.853,297.498,358.814,151.771,-0.002,-0.012,5.000
72769.790,297.498,358.893,152.092,-0.002,0.009,5.000
72777.853,297.495,358.972,152.252,-0.002,0.009,5.000
72781.884,297.495,358.972,152.412,0.014,0.020,5.000
72773.822,297.498,359.051,152.572,0.014,-0.012,5.000
72773.822,297.497,359.130,153.212,-0.002,0.009,5.000
72777.853,297.497,359.051,153.692,-0.019,0.009,5.000
72773.822,297.500,359.051,153.692,-0.002,-0.012,5.000
72773.822,297.495,359.051,154.173,-0.002,-0.012,5.000
72773.822,297.497,359.130,154.493,-0.002,-0.001,5.000
72773.822,297.498,359.209,154.493,-0.035,-0.012,5.000
72773.822,297.500,359.288,154.973,-0.002,0.009,5.000
72781.884,297.497,359.209,155.133,-0.019,-0.001,5.000
72773.822,297.498,359.288,155.614,-0.002,-0.001,5.000
72777.853,297.500,359.367,155.774,-0.019,0.020,5.000
72773.822,297.497,359.209,156.094,0.014,0.009,5.000
72777.853,297.500,359.288,156.254,-0.002,-0.023,5.000
72777.853,297.497,359.288,156.414,-0.019,0.009,5.000
72773.822,297.498,359.367,156.574,-0.002,0.020,5.000
72777.853,297.497,359.209,156.734,0.014,-0.001,5.000
72773.822,297.498,359.209,156.574,-0.035,-0.001,5.000
